cell_id,cell_type
c_1_20_189,Lymphoid-B
c_1_20_190,Lymphoid-T
c_1_20_191,Endothelial
c_1_20_192,Lymphoid-DC
c_1_20_193,Lymphoid-B
c_1_20_194,Mesenchymal-Stromal
c_1_20_195,Lymphoid-Other
c_1_20_196,Lymphoid-B
c_1_20_197,Mesenchymal-Stromal
c_1_20_198,Lymphoid-B
c_1_20_199,Lymphoid-B
c_1_20_200,Lymphoid-DC
c_1_20_201,Lymphoid-B
c_1_20_202,Lymphoid-Other
c_1_20_203,Endothelial
c_1_20_204,Lymphoid-Other
c_1_20_205,Lymphoid-Other
c_1_20_206,Lymphoid-B
c_1_20_207,Lymphoid-B
c_1_20_208,Mesenchymal-Stromal
c_1_20_209,Lymphoid-B
c_1_20_210,Mesenchymal-Stromal
c_1_20_211,None
c_1_20_212,Lymphoid-Other
c_1_20_213,Lymphoid-B
c_1_20_214,Lymphoid-T
c_1_20_215,Lymphoid-B
c_1_20_216,Lymphoid-B
c_1_20_217,Lymphoid-B
c_1_20_218,Lymphoid-B
c_1_20_219,Endothelial
c_1_20_220,Lymphoid-B
c_1_20_221,Lymphoid-B
c_1_20_222,Lymphoid-DC
c_1_20_223,Lymphoid-Other
c_1_20_224,Lymphoid-Other
c_1_20_225,Lymphoid-DC
c_1_20_226,Lymphoid-B
c_1_20_227,Endothelial
c_1_20_228,Lymphoid-B
c_1_20_229,Lymphoid-B
c_1_20_230,Lymphoid-Other
c_1_20_231,Endothelial
c_1_20_232,Lymphoid-B
c_1_20_233,Lymphoid-B
c_1_20_234,Endothelial
c_1_20_235,Lymphoid-B
c_1_20_236,Lymphoid-B
c_1_20_237,Endothelial
c_1_20_238,Lymphoid-Other
c_1_20_239,Lymphoid-B
c_1_20_240,Lymphoid-Other
c_1_20_241,Lymphoid-Other
c_1_20_242,Lymphoid-B
c_1_20_243,Lymphoid-DC
c_1_20_244,Lymphoid-B
c_1_20_245,Lymphoid-B
c_1_20_246,Lymphoid-B
c_1_20_247,Lymphoid-B
c_1_20_248,Mesenchymal-Stromal
c_1_20_249,Endothelial
c_1_20_250,Lymphoid-B
c_1_20_251,Lymphoid-B
c_1_20_252,Lymphoid-DC
c_1_20_253,Lymphoid-Other
c_1_20_254,Lymphoid-B
c_1_20_255,Endothelial
c_1_20_256,Lymphoid-B
c_1_20_257,Lymphoid-B
c_1_20_258,Lymphoid-T
c_1_20_259,Lymphoid-DC
c_1_20_260,Lymphoid-Other
c_1_20_261,Lymphoid-Other
c_1_20_262,Lymphoid-T
c_1_20_263,Lymphoid-B
c_1_20_264,Endothelial
c_1_20_265,Lymphoid-Other
c_1_20_266,Lymphoid-DC
c_1_20_267,Lymphoid-T
c_1_20_268,Lymphoid-DC
c_1_20_269,None
c_1_20_270,Endothelial
c_1_20_271,Endothelial
c_1_20_272,Lymphoid-Other
c_1_20_273,Lymphoid-B
c_1_20_274,Lymphoid-B
c_1_20_275,Lymphoid-Plasma
c_1_20_276,Lymphoid-B
c_1_20_277,Lymphoid-Other
c_1_20_278,Lymphoid-B
c_1_20_279,Endothelial
c_1_20_280,Endothelial
c_1_20_281,Lymphoid-B
c_1_20_282,Lymphoid-B
c_1_20_283,Lymphoid-B
c_1_20_284,None
c_1_20_285,Lymphoid-B
c_1_20_286,Endothelial
c_1_20_287,Lymphoid-B
c_1_20_288,Endothelial
c_1_20_289,Endothelial
c_1_20_290,Endothelial
c_1_20_291,Lymphoid-B
c_1_20_292,Lymphoid-B
c_1_20_293,Lymphoid-B
c_1_20_294,None
c_1_20_295,None
c_1_20_296,Mesenchymal-Stromal
c_1_20_297,Lymphoid-B
c_1_20_298,Lymphoid-Other
c_1_20_299,Neuronal-Glial
c_1_20_300,Lymphoid-T
c_1_20_301,Lymphoid-B
c_1_20_302,Mesenchymal-Stromal
c_1_20_303,Lymphoid-DC
c_1_20_304,Lymphoid-T
c_1_20_305,Endothelial
c_1_20_306,Lymphoid-B
c_1_20_307,Endothelial
c_1_20_308,Lymphoid-T
c_1_20_309,Lymphoid-DC
c_1_20_310,Mesenchymal-Stromal
c_1_20_311,Lymphoid-B
c_1_20_312,Lymphoid-Other
c_1_20_313,Lymphoid-B
c_1_20_314,Stem
c_1_20_315,Lymphoid-B
c_1_20_316,Lymphoid-T
c_1_20_317,Lymphoid-B
c_1_20_318,Lymphoid-DC
c_1_20_319,Endothelial
c_1_20_320,Lymphoid-B
c_1_20_321,Lymphoid-Plasma
c_1_20_322,Lymphoid-B
c_1_20_323,Lymphoid-B
c_1_20_324,Myeloid
c_1_20_325,Lymphoid-Other
c_1_20_326,Endothelial
c_1_20_327,Lymphoid-DC
c_1_20_328,Lymphoid-T
c_1_20_329,Lymphoid-Other
c_1_20_330,Lymphoid-DC
c_1_20_331,Lymphoid-Other
c_1_20_332,Lymphoid-B
c_1_20_333,Mesenchymal-Stromal
c_1_20_334,Lymphoid-DC
c_1_20_335,Lymphoid-B
c_1_20_336,Mesenchymal-Stromal
c_1_20_337,Lymphoid-T
c_1_20_338,Lymphoid-T
c_1_20_339,Lymphoid-B
c_1_20_340,Lymphoid-T
c_1_20_341,Lymphoid-T
c_1_20_342,Lymphoid-Other
c_1_20_343,Lymphoid-Other
c_1_20_344,Lymphoid-B
c_1_20_345,Mesenchymal-Stromal
c_1_20_346,Lymphoid-B
c_1_20_347,Lymphoid-B
c_1_20_348,Lymphoid-B
c_1_20_349,Lymphoid-DC
c_1_20_350,Lymphoid-T
c_1_20_351,Lymphoid-DC
c_1_20_352,Lymphoid-Other
c_1_20_353,Epithelial
c_1_20_354,Lymphoid-DC
c_1_20_355,Lymphoid-B
c_1_20_356,Lymphoid-DC
c_1_20_357,Lymphoid-Other
c_1_20_358,Endothelial
