cell_id,4-1BB,Bcl-2,CCR7,CD123,CD14,CD15,CD16,CD31,CD34,CD39,CD40,CD45RA,CD68,FABP4,FOXP3,GITR,GZMA,ICAM1,ICOS,IDO1,IL-18,IgD,Ki-67,LAMP1,PD-1,PD-L2,VISTA,Vimentin,iNOS,pan-RAS
c_1_20_14,-0.9214332,0.61863965,3.368074,0.3741318,1.5932459,-1.3456696,-0.20808892,-0.17436123,0.22033806,0.7607884,2.009501,0.43307233,-0.9346827,-0.71066576,0.6889923,-1.4205669,-0.47601798,1.3203027,0.018329974,2.2499678,3.9048855,-0.059272166,-1.2139884,0.61706793,0.6638485,0.029271401,0.8106132,0.6431356,0.041642625,0.69265336
c_1_20_15,-0.6137386,-0.881279,-1.0046647,-0.61928403,0.5026658,-0.6756804,-1.0726655,-1.7555233,0.19584122,0.5234105,0.8233617,-0.3449833,-1.6470355,0.8596847,-0.9456256,-0.70498574,-0.798806,0.36251763,-0.8389231,-0.7416191,-0.7955158,-0.6768799,0.33023337,-1.1932552,-0.28536674,-1.1858484,-0.21359801,0.45039615,1.047843,-0.35547936
c_1_20_16,0.0028120389,0.4904578,0.16023876,-0.61557776,-0.39515233,-0.89751303,-0.7047845,0.39454818,-1.0522498,-0.6766323,1.4663105,1.8307068,-1.7274961,-1.4438244,0.32788682,-1.2899004,-1.1667401,1.7100544,1.3311608,-0.6705437,-1.1848403,0.27532434,0.39304966,0.8874412,1.7815723,-1.2958875,-0.33657202,0.77198565,-0.010582187,0.39441398
c_1_20_17,0.73662,2.5724983,2.4304712,0.26674533,0.40642983,-0.5927785,-1.1920202,1.083116,0.014596879,0.2546518,1.0793618,1.8904071,-1.4700667,-0.47918987,1.449367,-0.8909575,-0.4171578,0.47037274,0.8006438,0.27753282,0.6778673,0.3660876,-0.09833526,-0.17640767,0.7927271,-0.2209514,0.40390304,0.57065564,0.54613286,0.2887816
c_1_20_18,0.7210041,1.2413834,0.47820085,-0.09842565,1.0109518,-0.74048495,-0.8184928,-0.5090839,-0.27661908,0.29305863,1.9030466,2.3077543,-0.2436115,-1.3882567,-0.20356816,-1.2764901,-0.4740946,0.79958075,0.28381693,-0.47759014,-0.40114394,-0.083974965,-0.37187108,0.18636537,-0.41134682,0.4768301,-0.25147244,0.256673,-0.28723028,-0.474204
c_1_20_19,0.054145224,2.3160598,0.39233494,0.17162174,-0.47113177,-1.1740881,-0.7248227,-0.40158302,-0.7786147,-0.45211223,1.4541663,2.0773323,-1.594428,-0.7705164,0.29771528,-1.4546335,-0.730776,0.9901954,1.6882272,-0.46981812,0.6287632,-0.4431131,0.0055767004,0.9282718,1.5498924,0.16860515,0.3719293,0.6344398,-0.008361493,0.2512261
c_1_20_20,1.7138498,1.2429311,4.5496936,1.3390733,0.7867612,-0.82686776,-0.7998113,1.1116676,0.8099981,0.98884916,2.762992,1.698889,-1.3316667,-0.16652296,2.258798,-1.3826675,-1.026391,1.0043402,-0.0010789306,2.8974938,0.94303334,-0.2230196,-0.20469803,0.21192181,0.8783501,-0.15733516,1.4500024,0.4965948,0.39655834,0.47154045
c_1_20_21,0.2973707,1.4885125,1.4407225,0.3022442,1.2610818,-0.8697068,-0.48113355,-0.036416754,-0.559297,1.2735053,1.6266127,1.1564258,0.09802043,-0.9227475,0.869405,-0.7361121,-0.26166812,0.6968817,-0.27247477,2.1237094,0.77390957,-0.037124783,-0.4154265,1.1800078,1.907884,-0.36999342,1.3562206,0.76007813,-0.012250284,0.038938
c_1_20_22,0.31656766,2.0182042,1.9932638,0.7041636,1.3616107,-0.84621286,-0.60379505,-0.4909518,-0.3449241,1.3831557,1.4348493,0.9222014,-0.27366185,-0.7141917,0.6567457,-0.41523153,-0.4856609,1.123309,0.55805826,0.6524651,1.0405457,0.4751123,-0.37991837,0.9263978,1.0010242,-0.12820552,1.2267175,0.7156408,-0.16928521,-0.091036744
c_1_20_23,1.0765868,0.7588795,0.37840354,0.3421749,0.6266606,-0.6165632,-0.6850125,0.02228905,-1.1240785,0.68255556,1.8054452,1.7118204,-1.1961756,-0.5197762,-0.15565577,-0.8500189,-1.0587648,1.4530853,0.27414644,-0.39973736,2.6140885,0.5466657,1.0402586,0.40200648,0.24395697,-0.54812,0.23195338,0.44981807,0.08302112,0.29739177
c_1_20_24,1.051061,0.5692303,-0.18685174,-0.4911228,0.9813203,-0.6756804,-0.6679249,-0.1779479,-0.9040966,0.6945443,1.6073754,1.2197763,-0.5553785,-0.8556014,-1.2083232,-1.3805196,-0.9774982,1.3328711,0.338519,-0.2326084,0.25596204,-0.028346527,-0.8665927,0.2634183,-0.53607774,-0.7491965,0.6518845,0.4239383,-0.5148912,-0.09341471
c_1_20_25,0.39705068,1.1832445,3.3597617,-0.3479163,0.81589836,-1.2310778,-0.6752241,-0.78601515,-0.5098914,-0.17939244,1.3794665,-0.50620055,-1.6868398,-0.97007227,0.5405518,-0.99503654,0.0058860043,1.2871631,2.3781874,0.9961786,1.2434138,0.2716637,-0.25977558,0.6158105,1.8178686,-0.013068552,1.0814146,0.50030243,0.16713962,0.5021978
c_1_20_26,0.21501139,1.6428927,-0.35191217,-0.83056486,0.16010408,-1.0565174,-0.8104577,0.07112591,-0.9474126,-0.19624424,1.2761902,1.1980736,-1.0083106,-0.68876636,0.6465378,-1.2015285,-0.8506766,1.4660732,1.302591,-0.434002,-0.2237963,0.22522105,0.267979,0.75796425,2.355228,-0.7238329,-0.22698504,0.8998392,-0.32536,0.45960674
c_1_20_27,-0.027948614,-0.20658913,-0.32673866,-0.913067,-1.0145862,-0.41006324,-0.9474619,-0.9866501,-0.15835533,0.6481745,0.36518714,-0.12364964,-1.244698,0.54507554,-1.1108458,-0.60062677,-0.52269524,0.017743241,-0.6174897,-0.40637022,-0.48477408,-0.68009746,-0.34216267,-0.91784626,-0.89836115,-0.26069635,-0.94078654,0.07503697,2.2287743,-0.5441531
c_1_20_28,1.5932256,1.0759351,3.2957234,0.40204716,0.4495615,-0.93800294,-0.6923961,0.46397975,-0.7708864,0.49648535,1.6199088,0.12509033,-1.3589758,-0.77323705,0.626016,-0.9622585,0.13493066,1.4124328,1.7659621,0.58808756,0.3035898,0.11831279,-0.89116627,0.08640014,0.8101268,-0.6946031,0.64684254,0.65579766,0.003781587,0.22855268
c_1_20_29,-0.8638794,0.11106277,3.180964,0.11239126,1.1780057,-1.5643554,-0.5267827,-0.43794003,-0.3630381,0.35722297,1.1798089,0.23949473,-1.3372365,-0.9941432,0.7118131,-1.0647726,-0.072778165,-0.16182472,1.8031527,2.5120912,1.4087759,-0.30094257,0.48908427,0.29540807,0.37009835,-0.18767668,0.9163008,0.40816936,-0.4553131,0.11009
c_1_20_30,1.3454282,2.062142,-0.07512022,0.21117575,0.05654942,-1.0434364,-0.7273468,-0.11477428,-0.8843581,0.7549945,1.6643404,1.6732746,-1.2992691,-0.86127293,0.42462775,-1.0152868,-1.1536045,1.6578008,1.1946524,-0.39395428,0.4740732,0.6898707,0.64519876,0.8755703,2.1108866,0.17071454,0.097966604,0.87736034,-0.14117086,0.38103774
c_1_20_31,1.913727,-0.15258561,-0.45520645,0.26418954,-0.01850264,-0.73682225,-0.29995894,0.65155375,-1.0375023,0.14842173,2.055382,1.5862182,-1.6274413,-1.1092343,0.86336297,-1.3453481,-1.0688226,2.4978883,1.236755,-0.35400295,0.9572135,0.34341148,1.5955397,0.5319551,1.380279,-0.4934519,-0.49997923,0.8548499,-0.11610144,0.67943263
c_1_20_32,-0.63956445,0.3846788,4.668839,1.1344929,0.33210254,-0.89751303,-1.0568204,-0.18514858,-0.093701705,0.5991982,2.533435,0.97953415,-1.5047764,-0.22569866,1.8536327,-1.3337361,-0.39478955,0.5700112,-0.08068016,5.8950844,1.0577195,-0.19379605,-0.7472515,-0.64131165,0.84246176,-0.45401332,0.89822644,0.2748689,0.05119366,0.28301838
c_1_20_33,2.9824643,1.8348572,2.6341622,0.49898502,-0.46223536,-0.22498886,-0.9920551,-0.06590385,0.68715525,-0.102534726,1.4143504,1.1860169,-0.9072349,-0.32797042,1.0951066,-1.1433691,-0.7744247,0.8865531,-1.1274567,3.3623629,0.34641832,0.30971113,-0.20872542,0.15712844,0.015718684,-0.99151397,1.9731474,0.57994103,0.32415688,0.6803943
c_1_20_34,0.3578988,2.5566378,0.70468456,-0.48761088,0.19509594,-0.9216966,-0.9328896,-0.61329836,-0.5007863,-0.43932623,1.9855707,2.5578609,-1.1387839,-0.9062411,0.6062939,-0.5550446,-0.8828601,0.8828403,0.1465076,-0.14825846,-0.2237963,0.41223288,-0.36968157,0.014734219,0.6407213,-0.5942308,0.13893932,0.29266605,0.9502738,0.103447944
c_1_20_35,0.42072454,1.9802074,1.309053,-0.14202008,-0.0743274,-0.75151813,-1.1954759,-0.31764212,-0.7881227,0.19124028,1.6737745,2.2909017,-2.0073798,-0.950223,0.075187944,-0.36586204,-0.14938115,1.0484287,0.7249793,1.697169,-0.46971795,1.0903084,0.50783336,0.07609772,0.59294,-0.81609106,-0.12748067,0.508478,-0.05816494,-0.27360165
c_1_20_36,0.5300525,1.0411168,0.4046669,-0.1043914,0.058406536,-1.1279477,-0.34225127,-0.67620975,-0.5498465,-0.16730721,1.1544596,1.436963,-1.6569086,-0.85749036,0.144269,-1.4546335,-0.24601439,0.8725795,3.7831597,-0.78033817,0.5246884,0.40378216,-0.3529792,0.591825,4.8765063,0.025523907,0.7228501,0.5604144,0.6779341,0.46872732
c_1_20_37,1.7474965,0.6292197,-0.35191217,-0.14353758,0.20107013,-0.7887953,-0.8292741,0.44922963,-1.085502,-0.15286632,1.2149094,0.94689107,-1.7053664,-0.39273712,0.22895071,-0.93527603,-1.0462569,1.4502866,0.88776934,-0.3767197,-0.6218845,-0.070455745,-0.29315832,1.1060714,2.285217,0.033760548,-0.1524446,0.81506085,0.13841972,0.29237476
c_1_20_38,1.1300305,1.6365632,0.6789933,-0.3347171,0.41806617,-1.146261,-0.9445359,-0.608387,-0.85028225,-0.34123507,1.3406242,1.3490956,-1.5131707,-0.6948751,0.5212203,-1.2175423,-0.94152945,1.3065889,2.889652,-0.15112497,-0.12865467,-0.07495006,-1.2297454,0.18830428,2.420082,-0.22430658,0.5245933,0.66563964,0.5824038,0.40701786
