cell_id,UMAP_1,UMAP_2
c_1_18_2,2.243232,-0.069408506
c_1_18_3,3.8026927,2.8270824
c_1_18_4,3.5718923,4.1743655
c_1_18_5,3.2730725,4.486889
c_1_18_6,2.4369776,0.639769
c_1_18_7,1.6587114,2.2678275
c_1_18_8,4.4044733,3.9861987
c_1_18_9,4.561072,3.2981517
c_1_18_10,2.9893076,3.7697153
c_1_18_11,1.4514495,3.8116338
c_1_18_12,2.1368992,1.9863974
c_1_18_13,2.2585542,5.4425206
c_1_18_14,4.31198,3.3327909
c_1_18_15,0.011278153,6.0525312
c_1_18_16,5.6386914,3.5674436
c_1_18_17,0.96497905,8.289756
c_1_18_18,2.2475712,3.0032387
c_1_18_19,3.8612547,3.0897593
c_1_18_20,2.1951418,1.7680191
c_1_18_21,1.7932907,1.626888
c_1_18_22,1.9650595,2.0133371
c_1_18_23,2.9217463,3.3614585
c_1_18_24,1.1875858,8.077183
c_1_18_25,4.7600207,-0.40077546
c_1_18_26,4.4556675,5.163972
c_1_18_27,1.2473229,7.6295166
c_1_18_28,3.1394794,0.65614206
c_1_18_29,4.3805847,-0.3429788
c_1_18_30,4.9297495,-0.48149616
c_1_18_31,4.6753097,0.110500686
c_1_18_32,3.9060535,0.85426986
c_1_18_33,4.0265408,-1.6738372
c_1_18_34,2.5424325,3.4182339
c_1_18_35,1.7625685,1.2845427
c_1_18_36,2.068954,2.0131037
c_1_18_37,1.8300858,2.5929935
c_1_18_38,3.6817138,1.6513387
c_1_18_39,3.6817682,8.53092
c_1_18_40,4.38134,-1.3497405
c_1_18_41,3.9642274,-1.0089577
c_1_18_42,4.2787213,-0.68242437
c_1_18_43,2.6794195,2.8710067
c_1_18_44,5.377762,-0.4661678
c_1_18_45,2.8766758,0.20832264
c_1_18_46,4.0532107,-0.5196724
c_1_18_47,1.2702329,2.6494827
c_1_18_48,1.6271132,2.6753392
c_1_18_49,1.3825878,4.0990653
c_1_18_50,0.98728114,0.7458088
c_1_18_51,2.9720194,-0.3750622
c_1_18_52,5.131498,-0.7889609
c_1_18_53,5.32764,-0.2413355
c_1_18_54,1.9066541,1.7162822
c_1_18_55,3.505127,6.898951
c_1_18_56,2.9159684,3.6363313
c_1_18_57,4.2103057,-0.08190988
c_1_18_58,5.7685494,-0.9872725
c_1_18_59,4.284993,5.363076
c_1_18_60,4.747551,-1.1810975
c_1_18_61,4.94591,-0.20121902
c_1_18_62,3.6477458,-1.8520596
c_1_18_63,4.873021,0.39327958
c_1_18_64,3.2530515,7.4293737
c_1_18_65,4.286134,5.056373
c_1_18_66,4.4925714,-0.8087654
c_1_18_67,5.5938478,-1.4306288
c_1_18_68,5.3512673,-2.7269409
c_1_18_69,4.055245,0.21894144
c_1_18_70,4.080788,-1.8801378
c_1_18_71,4.9479847,-2.463744
c_1_18_72,3.5082662,0.48699704
c_1_18_73,2.7586677,5.0218515
c_1_18_74,5.023345,-1.9598048
c_1_18_75,4.6397076,6.1858544
c_1_18_76,4.779488,-1.5749524
c_1_18_77,3.0307567,2.5366807
c_1_18_78,5.329555,-1.8441664
c_1_18_79,5.077118,-2.7317717
c_1_18_80,4.9882193,-0.041273277
c_1_18_81,2.542429,-1.0324931
c_1_18_82,4.7446737,-1.2259864
c_1_18_83,3.274757,8.162797
c_1_18_84,5.0257306,-2.261511
c_1_18_85,4.603162,-0.5978469
c_1_18_86,4.670327,-0.08407386
c_1_18_87,6.569843,5.744855
c_1_18_88,3.1442485,8.976631
c_1_18_89,5.0508175,4.5426655
c_1_18_90,5.3605433,-1.7399533
c_1_18_91,5.502782,-1.3302641
c_1_18_92,3.236147,6.466536
c_1_18_93,3.340898,2.7907038
c_1_18_94,5.510892,-2.4408548
c_1_18_95,3.9917173,2.9970496
c_1_18_96,4.697365,-0.5442267
c_1_18_97,5.525806,5.8470044
c_1_18_98,2.3268218,2.877065
c_1_18_99,4.1790414,0.30291617
c_1_18_100,4.803898,-0.06048257
c_1_18_101,4.7070208,0.0050486885
c_1_18_102,4.0230994,1.5061897
c_1_18_103,3.8263173,-0.8487085
c_1_18_104,5.3596973,-2.9295025
c_1_18_105,3.6945822,2.8795629
c_1_18_106,5.3298297,-2.9304483
c_1_18_107,5.5286875,-2.9049149
c_1_18_108,1.4142051,1.8378341
c_1_18_109,5.7398105,-1.988866
c_1_18_110,4.8559966,-1.9086471
c_1_18_112,4.722213,-1.2751096
c_1_18_113,3.9834201,-1.4495245
c_1_18_114,3.4219153,2.4517732
c_1_18_115,4.0262194,8.608623
c_1_18_116,3.0372677,6.940445
c_1_18_117,2.120923,1.7696544
c_1_18_118,4.895152,-0.74616486
c_1_18_119,5.2700977,2.597134
c_1_18_120,5.39227,-2.9468439
c_1_18_121,4.456642,0.7912686
c_1_18_122,5.100325,-0.6756924
c_1_18_123,5.341622,-0.6738639
c_1_18_124,3.914066,4.4883847
c_1_18_125,2.8248932,7.249998
c_1_18_126,4.8390455,6.489818
c_1_18_127,3.9997568,7.9526625
c_1_18_128,5.793681,-1.2907552
c_1_18_129,2.644428,4.1882687
c_1_18_130,3.2909863,-0.76713616
c_1_18_131,5.31987,-0.47113088
c_1_18_132,4.7377167,3.5000691
c_1_18_133,5.091213,-1.5275304
c_1_18_134,4.4399023,-1.4564852
c_1_18_135,2.408407,3.0882013
c_1_18_136,4.684541,-0.37448907
c_1_18_137,2.1241713,3.4964654
c_1_18_138,4.1602383,-0.37113482
c_1_18_139,3.3781729,3.1791906
c_1_18_140,4.3470044,3.210195
c_1_18_141,4.5537643,-0.24683131
c_1_18_142,1.9319577,1.5645568
c_1_18_143,5.404457,-1.7716907
c_1_18_144,4.101424,-0.48416865
c_1_18_145,4.1880274,2.8474889
c_1_18_146,5.0014696,-1.0397608
c_1_18_147,5.2880654,-2.009695
c_1_18_148,4.4611845,-2.3832111
c_1_18_149,3.568592,9.036751
c_1_18_150,1.7836468,5.7312317
c_1_18_151,3.8102896,8.451468
c_1_18_152,1.7757556,2.9310591
c_1_18_153,4.8343077,-0.4147034
c_1_18_154,0.73270035,2.9386833
c_1_18_155,4.2274165,-0.2704723
c_1_18_156,4.3650775,0.15117459
c_1_18_157,5.2972507,-1.1035327
c_1_18_158,1.6774105,7.6155763
c_1_18_159,4.608284,-0.719495
c_1_18_160,1.9583526,2.7739007
c_1_18_161,4.36745,-2.0691311
c_1_18_162,3.9796498,-1.1183017
c_1_18_163,4.8004713,-0.7588413
c_1_18_164,5.384057,-2.2519972
c_1_18_165,4.9365387,-0.13176729
c_1_18_166,3.98181,6.0933123
c_1_18_167,0.94484437,5.2774267
c_1_18_168,1.6090165,2.9832687
c_1_18_169,3.8105314,2.805746
c_1_18_170,2.8801146,4.248665
c_1_18_171,3.960637,3.4587696
c_1_18_172,2.3555136,3.4263105
c_1_18_173,4.814073,-1.9690832
c_1_18_174,4.555466,0.2133987
c_1_18_175,4.827618,5.1646976
c_1_18_176,5.1548777,3.0466948
c_1_18_177,4.299633,-1.0283552
c_1_18_178,4.873629,-1.024634
c_1_18_179,1.5880507,6.8397417
c_1_18_180,5.5525427,-0.7679696
c_1_18_181,3.3469927,3.7176685
c_1_18_182,2.4653623,2.3543782
c_1_18_183,3.0904667,-1.322958
c_1_18_184,4.5809903,-1.0746017
c_1_18_185,3.1465757,5.950856
c_1_18_186,4.21614,0.9392118
c_1_18_187,1.7384819,5.5378895
c_1_18_188,5.2169895,-0.17834418
c_1_18_189,5.126413,-0.58626294
c_1_18_190,4.4283266,-0.7960442
c_1_18_191,4.6006317,-0.8706873
c_1_18_192,3.6519299,2.7292776
c_1_18_193,5.148154,-1.2895515
c_1_18_194,3.9882598,8.489183
c_1_18_195,0.5440907,2.2983794
c_1_18_196,4.809527,-0.6236009
c_1_18_197,2.5273414,3.0121849
c_1_18_198,3.8972883,0.19733007
c_1_18_199,4.1436048,-0.24382554
c_1_18_200,5.9349284,2.8127909
c_1_18_201,5.060683,-1.2502754
c_1_18_202,3.9719868,2.020386
c_1_18_203,5.2639356,-1.4151717
c_1_18_204,2.9246316,0.91281474
