cell_id,cell_type
c_1_12_1,Epithelial
c_1_12_2,Lymphoid-Plasma
c_1_12_3,Epithelial
c_1_12_4,Lymphoid-Other
c_1_12_5,Epithelial
c_1_12_6,Lymphoid-Plasma
c_1_12_7,Lymphoid-Plasma
c_1_12_8,Lymphoid-B
c_1_12_9,Myeloid
c_1_12_10,Lymphoid-Other
c_1_12_11,Epithelial
c_1_12_12,Lymphoid-Other
c_1_12_13,Lymphoid-Plasma
c_1_12_14,Lymphoid-Plasma
c_1_12_15,Epithelial
c_1_12_16,Epithelial
c_1_12_17,Endothelial
c_1_12_18,Myeloid
c_1_12_19,Lymphoid-Plasma
c_1_12_20,Lymphoid-T
c_1_12_21,Myeloid
c_1_12_22,Lymphoid-Plasma
c_1_12_23,Lymphoid-Plasma
c_1_12_24,Lymphoid-Plasma
c_1_12_25,Endothelial
c_1_12_26,Lymphoid-Plasma
c_1_12_27,Endothelial
c_1_12_28,Myeloid
c_1_12_29,Lymphoid-Plasma
c_1_12_30,Lymphoid-Plasma
c_1_12_31,Lymphoid-T
c_1_12_32,Endothelial
c_1_12_33,Lymphoid-Plasma
c_1_12_34,Lymphoid-Other
c_1_12_35,Lymphoid-T
c_1_12_36,Lymphoid-Plasma
c_1_12_37,Lymphoid-Plasma
c_1_12_38,Lymphoid-Other
c_1_12_39,Lymphoid-Other
c_1_12_40,Endothelial
c_1_12_41,Endothelial
c_1_12_42,Endothelial
c_1_12_43,Endothelial
c_1_12_44,Lymphoid-DC
c_1_12_45,Lymphoid-Other
c_1_12_46,Lymphoid-T
c_1_12_47,Lymphoid-Plasma
c_1_12_48,Lymphoid-Plasma
c_1_12_49,Lymphoid-T
c_1_12_50,Lymphoid-Plasma
c_1_12_51,Endothelial
c_1_12_52,Lymphoid-T
c_1_12_53,Lymphoid-Plasma
c_1_12_54,Lymphoid-T
c_1_12_55,Lymphoid-Plasma
c_1_12_56,Lymphoid-Plasma
c_1_12_57,Lymphoid-Plasma
c_1_12_58,Myeloid
c_1_12_59,Lymphoid-T
c_1_12_60,Lymphoid-Plasma
c_1_12_61,Endothelial
c_1_12_62,Lymphoid-T
c_1_12_63,Myeloid
c_1_12_64,Lymphoid-T
c_1_12_65,Myeloid
c_1_12_66,Lymphoid-Plasma
c_1_12_67,Lymphoid-T
c_1_12_68,Lymphoid-Plasma
c_1_12_69,Lymphoid-Other
c_1_12_70,Lymphoid-T
c_1_12_71,Lymphoid-Plasma
c_1_12_72,Stem
c_1_12_73,Epithelial
c_1_12_74,Lymphoid-T
c_1_12_75,Epithelial
c_1_12_76,Lymphoid-Plasma
c_1_12_77,Stem
c_1_12_78,Lymphoid-Plasma
c_1_12_79,Epithelial
c_1_12_80,Epithelial
c_1_12_81,Lymphoid-T
c_1_12_82,Myeloid
c_1_12_83,Lymphoid-Plasma
c_1_12_84,Epithelial
c_1_12_85,Lymphoid-Plasma
c_1_12_87,Lymphoid-T
c_1_12_88,Myeloid
c_1_12_89,Myeloid
c_1_12_90,Stem
c_1_12_91,Epithelial
c_1_12_92,Epithelial
c_1_12_93,Lymphoid-DC
c_1_12_94,Lymphoid-Plasma
c_1_12_95,Stem
c_1_12_96,Lymphoid-Plasma
c_1_12_97,Epithelial
c_1_12_98,Lymphoid-T
c_1_12_99,Epithelial
c_1_12_100,Lymphoid-DC
c_1_12_101,Myeloid
c_1_12_102,Lymphoid-T
c_1_12_103,Myeloid
c_1_12_104,Stem
c_1_12_105,Lymphoid-Plasma
c_1_12_106,Lymphoid-Plasma
c_1_12_107,Stem
c_1_12_108,Lymphoid-Plasma
c_1_12_109,Epithelial
c_1_12_110,Stem
c_1_12_111,Stem
c_1_12_112,Stem
c_1_12_113,Stem
c_1_12_114,Lymphoid-Plasma
c_1_12_115,Lymphoid-Plasma
c_1_12_116,Myeloid
c_1_12_117,Epithelial
c_1_12_118,Stem
c_1_12_119,Stem
c_1_12_120,Epithelial
c_1_12_121,Lymphoid-Plasma
c_1_12_122,Epithelial
c_1_12_123,Epithelial
c_1_12_124,Stem
c_1_12_125,Epithelial
c_1_12_126,Stem
c_1_12_127,Epithelial
c_1_12_128,Lymphoid-Plasma
c_1_12_129,Lymphoid-Plasma
c_1_12_130,Stem
c_1_12_131,Epithelial
c_1_12_132,Epithelial
c_1_12_133,Lymphoid-B
c_1_12_134,Lymphoid-Plasma
c_1_12_135,Mesenchymal-Stromal
c_1_12_136,Epithelial
c_1_12_137,Lymphoid-Other
c_1_12_138,Stem
c_1_12_139,Lymphoid-Other
c_1_12_140,Lymphoid-T
c_1_12_141,Lymphoid-Plasma
c_1_12_142,Epithelial
c_1_12_143,Epithelial
c_1_12_144,Epithelial
c_1_12_145,Epithelial
c_1_12_146,Stem
c_1_12_147,Epithelial
c_1_12_148,Lymphoid-B
c_1_12_149,Lymphoid-T
c_1_12_150,Lymphoid-Plasma
c_1_12_151,Lymphoid-Plasma
c_1_12_152,Epithelial
c_1_12_153,Lymphoid-Other
c_1_12_154,Epithelial
c_1_12_155,Lymphoid-Other
c_1_12_156,Lymphoid-Other
c_1_12_157,Epithelial
c_1_12_158,Endothelial
c_1_12_159,Mesenchymal-Stromal
c_1_12_160,Lymphoid-Plasma
c_1_12_161,Epithelial
c_1_12_162,Epithelial
c_1_12_163,Epithelial
c_1_12_164,Lymphoid-Other
c_1_12_165,Lymphoid-Plasma
c_1_12_166,Lymphoid-Plasma
c_1_12_167,Lymphoid-Other
c_1_12_168,Lymphoid-Other
c_1_12_169,Lymphoid-T
c_1_12_170,Lymphoid-T
c_1_12_171,Epithelial
c_1_12_172,Epithelial
c_1_12_173,Epithelial
c_1_12_174,Endothelial
c_1_12_175,Lymphoid-T
c_1_12_176,Epithelial
c_1_12_177,Lymphoid-Plasma
c_1_12_178,Epithelial
c_1_12_179,Lymphoid-Other
c_1_12_180,Epithelial
c_1_12_181,Lymphoid-Other
c_1_12_182,Endothelial
c_1_12_183,Lymphoid-Other
c_1_12_184,Lymphoid-Other
c_1_12_186,Erythroid
c_1_12_187,Epithelial
c_1_12_188,Lymphoid-T
c_1_12_189,Lymphoid-Other
c_1_12_190,Lymphoid-Plasma
c_1_12_191,Epithelial
c_1_12_192,Epithelial
c_1_12_193,Stem
c_1_12_194,Lymphoid-Other
