cell_id,cell_type
c_1_1_193,Lymphoid-Other
c_1_1_195,Erythroid
c_1_1_196,Epithelial
c_1_1_197,Lymphoid-Other
c_1_1_198,Lymphoid-Other
c_1_1_199,Lymphoid-Other
c_1_1_200,Lymphoid-Other
c_1_1_201,Mesenchymal-Stromal
c_1_1_204,Lymphoid-DC
c_1_1_205,Lymphoid-Other
c_1_1_206,Endothelial
c_1_1_207,Lymphoid-Other
c_1_1_208,Mesenchymal-Stromal
c_1_1_209,Mesenchymal-Stromal
c_1_1_211,Lymphoid-Other
c_1_1_212,Lymphoid-Other
c_1_1_213,Lymphoid-B
c_1_1_214,Mesenchymal-Stromal
c_1_1_215,Lymphoid-Other
c_1_1_216,Endothelial
c_1_1_218,Myeloid
c_1_1_219,Mesenchymal-Stromal
c_1_1_220,Lymphoid-Other
c_1_1_221,Lymphoid-Other
c_1_1_222,Lymphoid-Other
c_1_1_223,Lymphoid-Other
c_1_1_224,Lymphoid-B
c_1_1_225,Lymphoid-Other
c_1_1_227,Lymphoid-Other
c_1_1_229,Lymphoid-Other
c_1_1_230,Lymphoid-Other
c_1_1_231,Lymphoid-Other
c_1_1_232,Mesenchymal-Stromal
c_1_1_233,Endothelial
c_1_1_234,Endothelial
c_1_1_235,Lymphoid-Other
c_1_1_236,Lymphoid-Other
c_1_1_237,Lymphoid-T
c_1_1_238,Lymphoid-Other
c_1_1_239,Lymphoid-Other
c_1_1_240,Epithelial
c_1_1_242,Lymphoid-Other
c_1_1_243,Lymphoid-T
c_1_1_244,Endothelial
c_1_1_245,Lymphoid-Other
c_1_1_246,Lymphoid-Other
c_1_1_247,Myeloid
c_1_1_248,Lymphoid-Other
c_1_1_249,Lymphoid-Other
c_1_1_250,Lymphoid-Other
c_1_1_251,Lymphoid-T
c_1_1_252,Lymphoid-T
c_1_1_253,Mesenchymal-Stromal
c_1_1_256,Endothelial
c_1_1_257,Lymphoid-Other
c_1_1_258,Lymphoid-Other
c_1_1_259,Lymphoid-Other
c_1_1_260,Lymphoid-Other
c_1_1_261,Lymphoid-Other
c_1_1_262,Lymphoid-Other
c_1_1_263,Endothelial
c_1_1_264,Lymphoid-Other
c_1_1_265,Lymphoid-T
c_1_1_266,Endothelial
c_1_1_267,Lymphoid-T
c_1_1_268,Lymphoid-T
c_1_1_269,Endothelial
c_1_1_270,Endothelial
c_1_1_271,Myeloid
c_1_1_272,Mesenchymal-Stromal
c_1_1_273,Endothelial
c_1_1_274,Endothelial
c_1_1_275,Mesenchymal-Stromal
c_1_1_276,Endothelial
c_1_1_277,Mesenchymal-Stromal
c_1_1_278,Endothelial
c_1_1_279,Lymphoid-Plasma
c_1_1_280,Lymphoid-Other
c_1_1_281,Lymphoid-Other
c_1_1_282,Lymphoid-Other
c_1_1_283,Lymphoid-Other
c_1_1_284,Lymphoid-Other
c_1_1_285,Endothelial
c_1_1_286,Lymphoid-Other
c_1_1_287,Mesenchymal-Stromal
c_1_1_288,Lymphoid-T
c_1_1_289,Endothelial
c_1_1_290,Lymphoid-Other
c_1_1_292,Endothelial
c_1_1_294,Lymphoid-Other
c_1_1_295,Lymphoid-T
c_1_1_297,Lymphoid-Other
c_1_1_298,Endothelial
c_1_1_299,Lymphoid-Other
c_1_1_300,Lymphoid-Other
c_1_1_301,Lymphoid-Other
c_1_1_302,Lymphoid-Plasma
c_1_1_303,Endothelial
c_1_1_305,Lymphoid-Other
c_1_1_306,Lymphoid-Plasma
c_1_1_307,Endothelial
c_1_1_308,Lymphoid-Plasma
c_1_1_309,Lymphoid-Other
c_1_1_310,Lymphoid-Plasma
c_1_1_311,Lymphoid-Other
c_1_1_313,Lymphoid-T
c_1_1_314,Lymphoid-Plasma
c_1_1_315,Lymphoid-Other
c_1_1_317,Lymphoid-Other
c_1_1_318,Lymphoid-B
c_1_1_319,Lymphoid-Other
c_1_1_320,Endothelial
c_1_1_321,Endothelial
c_1_1_322,Endothelial
c_1_1_324,Endothelial
c_1_1_325,Lymphoid-Other
c_1_1_326,Mesenchymal-Stromal
c_1_1_327,Mesenchymal-Stromal
c_1_1_328,Lymphoid-Other
c_1_1_329,Endothelial
c_1_1_330,Lymphoid-Other
c_1_1_331,Lymphoid-Plasma
c_1_1_332,Lymphoid-T
c_1_1_333,Mesenchymal-Stromal
c_1_1_334,Mesenchymal-Stromal
c_1_1_335,Endothelial
c_1_1_336,Lymphoid-Other
c_1_1_337,Lymphoid-T
c_1_1_338,Lymphoid-Other
c_1_1_339,Endothelial
c_1_1_340,Lymphoid-Other
c_1_1_341,Mesenchymal-Stromal
c_1_1_342,Lymphoid-Other
c_1_1_343,Lymphoid-Other
c_1_1_344,Endothelial
c_1_1_345,Epithelial
c_1_1_346,Mesenchymal-Stromal
c_1_1_347,Lymphoid-Other
c_1_1_348,Endothelial
c_1_1_349,Myeloid
c_1_1_350,Lymphoid-Other
c_1_1_351,Lymphoid-Other
c_1_1_352,Lymphoid-Other
c_1_1_353,Lymphoid-Other
c_1_1_354,Mesenchymal-Stromal
c_1_1_355,Endothelial
c_1_1_357,Mesenchymal-Stromal
c_1_1_359,Mesenchymal-Stromal
c_1_1_361,Lymphoid-Other
c_1_1_362,Lymphoid-DC
c_1_1_363,Lymphoid-T
c_1_1_365,Lymphoid-Other
c_1_1_366,Mesenchymal-Stromal
c_1_1_367,Lymphoid-T
c_1_1_368,Lymphoid-Other
c_1_1_369,Lymphoid-DC
c_1_1_370,Lymphoid-T
c_1_1_371,Lymphoid-Other
c_1_1_372,Lymphoid-Other
c_1_1_373,Mesenchymal-Stromal
c_1_1_374,Lymphoid-Other
c_1_1_376,Mesenchymal-Stromal
c_1_1_377,Lymphoid-Other
c_1_1_378,Lymphoid-Other
c_1_1_379,Endothelial
c_1_1_380,Lymphoid-Other
c_1_1_381,Erythroid
c_1_1_382,Erythroid
c_1_1_383,Erythroid
c_1_1_384,Erythroid
