cell_id,leiden_cluster
c_1_126_1,3
c_1_126_2,2
c_1_126_3,1
c_1_126_4,2
c_1_126_5,0
c_1_126_6,21
c_1_126_7,14
c_1_126_8,9
c_1_126_9,10
c_1_126_10,14
c_1_126_11,10
c_1_126_12,18
c_1_126_13,7
c_1_126_14,7
c_1_126_15,25
c_1_126_16,3
c_1_126_17,8
c_1_126_18,7
c_1_126_19,14
c_1_126_20,14
c_1_126_21,21
c_1_126_22,14
c_1_126_23,3
c_1_126_24,10
c_1_126_25,0
c_1_126_26,0
c_1_126_27,1
c_1_126_28,23
c_1_126_29,5
c_1_126_30,0
c_1_126_31,0
c_1_126_32,1
c_1_126_33,8
c_1_126_34,11
c_1_126_35,3
c_1_126_36,1
c_1_126_37,12
c_1_126_38,11
c_1_126_39,1
c_1_126_40,27
c_1_126_41,0
c_1_126_42,10
c_1_126_43,0
c_1_126_44,7
c_1_126_45,6
c_1_126_46,9
c_1_126_47,22
c_1_126_48,7
c_1_126_49,11
c_1_126_50,5
c_1_126_51,1
c_1_126_52,0
c_1_126_53,26
c_1_126_54,5
c_1_126_55,3
c_1_126_56,24
c_1_126_57,20
c_1_126_58,0
c_1_126_59,3
c_1_126_60,5
c_1_126_61,9
c_1_126_62,0
c_1_126_63,25
c_1_126_64,11
c_1_126_65,5
c_1_126_66,16
c_1_126_67,3
c_1_126_68,6
c_1_126_69,1
c_1_126_70,24
c_1_126_71,0
c_1_126_72,0
c_1_126_73,11
c_1_126_74,0
c_1_126_75,6
c_1_126_76,5
c_1_126_77,0
c_1_126_78,5
c_1_126_79,24
c_1_126_80,0
c_1_126_81,18
c_1_126_82,5
c_1_126_83,3
c_1_126_84,9
c_1_126_85,10
c_1_126_86,12
c_1_126_87,9
c_1_126_88,0
c_1_126_89,12
c_1_126_90,21
c_1_126_91,2
c_1_126_92,0
c_1_126_93,0
c_1_126_94,0
c_1_126_95,0
c_1_126_96,5
c_1_126_97,9
c_1_126_98,12
c_1_126_99,3
c_1_126_100,0
c_1_126_101,2
c_1_126_102,18
c_1_126_103,11
c_1_126_104,1
c_1_126_105,2
c_1_126_106,0
c_1_126_107,0
c_1_126_108,10
c_1_126_109,0
c_1_126_110,6
c_1_126_111,29
c_1_126_112,0
c_1_126_113,8
c_1_126_114,0
c_1_126_115,0
c_1_126_116,12
c_1_126_117,0
c_1_126_118,10
c_1_126_119,17
c_1_126_120,1
c_1_126_121,0
c_1_126_122,0
c_1_126_123,24
c_1_126_124,15
c_1_126_125,17
c_1_126_126,5
c_1_126_127,1
c_1_126_128,0
c_1_126_129,0
c_1_126_130,11
c_1_126_131,25
c_1_126_132,6
c_1_126_133,0
c_1_126_134,4
c_1_126_135,0
c_1_126_136,1
c_1_126_137,0
c_1_126_138,31
c_1_126_139,0
c_1_126_140,31
c_1_126_141,0
c_1_126_142,18
c_1_126_143,20
c_1_126_144,0
c_1_126_145,11
c_1_126_146,22
c_1_126_147,23
c_1_126_148,20
c_1_126_149,4
c_1_126_150,1
c_1_126_151,9
c_1_126_152,19
c_1_126_153,6
c_1_126_154,20
c_1_126_155,0
c_1_126_156,1
c_1_126_157,6
c_1_126_158,0
c_1_126_159,0
c_1_126_160,18
c_1_126_161,0
c_1_126_162,5
c_1_126_163,21
c_1_126_164,0
c_1_126_165,8
c_1_126_166,0
c_1_126_167,2
c_1_126_168,2
c_1_126_169,12
c_1_126_170,18
c_1_126_171,11
c_1_126_172,26
c_1_126_173,9
c_1_126_174,1
c_1_126_175,12
c_1_126_176,13
c_1_126_177,0
c_1_126_178,0
c_1_126_179,0
c_1_126_180,0
c_1_126_181,19
c_1_126_182,16
c_1_126_183,0
c_1_126_184,0
c_1_126_185,12
c_1_126_186,22
c_1_126_187,0
c_1_126_188,6
c_1_126_189,0
c_1_126_190,0
c_1_126_191,0
c_1_126_192,8
c_1_126_193,0
c_1_126_194,0
c_1_126_195,0
c_1_126_196,0
c_1_126_197,13
c_1_126_198,4
c_1_126_199,29
c_1_126_200,4
c_1_126_201,6
c_1_126_202,0
c_1_126_203,14
c_1_126_204,30
c_1_126_205,23
c_1_126_206,23
c_1_126_207,4
c_1_126_208,15
c_1_126_209,0
c_1_126_210,0
c_1_126_211,8
c_1_126_212,13
c_1_126_213,3
c_1_126_214,0
c_1_126_215,6
c_1_126_216,2
c_1_126_217,12
c_1_126_218,1
c_1_126_219,1
c_1_126_220,0
c_1_126_221,0
c_1_126_222,22
c_1_126_223,27
c_1_126_224,6
c_1_126_225,20
c_1_126_226,5
c_1_126_227,0
c_1_126_228,1
c_1_126_229,27
c_1_126_230,3
c_1_126_231,26
c_1_126_232,0
c_1_126_233,3
c_1_126_234,6
c_1_126_235,0
c_1_126_236,19
c_1_126_237,1
c_1_126_238,3
c_1_126_239,0
c_1_126_240,8
c_1_126_241,7
c_1_126_242,15
c_1_126_243,0
c_1_126_244,5
c_1_126_245,0
c_1_126_246,0
c_1_126_247,28
c_1_126_248,16
c_1_126_249,13
c_1_126_250,13
c_1_126_251,9
c_1_126_252,7
c_1_126_253,0
c_1_126_254,18
c_1_126_255,0
c_1_126_256,9
c_1_126_257,0
c_1_126_258,16
c_1_126_259,0
c_1_126_260,25
c_1_126_261,15
c_1_126_262,1
c_1_126_263,0
c_1_126_264,1
c_1_126_265,6
c_1_126_266,10
c_1_126_267,1
c_1_126_268,23
c_1_126_269,0
c_1_126_270,11
c_1_126_271,2
c_1_126_272,1
c_1_126_273,19
c_1_126_274,0
c_1_126_275,15
c_1_126_276,19
c_1_126_277,0
c_1_126_278,7
c_1_126_279,9
c_1_126_280,0
c_1_126_281,0
c_1_126_282,0
c_1_126_283,21
c_1_126_284,0
c_1_126_285,0
c_1_126_286,0
c_1_126_287,8
c_1_126_288,4
c_1_126_289,0
c_1_126_290,0
c_1_126_291,3
c_1_126_292,6
c_1_126_293,12
c_1_126_294,24
c_1_126_295,8
c_1_126_296,3
c_1_126_297,17
c_1_126_298,13
c_1_126_299,5
c_1_126_300,11
c_1_126_301,18
c_1_126_302,3
c_1_126_303,0
c_1_126_304,27
c_1_126_305,7
c_1_126_306,0
c_1_126_307,1
c_1_126_308,9
c_1_126_309,8
c_1_126_310,0
c_1_126_311,17
c_1_126_312,1
c_1_126_313,2
c_1_126_314,8
c_1_126_315,7
c_1_126_316,2
c_1_126_317,2
c_1_126_318,14
c_1_126_319,18
c_1_126_320,14
c_1_126_321,14
c_1_126_322,8
c_1_126_323,14
c_1_126_324,2
c_1_126_325,15
c_1_126_326,2
c_1_126_327,13
c_1_126_328,14
c_1_126_329,14
c_1_126_330,14
c_1_126_331,14
c_1_126_332,14
c_1_126_333,14
c_1_126_334,14
