cell_id,ATM,BBLN,BMPR1A,CALB1,CD68,CSF2,CXCR4,EIF5A/L1,EMP3,FLT1,ICAM2,IFNL2/3,IGF2R,ISG15,KRT18,LGALS3,MT1X,NLRP3,NPR1,NRXN3,PDGFA,PGF,POU5F1,RBPJ,RXRA,SST,TLR5,TNFRSF10D,TPI1,VCAN
c_1_40_1,-0.24003213575056,-0.2669071192825961,-0.31928995135028854,-0.2426612767530786,-0.31381307470315917,-0.1991813087893286,-0.22956474156425624,-0.507610868676006,-0.40061491313391323,-0.2814640523745829,-0.25522238023939475,-0.2674100236109592,-0.2888913213790772,-0.30392580247989487,2.7823941415997315,-0.21698843645646365,-0.2800812441836619,-0.18301898824438864,-0.22465702051359632,-0.4403465815674049,-0.31717343401540027,-0.24033533423109002,-0.374573893089805,-0.2941295796911073,5.6837280001453685,-0.187978700906086,-0.23737564792414478,-0.23195574667604174,-0.3488368327333222,-0.1995194796965566
c_1_40_2,-0.24003213575056,-0.2669071192825961,-0.31928995135028854,-0.2426612767530786,-0.31381307470315917,-0.1991813087893286,-0.22956474156425624,-0.507610868676006,-0.40061491313391323,-0.2814640523745829,-0.25522238023939475,-0.2674100236109592,-0.2888913213790772,-0.30392580247989487,-0.39896113048685455,-0.21698843645646365,-0.2800812441836619,-0.18301898824438864,-0.22465702051359632,-0.4403465815674049,-0.31717343401540027,-0.24033533423109002,-0.374573893089805,-0.2941295796911073,-0.2537323840176345,-0.187978700906086,-0.23737564792414478,-0.23195574667604174,-0.3488368327333222,-0.1995194796965566
c_1_40_3,-0.24003213575056,-0.2669071192825961,-0.31928995135028854,-0.2426612767530786,6.113954611952115,-0.1991813087893286,-0.22956474156425624,-0.507610868676006,4.866145796513351,-0.2814640523745829,-0.25522238023939475,-0.2674100236109592,-0.2888913213790772,-0.30392580247989487,-0.39896113048685455,-0.21698843645646365,-0.2800812441836619,-0.18301898824438864,-0.22465702051359632,-0.4403465815674049,-0.31717343401540027,-0.24033533423109002,-0.374573893089805,-0.2941295796911073,-0.2537323840176345,-0.187978700906086,-0.23737564792414478,-0.23195574667604174,-0.3488368327333222,-0.1995194796965566
c_1_40_4,-0.24003213575056,-0.2669071192825961,-0.31928995135028854,-0.2426612767530786,-0.31381307470315917,-0.1991813087893286,-0.22956474156425624,-0.507610868676006,-0.40061491313391323,-0.2814640523745829,-0.25522238023939475,-0.2674100236109592,-0.2888913213790772,-0.30392580247989487,-0.39896113048685455,-0.21698843645646365,-0.2800812441836619,-0.18301898824438864,-0.22465702051359632,-0.4403465815674049,-0.31717343401540027,-0.24033533423109002,-0.374573893089805,-0.2941295796911073,-0.2537323840176345,-0.187978700906086,-0.23737564792414478,-0.23195574667604174,-0.3488368327333222,-0.1995194796965566
c_1_40_5,-0.24003213575056,-0.2669071192825961,-0.31928995135028854,-0.2426612767530786,-0.31381307470315917,-0.1991813087893286,-0.22956474156425624,-0.507610868676006,-0.40061491313391323,-0.2814640523745829,-0.25522238023939475,6.818600472207099,-0.2888913213790772,-0.30392580247989487,-0.39896113048685455,-0.21698843645646365,-0.2800812441836619,-0.18301898824438864,-0.22465702051359632,-0.4403465815674049,-0.31717343401540027,-0.24033533423109002,-0.374573893089805,-0.2941295796911073,-0.2537323840176345,-0.187978700906086,-0.23737564792414478,-0.23195574667604174,-0.3488368327333222,-0.1995194796965566
c_1_40_7,-0.24003213575056,-0.2669071192825961,-0.31928995135028854,-0.2426612767530786,-0.31381307470315917,-0.1991813087893286,-0.22956474156425624,-0.507610868676006,-0.40061491313391323,-0.2814640523745829,-0.25522238023939475,-0.2674100236109592,-0.2888913213790772,-0.30392580247989487,-0.39896113048685455,-0.21698843645646365,-0.2800812441836619,-0.18301898824438864,-0.22465702051359632,-0.4403465815674049,-0.31717343401540027,-0.24033533423109002,-0.374573893089805,-0.2941295796911073,-0.2537323840176345,-0.187978700906086,-0.23737564792414478,6.455154089497477,-0.3488368327333222,-0.1995194796965566
c_1_40_8,-0.24003213575056,-0.2669071192825961,-0.31928995135028854,-0.2426612767530786,-0.31381307470315917,3.213489009957537,2.1450197675473888,1.389784841309891,0.966158498518225,-0.2814640523745829,-0.25522238023939475,-0.2674100236109592,1.634387872973142,-0.30392580247989487,-0.39896113048685455,-0.21698843645646365,-0.2800812441836619,-0.18301898824438864,-0.22465702051359632,0.8776501099031665,-0.31717343401540027,-0.24033533423109002,-0.374573893089805,-0.2941295796911073,-0.2537323840176345,-0.187978700906086,-0.23737564792414478,-0.23195574667604174,2.159686290924698,-0.1995194796965566
c_1_40_9,-0.24003213575056,-0.2669071192825961,-0.31928995135028854,-0.2426612767530786,1.0400441976661836,-0.1991813087893286,2.819359796791741,0.5033849437963587,-0.40061491313391323,-0.2814640523745829,-0.25522238023939475,1.4682566956590624,-0.2888913213790772,-0.30392580247989487,-0.39896113048685455,-0.21698843645646365,-0.2800812441836619,-0.18301898824438864,-0.22465702051359632,-0.4403465815674049,2.0633086477583293,-0.24033533423109002,0.9793680860075133,-0.2941295796911073,-0.2537323840176345,-0.187978700906086,-0.23737564792414478,-0.23195574667604174,-0.3488368327333222,-0.1995194796965566
c_1_40_10,-0.24003213575056,-0.2669071192825961,-0.31928995135028854,-0.2426612767530786,-0.31381307470315917,-0.1991813087893286,-0.22956474156425624,-0.507610868676006,2.342250449340022,-0.2814640523745829,-0.25522238023939475,2.1506756166546555,-0.2888913213790772,-0.30392580247989487,-0.39896113048685455,-0.21698843645646365,-0.2800812441836619,-0.18301898824438864,-0.22465702051359632,-0.4403465815674049,-0.31717343401540027,-0.24033533423109002,-0.374573893089805,-0.2941295796911073,-0.2537323840176345,-0.187978700906086,-0.23737564792414478,-0.23195574667604174,-0.3488368327333222,-0.1995194796965566
c_1_40_11,-0.24003213575056,-0.2669071192825961,-0.31928995135028854,-0.2426612767530786,-0.31381307470315917,-0.1991813087893286,-0.22956474156425624,-0.507610868676006,2.743668940947929,-0.2814640523745829,-0.25522238023939475,-0.2674100236109592,-0.2888913213790772,-0.30392580247989487,-0.39896113048685455,-0.21698843645646365,-0.2800812441836619,-0.18301898824438864,6.684972582191234,-0.4403465815674049,-0.31717343401540027,-0.24033533423109002,-0.374573893089805,-0.2941295796911073,-0.2537323840176345,-0.187978700906086,-0.23737564792414478,-0.23195574667604174,-0.3488368327333222,-0.1995194796965566
