cell_id,cell_type
c_1_46_181,Lymphoid-Other
c_1_46_182,Lymphoid-T
c_1_46_183,Lymphoid-Other
c_1_46_184,Epithelial
c_1_46_185,Lymphoid-Other
c_1_46_186,Lymphoid-Other
c_1_46_187,Lymphoid-Other
c_1_46_188,Lymphoid-Other
c_1_46_189,Lymphoid-Other
c_1_46_190,Lymphoid-T
c_1_46_191,Epithelial
c_1_46_192,Epithelial
c_1_46_193,Lymphoid-Other
c_1_46_194,Lymphoid-Other
c_1_46_195,Lymphoid-Other
c_1_46_196,Lymphoid-Other
c_1_46_197,Lymphoid-Other
c_1_46_198,Lymphoid-Plasma
c_1_46_199,Lymphoid-Other
c_1_46_200,Lymphoid-Other
c_1_46_201,Lymphoid-Other
c_1_46_202,Lymphoid-Other
c_1_46_203,Lymphoid-Other
c_1_46_204,Epithelial
c_1_46_205,Lymphoid-Other
c_1_46_206,Lymphoid-Plasma
c_1_46_207,Lymphoid-Other
c_1_46_208,Lymphoid-T
c_1_46_209,Lymphoid-Plasma
c_1_46_210,Lymphoid-DC
c_1_46_211,Lymphoid-Other
c_1_46_212,Lymphoid-Other
c_1_46_213,Lymphoid-Other
c_1_46_214,Lymphoid-Other
c_1_46_215,Lymphoid-Other
c_1_46_216,Lymphoid-Other
c_1_46_217,Lymphoid-Other
c_1_46_218,Epithelial
c_1_46_219,Lymphoid-Other
c_1_46_220,Lymphoid-Other
c_1_46_221,Lymphoid-Other
c_1_46_222,Lymphoid-T
c_1_46_223,Lymphoid-T
c_1_46_224,Lymphoid-Other
c_1_46_225,Lymphoid-Other
c_1_46_226,Lymphoid-T
c_1_46_227,Lymphoid-Plasma
c_1_46_228,Lymphoid-T
c_1_46_229,Lymphoid-Other
c_1_46_230,Lymphoid-Other
c_1_46_231,Lymphoid-Other
c_1_46_232,Lymphoid-Other
c_1_46_233,Lymphoid-Other
c_1_46_234,Lymphoid-Other
c_1_46_235,Lymphoid-Other
c_1_46_236,Lymphoid-Other
c_1_46_237,Lymphoid-Other
c_1_46_238,Epithelial
c_1_46_239,Epithelial
c_1_46_240,Lymphoid-Other
c_1_46_241,Lymphoid-Other
c_1_46_242,Lymphoid-Other
c_1_46_243,Lymphoid-T
c_1_46_244,Lymphoid-Other
c_1_46_245,Lymphoid-T
c_1_46_246,Lymphoid-Other
c_1_46_247,Lymphoid-Other
c_1_46_248,Lymphoid-Other
c_1_46_249,Lymphoid-Plasma
c_1_46_250,Lymphoid-Other
c_1_46_251,Lymphoid-Other
c_1_46_252,Lymphoid-Other
c_1_46_253,Lymphoid-Other
c_1_46_254,Lymphoid-Other
c_1_46_255,Lymphoid-Other
c_1_46_256,Lymphoid-Other
c_1_46_257,Lymphoid-Other
c_1_46_258,Lymphoid-Other
c_1_46_259,Lymphoid-Other
c_1_46_260,Mesenchymal-Stromal
c_1_46_261,Lymphoid-Other
c_1_46_262,Lymphoid-Other
c_1_46_263,Lymphoid-Other
c_1_46_264,Lymphoid-Other
c_1_46_265,Lymphoid-Other
c_1_46_266,Lymphoid-Other
c_1_46_267,Lymphoid-Other
c_1_46_268,Lymphoid-T
c_1_46_269,Lymphoid-Other
c_1_46_270,Epithelial
c_1_46_271,Lymphoid-Other
c_1_46_272,Lymphoid-T
c_1_46_273,Epithelial
c_1_46_274,Lymphoid-Other
c_1_46_275,Lymphoid-Other
c_1_46_276,Lymphoid-Other
c_1_46_277,Lymphoid-Other
c_1_46_278,Epithelial
c_1_46_279,Epithelial
c_1_46_280,Lymphoid-Other
c_1_46_281,Epithelial
c_1_46_282,Lymphoid-Other
c_1_46_283,Lymphoid-Other
c_1_46_284,Lymphoid-Other
c_1_46_285,Lymphoid-Other
c_1_46_286,Epithelial
c_1_46_287,Lymphoid-T
c_1_46_288,Epithelial
c_1_46_289,Lymphoid-Other
c_1_46_290,Lymphoid-Other
c_1_46_291,Lymphoid-T
c_1_46_292,Lymphoid-Other
c_1_46_293,Lymphoid-Other
c_1_46_294,Lymphoid-Other
c_1_46_295,Lymphoid-Other
c_1_46_296,Epithelial
c_1_46_297,Lymphoid-T
c_1_46_298,Lymphoid-Other
c_1_46_299,Lymphoid-Other
c_1_46_300,Lymphoid-T
c_1_46_301,Lymphoid-Other
c_1_46_302,Lymphoid-Other
c_1_46_303,Lymphoid-Other
c_1_46_304,Epithelial
c_1_46_305,Lymphoid-Other
c_1_46_306,Lymphoid-Other
c_1_46_307,Epithelial
c_1_46_308,Lymphoid-Other
c_1_46_309,Lymphoid-Other
c_1_46_310,Lymphoid-Other
c_1_46_311,Lymphoid-Other
c_1_46_312,Lymphoid-T
c_1_46_313,Lymphoid-Other
c_1_46_314,Lymphoid-Other
c_1_46_315,Lymphoid-Other
c_1_46_316,Lymphoid-Other
c_1_46_317,Lymphoid-T
c_1_46_318,Lymphoid-Other
c_1_46_319,Lymphoid-Other
c_1_46_320,Lymphoid-T
c_1_46_321,Lymphoid-Other
c_1_46_322,Lymphoid-B
c_1_46_323,Epithelial
c_1_46_324,Lymphoid-Other
c_1_46_325,Lymphoid-Other
c_1_46_326,Lymphoid-Other
c_1_46_327,Lymphoid-Other
c_1_46_328,Lymphoid-T
c_1_46_329,Lymphoid-Plasma
c_1_46_330,Lymphoid-Other
c_1_46_331,Lymphoid-Other
c_1_46_332,Lymphoid-Other
c_1_46_333,Lymphoid-Other
c_1_46_334,Lymphoid-Other
c_1_46_335,Lymphoid-Other
c_1_46_336,Lymphoid-Other
c_1_46_337,Lymphoid-Plasma
c_1_46_338,Lymphoid-Other
c_1_46_339,Lymphoid-T
c_1_46_340,Lymphoid-Plasma
c_1_46_341,Lymphoid-Plasma
c_1_46_342,Lymphoid-Other
c_1_46_343,Lymphoid-Other
c_1_46_344,Lymphoid-Other
c_1_46_345,Lymphoid-Other
c_1_46_346,Lymphoid-T
c_1_46_347,Lymphoid-Other
c_1_46_348,Lymphoid-Other
c_1_46_349,Lymphoid-B
c_1_46_350,Lymphoid-Other
c_1_46_351,Lymphoid-T
c_1_46_352,Lymphoid-Other
c_1_46_353,Lymphoid-Other
c_1_46_354,Lymphoid-Other
c_1_46_355,Lymphoid-Other
c_1_46_356,Lymphoid-Other
c_1_46_357,Lymphoid-Plasma
c_1_46_358,Lymphoid-Other
c_1_46_359,Lymphoid-Other
c_1_46_360,Lymphoid-Other
c_1_46_361,Lymphoid-Other
c_1_46_362,Lymphoid-Other
c_1_46_363,Lymphoid-Other
c_1_46_364,Lymphoid-Plasma
c_1_46_365,Lymphoid-Plasma
c_1_46_366,Lymphoid-Other
c_1_46_367,Lymphoid-Other
c_1_46_368,Lymphoid-Other
c_1_46_369,Lymphoid-Other
c_1_46_370,Lymphoid-Other
c_1_46_371,Lymphoid-Other
c_1_46_372,Lymphoid-Other
c_1_46_373,Lymphoid-Other
c_1_46_374,Lymphoid-Other
c_1_46_375,Lymphoid-Other
c_1_46_376,Lymphoid-Other
c_1_46_377,Lymphoid-DC
c_1_46_378,Lymphoid-Other
c_1_46_379,Lymphoid-Other
c_1_46_380,Lymphoid-T
c_1_46_381,Lymphoid-Other
c_1_46_382,Lymphoid-Other
c_1_46_383,Lymphoid-Other
c_1_46_384,Lymphoid-Other
c_1_46_385,Lymphoid-Other
c_1_46_386,Epithelial
c_1_46_387,Lymphoid-Other
c_1_46_388,Lymphoid-Other
c_1_46_389,Lymphoid-Other
c_1_46_390,Lymphoid-Other
c_1_46_391,Lymphoid-Other
c_1_46_392,Lymphoid-Other
c_1_46_393,Lymphoid-Other
c_1_46_394,Lymphoid-Other
c_1_46_395,Lymphoid-Other
c_1_46_396,Lymphoid-Other
c_1_46_397,Lymphoid-Other
c_1_46_398,Lymphoid-Other
c_1_46_399,Lymphoid-Other
c_1_46_400,Lymphoid-Other
c_1_46_401,Lymphoid-Other
c_1_46_402,Lymphoid-Other
c_1_46_403,Lymphoid-T
c_1_46_404,Lymphoid-Other
c_1_46_405,Lymphoid-T
c_1_46_406,Lymphoid-Other
c_1_46_407,Lymphoid-Other
c_1_46_408,Lymphoid-Plasma
c_1_46_409,Lymphoid-Other
c_1_46_410,Lymphoid-Other
c_1_46_411,Lymphoid-Other
c_1_46_412,Lymphoid-Other
c_1_46_413,Epithelial
c_1_46_414,Lymphoid-Other
c_1_46_415,Epithelial
c_1_46_416,Lymphoid-Other
c_1_46_417,Lymphoid-T
c_1_46_418,Lymphoid-Other
c_1_46_419,Lymphoid-Other
c_1_46_420,Epithelial
c_1_46_421,Lymphoid-Other
c_1_46_422,Lymphoid-T
c_1_46_423,Lymphoid-Other
c_1_46_424,Lymphoid-Other
c_1_46_425,Lymphoid-Other
c_1_46_426,Lymphoid-Other
c_1_46_427,Lymphoid-Other
c_1_46_428,Epithelial
c_1_46_429,Lymphoid-Plasma
c_1_46_430,Lymphoid-Plasma
c_1_46_431,Lymphoid-Plasma
c_1_46_432,Lymphoid-Other
c_1_46_433,Lymphoid-Other
c_1_46_434,Lymphoid-Other
c_1_46_435,Lymphoid-Other
c_1_46_436,Lymphoid-Other
c_1_46_437,Epithelial
c_1_46_438,Lymphoid-DC
c_1_46_439,Lymphoid-Other
c_1_46_440,Lymphoid-Other
c_1_46_441,Lymphoid-T
c_1_46_442,Lymphoid-Other
c_1_46_443,Lymphoid-Other
c_1_46_444,Lymphoid-Other
c_1_46_445,Epithelial
c_1_46_446,Lymphoid-T
c_1_46_447,Lymphoid-Other
c_1_46_448,Lymphoid-Other
c_1_46_449,Lymphoid-Other
c_1_46_450,Lymphoid-Other
c_1_46_451,Lymphoid-Other
c_1_46_452,Lymphoid-Other
c_1_46_453,Lymphoid-Other
c_1_46_454,Lymphoid-Other
c_1_46_455,Lymphoid-T
c_1_46_456,Lymphoid-Other
c_1_46_457,Lymphoid-Other
c_1_46_458,Lymphoid-Plasma
c_1_46_459,Lymphoid-Other
c_1_46_460,Lymphoid-Other
c_1_46_461,Lymphoid-Other
c_1_46_462,Lymphoid-Other
c_1_46_463,Lymphoid-Other
c_1_46_464,Lymphoid-Other
c_1_46_465,Lymphoid-Other
c_1_46_466,Epithelial
c_1_46_467,Lymphoid-Other
c_1_46_468,Lymphoid-Other
c_1_46_469,Lymphoid-Other
c_1_46_470,Lymphoid-Other
c_1_46_471,Lymphoid-Other
c_1_46_472,Lymphoid-Other
c_1_46_473,Lymphoid-Plasma
c_1_46_474,Lymphoid-B
c_1_46_475,Lymphoid-Plasma
c_1_46_476,Lymphoid-Plasma
c_1_46_477,Lymphoid-Other
c_1_46_478,Lymphoid-Other
c_1_46_479,Lymphoid-Other
c_1_46_480,Lymphoid-T
c_1_46_481,Lymphoid-Other
c_1_46_482,Lymphoid-Other
c_1_46_483,Lymphoid-T
c_1_46_484,Lymphoid-Plasma
c_1_46_485,Lymphoid-Other
c_1_46_486,Lymphoid-Other
c_1_46_487,Lymphoid-Other
c_1_46_488,Lymphoid-Other
c_1_46_489,Lymphoid-Other
c_1_46_490,Lymphoid-Other
c_1_46_491,Lymphoid-Other
c_1_46_492,Lymphoid-Other
c_1_46_493,Lymphoid-T
c_1_46_494,Lymphoid-Other
c_1_46_495,Lymphoid-Other
c_1_46_496,Lymphoid-Other
c_1_46_497,Lymphoid-Other
c_1_46_498,Lymphoid-B
c_1_46_499,Lymphoid-Other
c_1_46_500,Lymphoid-Other
c_1_46_501,Lymphoid-Other
c_1_46_502,Mesenchymal-Stromal
c_1_46_503,Lymphoid-Other
c_1_46_504,Lymphoid-Other
c_1_46_505,Lymphoid-Other
c_1_46_506,Lymphoid-Other
c_1_46_507,Lymphoid-Other
c_1_46_508,Lymphoid-Other
c_1_46_509,Lymphoid-Plasma
c_1_46_510,Lymphoid-Other
c_1_46_511,Lymphoid-T
c_1_46_512,Lymphoid-Other
c_1_46_513,Lymphoid-T
c_1_46_514,Lymphoid-Other
c_1_46_515,Lymphoid-Other
c_1_46_516,Lymphoid-Plasma
c_1_46_517,Lymphoid-Other
c_1_46_518,Lymphoid-B
c_1_46_519,Lymphoid-Other
c_1_46_520,Lymphoid-Other
c_1_46_521,Lymphoid-Other
c_1_46_522,Lymphoid-T
c_1_46_523,Lymphoid-Other
c_1_46_524,Lymphoid-Other
c_1_46_525,Lymphoid-Other
c_1_46_526,Lymphoid-Other
c_1_46_527,Lymphoid-T
c_1_46_528,Lymphoid-T
c_1_46_529,Lymphoid-Other
c_1_46_530,Lymphoid-Other
c_1_46_531,Lymphoid-Other
c_1_46_532,Lymphoid-Other
c_1_46_534,Lymphoid-Other
c_1_46_535,Lymphoid-T
c_1_46_536,Lymphoid-Other
c_1_46_537,Lymphoid-Other
c_1_46_538,Lymphoid-Other
c_1_46_539,Lymphoid-Other
c_1_46_540,Lymphoid-Other
c_1_46_541,Lymphoid-Plasma
c_1_46_542,Lymphoid-Other
c_1_46_543,Lymphoid-Other
c_1_46_544,Lymphoid-Other
c_1_46_545,Lymphoid-Other
c_1_46_546,Lymphoid-Other
c_1_46_547,Lymphoid-Other
c_1_46_548,Lymphoid-T
c_1_46_549,Lymphoid-T
c_1_46_550,Lymphoid-Other
c_1_46_551,Lymphoid-DC
c_1_46_552,Lymphoid-Plasma
c_1_46_553,Lymphoid-Other
c_1_46_554,Lymphoid-Other
c_1_46_555,Lymphoid-T
c_1_46_556,Lymphoid-Other
c_1_46_557,Lymphoid-Other
c_1_46_558,Lymphoid-Other
c_1_46_559,Lymphoid-Other
c_1_46_560,Lymphoid-Other
c_1_46_561,Lymphoid-Other
c_1_46_562,Lymphoid-Other
c_1_46_563,Lymphoid-Other
c_1_46_564,Lymphoid-Plasma
c_1_46_565,Lymphoid-Other
c_1_46_566,Lymphoid-Other
c_1_46_567,Lymphoid-Other
c_1_46_568,Lymphoid-Other
c_1_46_569,Lymphoid-Other
c_1_46_570,Lymphoid-Other
c_1_46_571,Lymphoid-Other
c_1_46_572,Lymphoid-Other
c_1_46_573,Lymphoid-Other
c_1_46_574,Lymphoid-Other
c_1_46_575,Lymphoid-Plasma
c_1_46_576,Lymphoid-Other
c_1_46_577,Lymphoid-Other
c_1_46_578,Lymphoid-Other
c_1_46_579,Lymphoid-Other
c_1_46_580,Lymphoid-Other
c_1_46_581,Lymphoid-Other
c_1_46_582,Lymphoid-Other
c_1_46_583,Lymphoid-Other
c_1_46_584,Lymphoid-Other
c_1_46_585,Lymphoid-Other
c_1_46_586,Lymphoid-Other
c_1_46_587,Lymphoid-Other
c_1_46_588,Lymphoid-Other
c_1_46_589,Lymphoid-T
c_1_46_590,Lymphoid-Other
c_1_46_591,Lymphoid-Other
c_1_46_592,Lymphoid-Other
c_1_46_593,Lymphoid-Other
c_1_46_594,Epithelial
c_1_46_595,Lymphoid-Other
c_1_46_596,Lymphoid-Other
c_1_46_597,Lymphoid-Other
c_1_46_598,Lymphoid-Other
c_1_46_599,Lymphoid-Other
c_1_46_600,Lymphoid-T
c_1_46_601,Lymphoid-Other
c_1_46_602,Lymphoid-Other
c_1_46_603,Epithelial
c_1_46_604,Lymphoid-Other
c_1_46_605,Lymphoid-Other
c_1_46_606,Lymphoid-Other
c_1_46_607,Lymphoid-Other
c_1_46_608,Epithelial
c_1_46_609,Lymphoid-Other
c_1_46_610,Lymphoid-Other
c_1_46_611,Lymphoid-Other
c_1_46_612,Lymphoid-Other
c_1_46_613,Lymphoid-Other
c_1_46_614,Epithelial
c_1_46_615,Lymphoid-Other
c_1_46_616,Lymphoid-Other
c_1_46_617,Lymphoid-Other
c_1_46_618,Lymphoid-T
c_1_46_619,Lymphoid-Other
c_1_46_620,Lymphoid-Other
c_1_46_621,Lymphoid-Other
c_1_46_622,Epithelial
c_1_46_623,Lymphoid-T
c_1_46_624,Lymphoid-Other
c_1_46_625,Lymphoid-Other
c_1_46_626,Lymphoid-Other
c_1_46_627,Lymphoid-Other
c_1_46_628,Lymphoid-Other
c_1_46_629,Lymphoid-Other
c_1_46_630,Lymphoid-B
c_1_46_631,Lymphoid-Other
c_1_46_632,Lymphoid-Other
c_1_46_633,Lymphoid-Other
c_1_46_634,Lymphoid-T
c_1_46_635,Lymphoid-Other
c_1_46_636,Lymphoid-Other
c_1_46_637,Lymphoid-Other
c_1_46_638,Lymphoid-Other
c_1_46_639,Lymphoid-Other
c_1_46_640,Lymphoid-B
c_1_46_641,Lymphoid-Other
c_1_46_642,Lymphoid-B
c_1_46_643,Lymphoid-Other
c_1_46_644,Lymphoid-Other
c_1_46_645,Lymphoid-Other
c_1_46_646,Lymphoid-T
c_1_46_647,Lymphoid-Other
c_1_46_648,Lymphoid-T
c_1_46_649,Lymphoid-Other
c_1_46_650,Lymphoid-Other
c_1_46_651,Lymphoid-Other
c_1_46_652,Lymphoid-Other
c_1_46_653,Lymphoid-Other
c_1_46_654,Lymphoid-Other
c_1_46_655,Lymphoid-Other
c_1_46_656,Epithelial
c_1_46_657,Lymphoid-Other
c_1_46_658,Lymphoid-Other
c_1_46_659,Lymphoid-T
c_1_46_660,Epithelial
c_1_46_661,Lymphoid-T
c_1_46_662,Lymphoid-Other
c_1_46_663,Epithelial
c_1_46_664,Lymphoid-Other
c_1_46_665,Lymphoid-Other
c_1_46_666,Lymphoid-Other
c_1_46_667,Lymphoid-Other
c_1_46_668,Lymphoid-DC
c_1_46_669,Lymphoid-Other
c_1_46_670,Lymphoid-Other
c_1_46_671,Lymphoid-Other
c_1_46_672,Lymphoid-T
c_1_46_673,Lymphoid-T
c_1_46_674,Lymphoid-Other
c_1_46_675,Lymphoid-Other
c_1_46_676,Lymphoid-T
c_1_46_677,Lymphoid-T
c_1_46_678,Lymphoid-Other
c_1_46_679,Lymphoid-T
c_1_46_680,Lymphoid-Other
c_1_46_681,Lymphoid-Other
c_1_46_682,Lymphoid-Other
c_1_46_683,Lymphoid-Other
c_1_46_684,Lymphoid-Other
c_1_46_685,Lymphoid-Other
c_1_46_686,Lymphoid-Other
c_1_46_687,Lymphoid-Other
c_1_46_688,Lymphoid-Other
c_1_46_689,Lymphoid-Other
c_1_46_690,Lymphoid-Other
c_1_46_691,Lymphoid-Other
c_1_46_692,Lymphoid-Other
c_1_46_693,Lymphoid-Other
c_1_46_694,Lymphoid-Other
c_1_46_695,Lymphoid-Other
c_1_46_696,Lymphoid-T
c_1_46_697,Lymphoid-Other
c_1_46_698,Lymphoid-Other
c_1_46_699,Lymphoid-Other
c_1_46_700,Lymphoid-T
c_1_46_701,Lymphoid-Other
c_1_46_702,Lymphoid-Other
c_1_46_703,Lymphoid-Other
c_1_46_704,Lymphoid-Other
c_1_46_705,Lymphoid-Other
c_1_46_706,Lymphoid-Other
c_1_46_707,Lymphoid-Other
c_1_46_708,Lymphoid-Other
c_1_46_709,Endothelial
c_1_46_710,Lymphoid-Other
c_1_46_711,Lymphoid-Other
c_1_46_712,Lymphoid-Other
c_1_46_713,Lymphoid-Other
c_1_46_714,Lymphoid-Other
c_1_46_715,Lymphoid-Other
c_1_46_716,Lymphoid-Other
c_1_46_717,Lymphoid-Other
c_1_46_718,Lymphoid-Other
c_1_46_719,Lymphoid-Other
c_1_46_720,Lymphoid-T
c_1_46_721,Lymphoid-Other
c_1_46_722,Lymphoid-Other
c_1_46_723,Lymphoid-Other
c_1_46_724,Lymphoid-Other
c_1_46_725,Lymphoid-Other
c_1_46_726,Epithelial
c_1_46_727,Lymphoid-T
c_1_46_728,Lymphoid-Other
c_1_46_729,Lymphoid-Other
c_1_46_730,Lymphoid-T
c_1_46_731,Lymphoid-Other
c_1_46_732,Lymphoid-Other
c_1_46_733,Lymphoid-Other
c_1_46_734,Lymphoid-Other
c_1_46_735,Epithelial
c_1_46_736,Lymphoid-Other
c_1_46_737,Lymphoid-Other
c_1_46_738,Lymphoid-Other
c_1_46_739,Epithelial
c_1_46_740,Lymphoid-B
c_1_46_741,Lymphoid-Other
c_1_46_742,Lymphoid-Other
c_1_46_743,Epithelial
c_1_46_744,Lymphoid-Other
c_1_46_745,Lymphoid-Other
c_1_46_746,Lymphoid-Other
c_1_46_747,Epithelial
c_1_46_748,Lymphoid-Other
c_1_46_749,Lymphoid-Other
c_1_46_750,Lymphoid-Other
c_1_46_751,Lymphoid-Other
c_1_46_752,Lymphoid-Other
c_1_46_753,Lymphoid-Other
c_1_46_754,Lymphoid-Other
c_1_46_755,Lymphoid-T
c_1_46_756,Lymphoid-Other
c_1_46_757,Lymphoid-Other
c_1_46_758,Lymphoid-Other
c_1_46_759,Lymphoid-Other
c_1_46_760,Epithelial
c_1_46_761,Lymphoid-Other
c_1_46_762,Lymphoid-Other
c_1_46_763,Epithelial
c_1_46_764,Lymphoid-Other
c_1_46_765,Lymphoid-Other
c_1_46_766,Lymphoid-Other
c_1_46_767,Lymphoid-Other
c_1_46_768,Lymphoid-Other
c_1_46_769,Lymphoid-Other
c_1_46_770,Lymphoid-T
c_1_46_771,Lymphoid-Other
c_1_46_772,Lymphoid-Other
c_1_46_773,Epithelial
c_1_46_774,Lymphoid-T
c_1_46_775,Epithelial
c_1_46_776,Lymphoid-T
c_1_46_777,Lymphoid-Other
c_1_46_778,Lymphoid-Other
c_1_46_779,Lymphoid-Other
c_1_46_780,Lymphoid-Other
c_1_46_781,Lymphoid-Other
c_1_46_782,Lymphoid-T
c_1_46_783,Lymphoid-Other
c_1_46_784,Lymphoid-Other
c_1_46_785,Lymphoid-Other
c_1_46_786,Lymphoid-Other
c_1_46_787,Lymphoid-Other
c_1_46_788,Lymphoid-Other
c_1_46_789,Lymphoid-Other
c_1_46_790,Lymphoid-T
c_1_46_791,Lymphoid-Other
