cell_id,UMAP_1,UMAP_2
c_1_13_1,-6.7824173,-1.2609828
c_1_13_2,-8.06644,-3.0572793
c_1_13_3,-8.893862,-2.148404
c_1_13_4,-7.1599145,-1.881812
c_1_13_5,-6.513159,-2.2533555
c_1_13_6,-5.183894,-1.2921627
c_1_13_7,-6.4177704,-1.1023738
c_1_13_8,-6.8383737,-0.6685193
c_1_13_9,-8.248592,-1.5889386
c_1_13_10,-7.7947655,-1.9371731
c_1_13_11,-8.400904,-2.287064
c_1_13_12,-6.752786,-1.1478337
c_1_13_13,-8.049615,-1.6279396
c_1_13_14,-5.6533914,-2.1344123
c_1_13_15,-6.511717,-2.441414
c_1_13_16,-5.302573,-5.516784
c_1_13_17,-6.2945323,-1.6464605
c_1_13_18,-4.696101,-1.9020208
c_1_13_19,-6.106504,-3.2813916
c_1_13_20,-5.808616,-2.278672
c_1_13_21,-4.2837625,-0.7581977
c_1_13_22,-1.1781148,-1.802069
c_1_13_23,-5.2747946,-0.9591906
c_1_13_24,-2.6024334,-3.876399
c_1_13_25,-4.9184904,-1.8679981
c_1_13_26,-3.6565244,-2.5687518
c_1_13_27,0.36556092,-0.38344434
c_1_13_28,-2.0997984,1.4688011
c_1_13_29,-4.0657897,-2.7908304
c_1_13_30,-3.5874095,-2.772416
c_1_13_31,-2.8406653,0.9487994
c_1_13_32,0.48285395,-0.82363003
c_1_13_33,-1.8523204,-1.1576996
c_1_13_34,-1.4560292,-0.7627814
c_1_13_35,-1.1701442,-0.04501679
c_1_13_36,0.08331696,-0.41343677
c_1_13_37,0.4645256,-0.9968695
c_1_13_38,-2.0305755,0.1485245
c_1_13_39,-2.515645,1.0703392
c_1_13_40,-2.0584211,-1.3546237
c_1_13_41,-1.5737032,-1.1996967
c_1_13_42,-8.215444,-1.8794273
c_1_13_43,-7.150291,-1.0101733
c_1_13_44,-1.3097606,-0.57038736
c_1_13_45,-7.067193,-1.0879225
c_1_13_46,-2.436263,0.9517538
c_1_13_47,-7.005047,-2.0353959
c_1_13_48,-6.038334,-2.5100048
c_1_13_49,-7.687454,-0.511759
c_1_13_50,-3.952515,-5.6068897
c_1_13_51,-6.9003296,-2.8662713
c_1_13_52,0.23814486,0.27450654
c_1_13_53,-4.5443993,-1.1036415
c_1_13_54,1.0983506,0.52746713
c_1_13_55,-3.1118758,0.6615723
c_1_13_56,-8.584035,-1.4701228
c_1_13_57,-6.084996,-1.5038786
c_1_13_58,-1.9548432,2.073865
c_1_13_59,-5.923291,-1.8783512
c_1_13_60,-4.329099,-5.5582266
c_1_13_61,-6.4839354,-1.2212136
c_1_13_62,-2.4843514,0.09360847
c_1_13_63,0.013753238,-0.76418906
c_1_13_64,-0.016362565,-1.1870662
c_1_13_65,-7.9591827,-2.631468
c_1_13_66,-2.5635142,-3.823932
c_1_13_67,-1.6238251,-1.5922157
c_1_13_68,-6.485328,-0.9875031
c_1_13_69,-0.4573529,-1.8042539
c_1_13_70,-4.745551,-2.3189118
c_1_13_71,-7.715507,-2.2746732
