cell_id,PC_1,PC_2
c_1_13_1,2.078452,0.12850362
c_1_13_2,2.7053847,-0.4505372
c_1_13_3,4.429298,0.74080026
c_1_13_4,2.6004534,0.014110963
c_1_13_5,2.878068,0.31407246
c_1_13_6,1.8075219,0.415935
c_1_13_7,2.7633352,0.60903233
c_1_13_8,3.1780741,0.9020501
c_1_13_9,3.148066,0.9506566
c_1_13_10,2.5015662,1.3774582
c_1_13_11,3.2080185,0.7919938
c_1_13_12,2.9799092,0.48974094
c_1_13_13,2.9464936,0.17309743
c_1_13_14,1.6951679,-0.7639009
c_1_13_15,2.370736,0.12342147
c_1_13_16,-1.0632958,0.0065921457
c_1_13_17,2.2601662,0.9501632
c_1_13_18,1.3261721,-0.35443476
c_1_13_19,2.2562473,0.06442636
c_1_13_20,1.9790208,-0.7320142
c_1_13_21,-0.20130067,1.3175565
c_1_13_22,-0.5448055,1.2415903
c_1_13_23,1.5650139,0.78441095
c_1_13_24,-2.4818783,-1.6340418
c_1_13_25,0.47588152,1.1338212
c_1_13_26,-1.1665446,0.5976304
c_1_13_27,-2.0131588,0.63661546
c_1_13_28,-1.5444729,3.4978218
c_1_13_29,-0.15920937,0.20103988
c_1_13_30,-0.8563636,-1.9958475
c_1_13_31,-1.4135643,2.4973252
c_1_13_32,-2.5310197,0.38842902
c_1_13_33,-1.6355505,0.7899991
c_1_13_34,-1.2889026,1.3517208
c_1_13_35,-1.779699,2.2813468
c_1_13_36,-2.6370232,1.2373378
c_1_13_37,-2.2217584,1.2220346
c_1_13_38,-2.4703734,1.1330308
c_1_13_39,-1.8146651,3.168102
c_1_13_40,0.30799213,1.1249572
c_1_13_41,-1.7899284,1.2983716
c_1_13_42,2.7864852,0.5521949
c_1_13_43,2.5075974,1.2208176
c_1_13_44,-2.102966,1.3292861
c_1_13_45,2.6990798,0.3644132
c_1_13_46,-2.5279682,2.1051576
c_1_13_47,2.7744856,1.0426757
c_1_13_48,2.62744,0.40309483
c_1_13_49,3.534181,1.6768142
c_1_13_50,-0.8051585,-0.8958849
c_1_13_51,2.2178526,0.2069877
c_1_13_52,-1.1412364,2.3474772
c_1_13_53,-0.4787048,3.042387
c_1_13_54,-3.4371767,0.6800858
c_1_13_55,-1.2452598,1.6892631
c_1_13_56,3.3914852,1.3066688
c_1_13_57,2.1039095,0.64966065
c_1_13_58,-3.2858033,3.9064167
c_1_13_59,2.4176152,0.14331554
c_1_13_60,-1.6759404,-0.65287983
c_1_13_61,1.8840729,1.0304214
c_1_13_62,-2.075446,1.7290131
c_1_13_63,-2.4649396,1.7132978
c_1_13_64,-2.1077113,0.56512856
c_1_13_65,3.1873093,-0.17077455
c_1_13_66,-1.2385664,-1.770699
c_1_13_67,-1.4065279,1.2041135
c_1_13_68,2.5678368,0.7671585
c_1_13_69,-1.2467573,1.1990856
c_1_13_70,1.7978357,-0.51556736
c_1_13_71,2.544697,0.7605035
c_1_13_72,-1.989779,1.0576191
c_1_13_73,2.8752606,0.29859078
c_1_13_74,2.426817,0.7464558
c_1_13_75,-2.3854578,-0.5372103
c_1_13_76,-2.5501873,1.3642424
c_1_13_77,-0.16420498,2.7288234
c_1_13_78,-1.7036088,0.43565604
c_1_13_79,-2.1534677,3.296529
c_1_13_80,2.7115645,1.3597434
c_1_13_81,1.6441519,1.4010493
c_1_13_82,2.5992086,0.3065913
c_1_13_83,1.5267937,0.3413562
c_1_13_84,-2.4898162,2.6876447
c_1_13_85,2.5357766,0.37115723
c_1_13_86,-0.98155195,0.5293782
c_1_13_87,-1.9966017,-0.124363236
c_1_13_88,-0.16694634,0.9731756
c_1_13_89,-2.2363327,2.3074954
c_1_13_90,-1.9173101,-0.094792336
c_1_13_91,-0.6857203,-0.9133703
c_1_13_92,-1.1151913,0.29124284
c_1_13_93,-1.7488773,1.0812508
c_1_13_94,-2.0874987,1.6012089
c_1_13_95,-2.5729043,3.3172266
c_1_13_96,-0.1086866,1.7232214
c_1_13_97,-1.2274181,0.84180564
c_1_13_98,-0.6542614,1.9768634
c_1_13_99,-1.0713074,0.26232967
c_1_13_100,-2.5970416,3.4817045
c_1_13_101,1.39183,0.80415565
c_1_13_102,-0.7629989,2.2667408
c_1_13_103,-0.6541096,0.8620158
c_1_13_104,-0.32294387,0.85784715
c_1_13_105,1.4304734,0.3163345
c_1_13_106,3.1748955,0.40976813
c_1_13_107,2.3993318,0.63195777
c_1_13_108,2.37711,0.4649088
c_1_13_109,1.8505473,1.529074
c_1_13_110,1.5161451,0.5544439
c_1_13_111,-1.2943684,1.3645911
c_1_13_112,-2.445823,1.1354971
c_1_13_113,-2.1936128,1.4976158
c_1_13_114,-0.952402,1.6403645
c_1_13_115,-1.093344,0.027425233
c_1_13_116,-0.2770951,0.8982352
c_1_13_118,0.9883106,0.3512459
c_1_13_119,-1.6237981,2.5030825
c_1_13_120,1.4534316,0.9620225
c_1_13_121,2.3313947,-0.37119994
c_1_13_122,2.2984219,0.23765646
c_1_13_123,1.5922849,1.5168922
c_1_13_124,2.120609,1.1627018
c_1_13_125,1.6910613,0.50933063
c_1_13_126,-1.8124944,-0.7735102
c_1_13_127,1.3286484,0.2200814
c_1_13_128,-2.9264805,1.4824575
c_1_13_129,-3.042138,3.6112943
c_1_13_130,1.189077,0.29293627
c_1_13_131,-2.6802733,0.5704166
c_1_13_132,0.59962803,2.1486225
c_1_13_133,1.9703654,0.7558325
c_1_13_134,3.755911,0.94928396
c_1_13_135,2.07062,0.8440489
c_1_13_136,0.9005316,0.49957892
c_1_13_137,-2.3100278,2.4074345
c_1_13_138,3.5092535,0.92705494
c_1_13_139,-0.89114,5.27937
c_1_13_140,1.828256,-0.23412542
c_1_13_141,1.4336572,0.7671803
c_1_13_142,0.96381027,-2.4933121
c_1_13_143,1.4160316,-1.48123
c_1_13_144,0.36571386,-0.33994243
c_1_13_145,1.9679714,-0.11912069
c_1_13_146,1.5387559,-0.63363624
c_1_13_147,-3.0290601,3.8308342
c_1_13_148,3.850895,-0.78464866
c_1_13_149,2.3202646,1.0351734
c_1_13_150,2.077996,0.38928127
c_1_13_151,4.4335246,0.30166835
c_1_13_152,1.9844015,-1.5197846
c_1_13_153,1.0160639,-0.21260972
c_1_13_154,0.08787813,-1.1402522
c_1_13_155,2.9367516,0.02978568
c_1_13_156,1.4545448,-0.098062575
c_1_13_157,4.194048,-0.26326928
c_1_13_158,2.3126538,0.598057
c_1_13_159,3.3765454,0.11321133
c_1_13_160,0.76230663,0.6081503
c_1_13_162,-0.6590399,-0.68591714
c_1_13_163,2.547517,-1.257782
c_1_13_164,1.7036457,0.05368626
c_1_13_165,2.1679068,-0.4489193
c_1_13_166,0.040794715,-0.16131853
c_1_13_167,-1.0595033,0.018929895
c_1_13_168,-1.6236622,0.7429152
c_1_13_169,1.6206626,-0.00032134604
c_1_13_170,-1.0312527,-0.56054384
c_1_13_171,-0.2197978,-2.415676
c_1_13_172,2.928388,-0.11911311
c_1_13_173,2.415042,-0.6288394
c_1_13_174,-2.4292853,4.300394
c_1_13_175,3.2864697,0.3406901
c_1_13_176,-1.9506083,-2.0864573
c_1_13_177,2.123818,0.07772637
c_1_13_178,1.8813933,0.0749954
c_1_13_179,1.7477621,0.23323272
c_1_13_180,-1.6896831,0.3526003
c_1_13_181,3.0556135,0.55387676
c_1_13_182,-1.3165936,-1.1473997
c_1_13_183,0.19332674,1.5036198
c_1_13_184,-1.2408801,0.5112909
c_1_13_185,2.7188063,-0.72777146
c_1_13_186,0.6406045,-0.5042506
c_1_13_187,-2.5519974,3.011025
c_1_13_188,2.4403243,0.4215472
c_1_13_189,1.9857569,-0.5756231
c_1_13_191,-0.10887752,1.6260756
c_1_13_192,-0.70895904,2.4606998
c_1_13_193,1.5540215,0.99793535
c_1_13_194,-2.6914716,2.495801
c_1_13_195,-0.4171362,0.71381646
c_1_13_196,-1.81096,1.3196062
c_1_13_197,-1.1086968,2.4367042
c_1_13_198,-1.2476083,-0.0060369256
c_1_13_199,-1.086522,2.8452177
c_1_13_200,0.32818502,-1.3406562
c_1_13_201,1.7504693,0.124235906
c_1_13_202,-0.3494375,-1.548709
c_1_13_203,-0.5857781,-0.0049356357
c_1_13_204,-0.67975,0.091856435
c_1_13_206,-2.4025571,3.8906631
c_1_13_207,-1.1218501,1.9065101
c_1_13_208,-2.0250943,3.5836983
c_1_13_209,0.7820834,0.20114647
c_1_13_210,0.60554504,-0.6165023
c_1_13_211,-3.0110414,1.6928517
c_1_13_212,0.28305826,-0.12203544
c_1_13_213,-0.59195864,-0.12575723
c_1_13_214,-2.5022175,1.337461
c_1_13_215,0.50602543,-1.0349264
c_1_13_216,0.78645045,0.059620384
c_1_13_217,-1.1726038,1.8687068
c_1_13_218,-1.3927895,0.6264774
c_1_13_219,-1.8773276,0.6958561
c_1_13_220,-1.2443706,1.0172248
c_1_13_221,1.8482395,-9.620214e-05
c_1_13_222,2.0756314,0.07085484
c_1_13_223,2.157478,0.3812728
c_1_13_224,-0.79317933,-0.069385104
c_1_13_225,-0.34868547,1.1380593
c_1_13_226,2.3510523,0.031136407
c_1_13_227,-1.993223,2.2942972
c_1_13_228,2.7496412,1.0461053
c_1_13_229,-2.2335882,1.0904932
c_1_13_230,-0.67852104,1.9453809
c_1_13_231,-1.4520602,1.4639642
c_1_13_232,0.30315116,1.7144513
c_1_13_233,2.5266588,1.2135715
c_1_13_234,1.4776999,-0.09768741
c_1_13_235,-0.43446422,-0.59256667
c_1_13_236,-2.5090418,0.52799535
c_1_13_237,-1.6153919,1.2424468
c_1_13_238,-1.5534983,1.5848418
c_1_13_239,-2.0373988,2.769788
c_1_13_240,2.094333,0.11736525
c_1_13_241,1.7049165,0.2642678
c_1_13_242,-2.764457,0.55094427
c_1_13_243,-1.7169819,1.7955047
c_1_13_244,-0.7078195,0.14890012
c_1_13_245,-1.4892002,2.5118074
c_1_13_246,-2.0570734,1.599478
c_1_13_247,-0.56575483,0.5268783
c_1_13_248,2.6204782,0.3135386
c_1_13_249,4.5906305,0.015668102
c_1_13_250,2.6420949,0.6335773
c_1_13_251,2.163201,0.33665177
c_1_13_252,0.58444035,2.219778
c_1_13_253,0.5500983,-0.9139528
c_1_13_254,2.4767725,-0.62422156
c_1_13_255,-1.7470531,-1.2899369
c_1_13_256,-0.92865294,1.327921
c_1_13_257,0.061677393,-0.17257316
c_1_13_258,2.4965992,-0.21741427
c_1_13_259,0.587171,-1.5206106
c_1_13_260,-0.09578866,-0.5323428
c_1_13_261,2.660493,-0.22299568
c_1_13_262,2.412946,-0.3228172
c_1_13_263,-1.6163245,3.9779446
c_1_13_264,1.1087292,0.22471395
c_1_13_265,3.9919186,0.56997854
c_1_13_266,-1.2656707,0.058699805
c_1_13_267,-1.2697282,0.08468317
c_1_13_268,0.8989279,0.091836475
c_1_13_269,-0.35656732,1.8769416
c_1_13_270,1.5527755,0.8930795
c_1_13_271,2.21657,-0.66527987
c_1_13_272,2.5785298,0.15633763
c_1_13_273,0.13557313,1.8599963
c_1_13_274,-0.16350272,-3.9304042
c_1_13_275,3.367202,0.834249
c_1_13_276,3.7961106,0.12120345
c_1_13_277,1.0843211,-0.5987386
c_1_13_278,-1.0316905,0.8861152
c_1_13_279,2.7299106,0.1129734
c_1_13_280,-1.8265768,0.9579797
c_1_13_281,1.5005429,0.2588306
c_1_13_282,1.8595489,0.5280788
c_1_13_283,-1.3321149,1.1226237
c_1_13_284,3.320147,0.6261899
c_1_13_285,4.074951,-0.025064081
c_1_13_286,0.48319197,-0.5109297
c_1_13_287,2.9572332,0.10268006
c_1_13_288,1.9964685,-0.97046185
c_1_13_289,2.5735965,0.31390384
c_1_13_290,3.5717852,1.0369998
c_1_13_291,0.30702576,0.1363595
c_1_13_292,-0.25430942,0.53048885
c_1_13_293,2.0018907,0.3846276
c_1_13_294,2.6916487,-1.2207963
c_1_13_295,2.1516418,0.008134327
c_1_13_296,2.129491,-0.2597669
c_1_13_297,2.6368985,1.4221233
c_1_13_298,0.6211561,-0.85937685
c_1_13_299,1.2144349,0.07456803
c_1_13_300,2.6332588,-1.4325116
c_1_13_301,2.8332217,-0.9947812
c_1_13_302,0.0071187,0.16959733
c_1_13_303,3.2951682,-0.09974738
c_1_13_304,1.84531,-0.68512803
c_1_13_305,1.2957424,-0.03503297
c_1_13_306,3.2185454,-0.09143099
c_1_13_307,2.3498747,0.035363626
c_1_13_308,2.2205207,-1.6310291
c_1_13_309,2.6748238,0.7124179
c_1_13_310,3.1265554,0.08572683
c_1_13_311,2.5292952,0.9816771
c_1_13_312,1.7755706,1.0765446
c_1_13_314,3.1380408,-0.5508819
c_1_13_315,0.5110272,-0.29787695
c_1_13_316,3.3059363,0.85076684
c_1_13_317,2.0895555,0.4894356
c_1_13_318,3.1633255,0.6516595
c_1_13_319,2.4448314,0.95324564
c_1_13_320,2.9021862,0.3904456
c_1_13_321,2.0519514,-0.9518885
c_1_13_322,2.1625078,-0.5727105
c_1_13_323,-0.6460577,0.7248041
c_1_13_324,2.3923292,-0.65412515
c_1_13_325,3.0879,0.3625194
c_1_13_326,2.2318099,0.06884445
c_1_13_327,-0.621172,0.0136388885
c_1_13_328,2.2197218,0.06385953
c_1_13_329,1.9148948,0.30082735
c_1_13_330,0.046421144,-0.9660934
c_1_13_331,0.9422697,0.41213435
c_1_13_332,2.4843433,0.90169364
c_1_13_333,2.3345103,0.3493121
c_1_13_334,2.1829803,0.1992943
c_1_13_335,1.0586337,0.3459608
c_1_13_336,1.9624609,1.1364416
c_1_13_337,0.90323204,0.9649689
c_1_13_338,1.592044,-0.41032034
c_1_13_339,1.8926469,0.90623903
c_1_13_340,2.2779987,0.5316391
c_1_13_341,0.6563357,-1.0267813
c_1_13_342,-3.1340647,3.506787
c_1_13_343,0.538434,-0.3544488
c_1_13_344,0.49623126,-0.19910172
c_1_13_345,-0.13300018,3.8866584
c_1_13_346,-1.9474739,3.1032689
c_1_13_347,-1.3497076,0.40927702
c_1_13_348,-2.3319337,2.1667986
c_1_13_349,-3.4487848,5.0719585
c_1_13_350,-2.9109037,2.5736737
c_1_13_351,-2.3185556,3.022156
c_1_13_352,0.62612176,-1.8462745
c_1_13_353,-3.9204183,1.5433843
c_1_13_354,-1.8589042,-1.2346066
c_1_13_355,-4.1966715,3.6661258
c_1_13_356,1.779857,0.4230152
c_1_13_357,-2.1679223,0.72191286
c_1_13_358,-1.2096627,3.71992
c_1_13_359,-1.5262562,1.661387
c_1_13_360,-3.0917096,3.4967523
c_1_13_361,-1.1403936,-2.408966
