cell_id,leiden_cluster
aalmodgo-1,2
aalncjjp-1,1
aalnpifl-1,1
aalobikh-1,0
aalobmjb-1,1
aamabjbg-1,1
aamafdgg-1,0
aamahkfp-1,15
aamdopag-1,2
aameaojf-1,2
aamenpjo-1,2
aamfkloe-1,8
aamflkdi-1,2
aamghklp-1,2
aamgnajb-1,1
aamidahe-1,3
aamipnkj-1,9
aamjmpob-1,0
aamkbjga-1,2
aamklhbd-1,4
aamknkbf-1,4
aamkoloj-1,0
aammbmnl-1,5
aammgabi-1,1
aamnbfpk-1,9
aamogdlp-1,2
aampaaca-1,2
aampcnge-1,0
aanalnia-1,0
aanbilni-1,1
aanbllfo-1,0
aaneemeh-1,0
aanegagj-1,1
aaneocaa-1,1
aanfccnn-1,0
aanfekpj-1,1
aangfefl-1,2
aanjcaep-1,0
aanjcgnm-1,2
aanjcnji-1,2
aanjfbeb-1,0
aankklgl-1,0
aanldjfd-1,4
aannbkfd-1,0
aanndpde-1,5
aannfemc-1,1
aanngiad-1,2
aanodekk-1,0
aanooibh-1,2
aanoojkn-1,1
aanplclk-1,5
aaoaadkd-1,2
aaobanol-1,0
aaobcddp-1,0
aaobfbch-1,1
aaodelln-1,0
aaodlhob-1,0
aaoeadno-1,5
aaoeogpc-1,0
aaofceli-1,5
aaogdbmk-1,0
aaoihaal-1,2
aaoilkbm-1,0
aaojcpkl-1,1
aaojihhb-1,5
aaokfmpe-1,1
aaolgbaf-1,4
aaomjfof-1,5
aaoomlgn-1,1
aaoonald-1,0
aaoonjjo-1,2
aaopoglo-1,0
aapaaama-1,1
aapajbhi-1,1
aapapmog-1,1
aapbfabh-1,0
aapbpglm-1,0
aapcclem-1,4
aapdppaa-1,1
aapekgmp-1,0
aapelbjj-1,5
aapfbooi-1,0
aapfhffo-1,1
aapgcdhc-1,0
aapgddom-1,2
aapgfcjd-1,0
aaphfbni-1,0
aaphliid-1,2
aapibpai-1,5
aapiieao-1,5
aapiopjf-1,1
aapkndpi-1,0
aaplbmnj-1,0
aapndjnp-1,1
aapohpfi-1,2
aapopden-1,0
aapphagp-1,1
abaamkbp-1,1
ababcfjb-1,2
abablcaa-1,0
abaddhch-1,1
abaehndd-1,5
abaeicgi-1,1
abaenknm-1,1
abafckon-1,6
abagenee-1,6
