cell_id,UMAP_1,UMAP_2
aaaadkhm-1,19.447403,-8.723365
aaabcdob-1,2.9771988,5.152049
aaacnofn-1,2.407314,2.5121539
aaadkiah-1,-2.1911483,5.670096
aaadnaml-1,6.1387076,1.1591719
aaafanek-1,5.945959,-3.2554896
aaafceij-1,-0.30847663,1.4306178
aaafkenf-1,19.6772,-9.257069
aaafncin-1,5.2951264,-2.232079
aaagcehf-1,3.7682989,-1.1647848
aaagnfpa-1,2.2867105,-2.714268
aaajfgid-1,1.9330578,-5.178482
aaajpbjf-1,3.527687,-0.54765916
aaakffba-1,2.3834867,2.0994923
aaaloepk-1,19.36723,-9.297922
aaanafbn-1,3.9478812,2.5682168
aaandbhn-1,10.337004,0.8344462
aaanfjen-1,3.39369,-17.338417
aaaobiac-1,19.442139,-8.68573
aaapfnfo-1,4.7467785,2.9519687
aaapmpjf-1,11.699674,-0.6576031
aaappcid-1,2.0635998,0.9217992
aababhdk-1,7.7839007,1.6035537
aabaoajd-1,-9.815682,-2.919937
aabcdkon-1,0.34029248,-1.4736495
aabcnice-1,19.546751,-9.009982
aabdldfd-1,19.409723,-8.8471575
aabeckah-1,5.2738743,11.493632
aabfbaaa-1,19.630407,-8.540104
aabfgbok-1,19.964722,-9.0149765
aabfihac-1,4.717848,14.012936
aabfpcbo-1,5.9870048,-1.3407179
aabheogd-1,4.587504,0.3273834
aabiaaac-1,0.529337,2.3491268
aabijngj-1,0.21830879,-1.4149626
aabjgdmf-1,1.047282,1.1177464
aabkbomg-1,3.91566,-5.9400244
aablepid-1,10.357779,2.017587
aabligfi-1,16.32009,1.0983224
aabljgge-1,19.553219,-9.445188
aabllkkd-1,5.1969843,10.483268
aabmgjkh-1,10.951111,2.4019551
aabofdpb-1,-0.84728014,1.5492661
aabofjgc-1,-1.1513587,2.1483076
aaboipii-1,6.6917152,3.2911558
aabokhhm-1,1.2330699,2.8226666
aabokmmc-1,8.868093,-18.649357
aabpndao-1,2.824222,0.8731569
aacbonol-1,19.256754,-8.8793745
aacdnmih-1,16.505869,2.0734146
aaceaolp-1,8.708468,2.5405045
aaceldhk-1,3.883705,2.5409706
aacfjbda-1,6.7280054,-4.2289977
aacgikoh-1,19.762014,-9.139425
aacgokcc-1,3.6140218,-0.64905536
aachdcpi-1,10.979672,8.67013
aacilkfb-1,10.398893,7.707295
aacjekeh-1,10.084906,8.302988
aackflpc-1,11.119237,8.417183
aackphih-1,11.130269,8.10066
aaclijhm-1,11.1115,5.8693914
aacniink-1,11.000573,7.2124963
aacohjpk-1,10.09591,3.277149
aacojofe-1,7.7888308,4.3697886
aacojphe-1,2.043887,-2.3802972
aacpblne-1,10.226452,7.340976
aacpfjbg-1,6.598164,1.7389879
aacpmbdl-1,-1.7546252,2.8333447
aadaahkh-1,8.218992,3.2573345
aadamcbe-1,9.782338,8.340615
aadbmibh-1,10.566653,6.5749536
aadcoong-1,8.815557,6.8382454
aaddbmfb-1,15.520804,-0.18368752
aadfjbbg-1,10.804512,2.7959003
aadgnhme-1,5.9607825,7.81719
aadhccob-1,9.382404,3.4685302
aadhgaib-1,10.11619,8.388803
aadjacjj-1,9.764611,5.9270825
aadjcgkm-1,9.457492,7.2663193
aadlgehh-1,5.9969883,5.7304425
aadljogj-1,2.759403,-0.47564483
aadlngoc-1,7.412496,7.899111
aadmoobi-1,9.412014,7.781959
aadmpagd-1,10.877204,6.4257865
aadohlap-1,-1.9238845,-1.7730937
aadojbpo-1,7.5572543,7.9200625
aadokban-1,8.113297,7.748295
aadokkcl-1,8.423857,4.8746524
aadonija-1,-2.1437545,-1.629081
aadpmfno-1,10.513571,6.3266582
aaeaapjd-1,9.232562,5.195729
aaebebmi-1,10.01572,7.459662
aaecgbkj-1,9.463928,7.11801
aaedakgk-1,5.3345704,4.269544
aaedjmck-1,10.844178,8.452424
aaednina-1,9.802292,6.574884
aaeebine-1,11.114261,7.628884
aaefcolm-1,4.498483,-1.0034555
aaefipoi-1,10.638199,6.9656887
aaeflgog-1,10.307086,6.729464
