cell_id,cell_type
c_1_36_194,Lymphoid-B
c_1_36_195,Lymphoid-B
c_1_36_196,Lymphoid-Other
c_1_36_197,Lymphoid-B
c_1_36_198,Lymphoid-DC
c_1_36_199,Lymphoid-Other
c_1_36_200,Lymphoid-T
c_1_36_201,Lymphoid-T
c_1_36_202,Lymphoid-DC
c_1_36_203,Lymphoid-B
c_1_36_204,Endothelial
c_1_36_205,Endothelial
c_1_36_206,Lymphoid-B
c_1_36_207,Lymphoid-B
c_1_36_208,Lymphoid-T
c_1_36_209,Lymphoid-DC
c_1_36_210,Endothelial
c_1_36_211,Lymphoid-T
c_1_36_212,Lymphoid-T
c_1_36_213,Lymphoid-T
c_1_36_214,Lymphoid-DC
c_1_36_215,Lymphoid-DC
c_1_36_216,Endothelial
c_1_36_217,Lymphoid-B
c_1_36_218,Lymphoid-Other
c_1_36_219,Lymphoid-T
c_1_36_220,Lymphoid-B
c_1_36_221,Lymphoid-B
c_1_36_222,Lymphoid-T
c_1_36_223,Lymphoid-B
c_1_36_224,Lymphoid-B
c_1_36_225,Lymphoid-Other
c_1_36_227,Lymphoid-B
c_1_36_228,Lymphoid-B
c_1_36_229,Lymphoid-B
c_1_36_230,Lymphoid-T
c_1_36_231,Lymphoid-T
c_1_36_232,Lymphoid-DC
c_1_36_233,Lymphoid-DC
c_1_36_234,Lymphoid-B
c_1_36_235,Lymphoid-B
c_1_36_236,Lymphoid-DC
c_1_36_237,Lymphoid-T
c_1_36_238,Endothelial
c_1_36_239,Lymphoid-T
c_1_36_240,Lymphoid-DC
c_1_36_241,Lymphoid-DC
c_1_36_242,Lymphoid-DC
c_1_36_243,Lymphoid-B
c_1_36_244,Lymphoid-Plasma
c_1_36_245,Lymphoid-Other
c_1_36_246,Lymphoid-B
c_1_36_247,Lymphoid-Other
c_1_36_248,Lymphoid-Other
c_1_36_249,Lymphoid-T
c_1_36_250,Myeloid
c_1_36_251,Lymphoid-B
c_1_36_252,Lymphoid-DC
c_1_36_253,Lymphoid-T
c_1_36_254,Lymphoid-Other
c_1_36_255,Lymphoid-B
c_1_36_256,Lymphoid-T
c_1_36_257,Lymphoid-Other
c_1_36_258,Lymphoid-Plasma
c_1_36_259,Lymphoid-T
c_1_36_260,Lymphoid-B
c_1_36_261,Lymphoid-Other
c_1_36_262,Lymphoid-T
c_1_36_263,Myeloid
c_1_36_264,Lymphoid-B
c_1_36_265,Lymphoid-T
c_1_36_266,Lymphoid-T
c_1_36_267,Lymphoid-Plasma
c_1_36_268,Lymphoid-B
c_1_36_269,Lymphoid-T
c_1_36_270,Lymphoid-B
c_1_36_271,Lymphoid-B
c_1_36_272,Myeloid
c_1_36_273,Endothelial
c_1_36_274,Lymphoid-B
c_1_36_275,Lymphoid-B
c_1_36_276,Lymphoid-B
c_1_36_277,Endothelial
c_1_36_278,Lymphoid-DC
c_1_36_279,Lymphoid-T
c_1_36_280,Lymphoid-T
c_1_36_281,Lymphoid-T
c_1_36_282,Lymphoid-B
