cell_id,4-1BB,B7-H3,CD123,CD14,CD163,CD27,CD31,CD38,CD39,CD40,CD68,CTLA4,FABP4,FOXP3,GITR,GZMB,ICOS,IL-18,IL-1b,IgD,Ki-67,LAG3,LAMP1,NF-kB p65,PD-L1,Tim-3,VISTA,Vimentin,iNOS,pan-RAS
c_1_32_429,-1.0687388,-2.360005,-0.62970173,0.13153979,-2.194892,0.7733874,-2.348245,-0.3785152,-2.1500008,-0.19307263,-0.07435988,0.31794605,-1.5262511,-1.0026021,-1.1964775,-1.4219688,-0.58808064,-1.6656568,-1.5729737,-2.3362412,-2.6172047,-0.87855846,-0.71162784,0.4054154,-0.66907275,0.27976465,-0.24571079,-0.4774099,-2.6324854,-1.7917473
c_1_32_430,-1.3946788,-1.1210442,-1.0702274,-0.3512042,-0.9484062,0.39066014,-0.66715837,-0.31871024,-0.6748244,-0.5376637,-0.32228023,-0.6500086,0.16330473,1.147667,-1.2451026,-0.264523,-1.1250514,-0.18603875,-0.86658794,-0.6668144,-0.74528235,-0.84012365,0.16339715,0.6661785,-1.0715929,0.32560405,-0.32150665,0.37653753,0.7456039,0.08234317
c_1_32_431,-0.95445037,-0.53884107,0.6906321,-0.17098044,0.5393264,0.0060074013,0.16074306,-0.22204769,-0.57397944,-0.6206989,-0.40913972,-0.62441146,-0.18299526,0.52032775,-1.446814,0.45600757,-0.26714334,-1.3061233,-0.38849357,0.844356,-0.49527943,-1.5053979,0.11574841,0.5241299,-0.7635679,-0.06908853,0.25301266,0.64918214,-0.06557166,-0.008143137
c_1_32_432,-1.1179823,0.34968367,-0.01620091,-0.47534946,-0.22869462,0.16732635,-0.3746301,1.5886812,0.28757003,0.6027866,-0.1214834,-0.20461188,0.4501745,0.2177319,-0.8338054,0.5963359,-0.60588133,-0.6449394,-0.06405426,1.2187011,0.42609885,-0.18564636,0.32831156,0.17879714,-1.0750183,0.22885147,-0.109503895,0.89838105,-0.26710027,0.4604079
c_1_32_433,-0.7734596,-1.4216115,0.4251353,0.3314818,-2.4791064,0.8018897,-1.3821424,-0.13315082,-1.4384692,-0.8218264,-0.46243224,-0.75342834,-0.49718517,-0.9607403,-1.5684478,-1.4022218,-0.439064,-0.629685,-1.023678,-1.7069166,-1.6363876,-1.2332091,-0.12974289,0.3496612,-0.12921268,-1.0563365,0.5832776,-0.8808717,-1.879691,-0.9916861
c_1_32_434,-0.59457994,-1.625716,-0.26091176,0.23511106,-0.8190275,0.52694345,-0.8410485,-0.18167248,-0.8250932,-0.6001626,0.19534676,0.6700642,-1.193423,-1.0154434,-0.8188178,-0.18988821,0.8125349,-1.1814858,-0.49671775,-1.0070074,-1.7725604,-0.63775927,-0.94856626,0.19847313,-1.2787974,-0.7952491,-0.45785165,-0.16178331,-0.5490994,-0.8545448
c_1_32_435,-1.3197104,-0.86682415,-0.76259285,-0.6263469,-0.5145649,-0.089781255,0.21899758,-0.15383862,-0.29813817,0.42883924,-0.031333193,-0.121057704,-0.5937078,1.3863535,-0.76765144,0.26029733,0.39850512,-1.0070659,-0.34343863,1.5079794,0.017325215,-0.25548714,0.24139377,0.63387877,-0.8030423,0.015706098,-0.3573028,0.86389893,1.4358603,-0.59373426
c_1_32_436,-0.4431432,-1.5594958,0.29680768,0.41317493,-1.8587182,0.79080045,-0.8662008,-0.48920566,-2.545217,-0.95895684,-0.12774892,0.9362315,-1.511202,-0.5338663,-0.9509789,-0.9871378,-0.13871026,-1.2890002,-0.73058355,-1.2897489,-1.0940614,-0.8244699,-0.8986397,0.3566861,-1.1837004,0.6170966,-0.03907925,0.051103782,-1.0657586,-2.2120054
c_1_32_437,-1.5310317,-0.5016283,-0.9185946,-0.4286739,-0.3038525,0.37316397,-0.27653208,-0.12261792,-0.62135154,-0.1517682,0.059821997,-1.0574832,-0.25404647,1.0044434,-0.84201425,-0.15580916,0.21026804,-0.61451775,-0.91000825,0.42547706,0.68305004,-0.6008297,0.4389248,0.7134632,-1.282531,0.11029877,-0.15915121,0.49197984,0.07361354,-0.23109162
c_1_32_438,1.4041624,-1.075352,0.043894175,1.0489248,-1.0420469,0.909953,-1.0205714,0.2469298,-0.4359101,1.2113439,-0.10590704,-0.31081682,-0.45836565,0.8486278,-0.8283461,1.0424228,1.3255562,-0.2726784,-0.6614839,-0.51409405,-1.2379299,0.23738928,-0.019362519,0.48302492,0.841855,0.3634411,1.4563246,0.21510111,-0.6592926,-0.13448103
