cell_id,UMAP_1,UMAP_2
c_1_33_1,7.9682894,2.0018911
c_1_33_2,-0.2789309,2.5739307
c_1_33_3,1.0236186,1.7016717
c_1_33_4,-0.16078694,2.424107
c_1_33_5,1.6583123,1.4372492
c_1_33_6,3.1557996,-0.5944439
c_1_33_7,1.3569021,1.1275451
c_1_33_8,3.1791625,0.2465513
c_1_33_9,6.5853496,-0.18910788
c_1_33_10,0.4151964,1.9406009
c_1_33_11,0.933261,1.5195211
c_1_33_12,0.63989824,1.2983129
c_1_33_13,-0.21140242,2.2867851
c_1_33_14,6.849804,-0.34663966
c_1_33_15,3.6106772,0.29383767
c_1_33_16,1.73188,1.0778512
c_1_33_17,0.6223303,2.5235763
c_1_33_18,1.1467996,2.561064
c_1_33_19,-0.040905178,1.6664745
c_1_33_20,6.812791,-1.1948507
c_1_33_21,0.91783094,2.1223645
c_1_33_22,6.3254914,-2.2927916
c_1_33_23,6.6487,0.39441428
c_1_33_24,0.8177183,2.2487564
c_1_33_25,0.18112978,2.8322299
c_1_33_26,0.73889285,2.2319143
c_1_33_27,2.787447,1.013633
c_1_33_28,-0.12093292,2.4942958
c_1_33_29,0.81427115,1.8085461
c_1_33_30,0.3988549,2.459657
c_1_33_31,5.7773137,-1.385798
c_1_33_32,9.881579,-0.705649
c_1_33_33,4.658464,-0.5935225
c_1_33_34,0.3782832,1.4792098
c_1_33_35,6.5070486,-1.3724254
c_1_33_37,-0.8556634,2.3389711
c_1_33_38,0.011025811,2.0648012
c_1_33_39,11.219114,0.35807845
c_1_33_40,-0.22889882,2.578787
c_1_33_41,-0.46173623,2.8648546
c_1_33_42,1.1990241,1.9806489
c_1_33_43,7.467103,-2.6290038
c_1_33_44,-0.87860066,2.7170975
c_1_33_45,-0.10244983,2.186362
c_1_33_46,-0.787699,2.6519232
c_1_33_47,-0.97491974,2.588227
c_1_33_48,7.528848,-1.2707691
c_1_33_49,-0.97434896,2.5879579
c_1_33_50,1.0691085,1.6365234
c_1_33_51,0.42764243,1.9354125
c_1_33_52,1.0738907,1.4747325
c_1_33_53,1.3207041,1.7976637
c_1_33_54,-0.61615396,2.581804
c_1_33_55,5.0710497,-0.41789815
c_1_33_56,3.4123073,-0.117301464
c_1_33_57,4.5460634,0.44779757
