cell_id,ABL1,CCL11,CD14,CD163,CFD,CMKLR1,CX3CL1,CXCR3,ERBB2,FGF7,FZD5,GDF15,HLA-DQA1,IFNA1/13,IL17RA,INSR,ITGB4,KLK3,LPAR5,MAP2K1,MYC,OASL,PTGES2,PTGIS,RGS1,SMO,TAP2,TCL1A,TNFRSF4,TYMS
c_1_33_1,-0.2129596106504971,-0.20339105382896225,-0.23483166899165228,-0.1432480165674313,2.484292061066444,-0.15187086753868442,4.124714227726131,-0.16727011994868426,-0.24714625338316076,-0.12465863659234365,-0.2232729888046348,-0.17950117297558035,-0.21646122038755355,-0.15359093526246012,-0.18393268637497495,-0.23577742402180368,-0.13990112467261479,-0.16217480669851375,-0.1841154970541691,-0.26491724913217946,-0.147537263044595,-0.15647812618624193,-0.1764287592581053,-0.18264070115162032,-0.17708440151087326,-0.1820387505455687,-0.1852635974803207,-0.12475880776925369,-0.1385066911463142,-0.20119862103519293
c_1_33_2,-0.2129596106504971,-0.20339105382896225,-0.23483166899165228,-0.1432480165674313,-0.23099113956901798,-0.15187086753868442,-0.17887046491003178,-0.16727011994868426,-0.24714625338316076,-0.12465863659234365,-0.2232729888046348,-0.17950117297558035,-0.21646122038755355,-0.15359093526246012,-0.18393268637497495,-0.23577742402180368,-0.13990112467261479,-0.16217480669851375,-0.1841154970541691,-0.26491724913217946,-0.147537263044595,-0.15647812618624193,-0.1764287592581053,-0.18264070115162032,-0.17708440151087326,-0.1820387505455687,-0.1852635974803207,-0.12475880776925369,-0.1385066911463142,-0.20119862103519293
c_1_33_3,-0.2129596106504971,-0.20339105382896225,-0.23483166899165228,-0.1432480165674313,-0.23099113956901798,-0.15187086753868442,-0.17887046491003178,-0.16727011994868426,-0.24714625338316076,-0.12465863659234365,-0.2232729888046348,-0.17950117297558035,-0.21646122038755355,-0.15359093526246012,-0.18393268637497495,-0.23577742402180368,-0.13990112467261479,-0.16217480669851375,-0.1841154970541691,-0.26491724913217946,-0.147537263044595,-0.15647812618624193,-0.1764287592581053,3.381861099880231,-0.17708440151087326,-0.1820387505455687,-0.1852635974803207,-0.12475880776925369,-0.1385066911463142,-0.20119862103519293
c_1_33_4,-0.2129596106504971,-0.20339105382896225,-0.23483166899165228,-0.1432480165674313,-0.23099113956901798,-0.15187086753868442,-0.17887046491003178,-0.16727011994868426,-0.24714625338316076,-0.12465863659234365,-0.2232729888046348,-0.17950117297558035,-0.21646122038755355,-0.15359093526246012,-0.18393268637497495,-0.23577742402180368,-0.13990112467261479,-0.16217480669851375,-0.1841154970541691,-0.26491724913217946,-0.147537263044595,-0.15647812618624193,-0.1764287592581053,-0.18264070115162032,-0.17708440151087326,-0.1820387505455687,-0.1852635974803207,-0.12475880776925369,-0.1385066911463142,-0.20119862103519293
c_1_33_5,3.342608127957589,-0.20339105382896225,-0.23483166899165228,-0.1432480165674313,-0.23099113956901798,-0.15187086753868442,-0.17887046491003178,-0.16727011994868426,-0.24714625338316076,-0.12465863659234365,-0.2232729888046348,-0.17950117297558035,-0.21646122038755355,-0.15359093526246012,-0.18393268637497495,-0.23577742402180368,-0.13990112467261479,-0.16217480669851375,-0.1841154970541691,-0.26491724913217946,4.780609183105637,-0.15647812618624193,-0.1764287592581053,-0.18264070115162032,-0.17708440151087326,-0.1820387505455687,5.077097047157476,-0.12475880776925369,-0.1385066911463142,-0.20119862103519293
c_1_33_6,-0.2129596106504971,-0.20339105382896225,-0.23483166899165228,-0.1432480165674313,-0.23099113956901798,-0.15187086753868442,-0.17887046491003178,-0.16727011994868426,-0.24714625338316076,-0.12465863659234365,-0.2232729888046348,-0.17950117297558035,-0.21646122038755355,-0.15359093526246012,-0.18393268637497495,-0.23577742402180368,-0.13990112467261479,-0.16217480669851375,-0.1841154970541691,-0.26491724913217946,-0.147537263044595,-0.15647812618624193,-0.1764287592581053,-0.18264070115162032,-0.17708440151087326,-0.1820387505455687,-0.1852635974803207,-0.12475880776925369,-0.1385066911463142,-0.20119862103519293
c_1_33_7,-0.2129596106504971,-0.20339105382896225,-0.23483166899165228,-0.1432480165674313,-0.23099113956901798,-0.15187086753868442,-0.17887046491003178,-0.16727011994868426,-0.24714625338316076,-0.12465863659234365,-0.2232729888046348,-0.17950117297558035,-0.21646122038755355,-0.15359093526246012,-0.18393268637497495,-0.23577742402180368,-0.13990112467261479,-0.16217480669851375,-0.1841154970541691,-0.26491724913217946,-0.147537263044595,-0.15647812618624193,4.082269533223679,-0.18264070115162032,-0.17708440151087326,-0.1820387505455687,-0.1852635974803207,-0.12475880776925369,-0.1385066911463142,-0.20119862103519293
c_1_33_8,-0.2129596106504971,-0.20339105382896225,-0.23483166899165228,-0.1432480165674313,-0.23099113956901798,-0.15187086753868442,-0.17887046491003178,-0.16727011994868426,-0.24714625338316076,-0.12465863659234365,-0.2232729888046348,-0.17950117297558035,-0.21646122038755355,-0.15359093526246012,-0.18393268637497495,-0.23577742402180368,-0.13990112467261479,-0.16217480669851375,-0.1841154970541691,2.3023891598523503,-0.147537263044595,-0.15647812618624193,-0.1764287592581053,-0.18264070115162032,-0.17708440151087326,-0.1820387505455687,-0.1852635974803207,-0.12475880776925369,-0.1385066911463142,-0.20119862103519293
c_1_33_9,6.414063369069194,-0.20339105382896225,-0.23483166899165228,-0.1432480165674313,-0.23099113956901798,-0.15187086753868442,-0.17887046491003178,-0.16727011994868426,-0.24714625338316076,-0.12465863659234365,-0.2232729888046348,-0.17950117297558035,-0.21646122038755355,-0.15359093526246012,-0.18393268637497495,-0.23577742402180368,-0.13990112467261479,-0.16217480669851375,-0.1841154970541691,-0.26491724913217946,-0.147537263044595,-0.15647812618624193,-0.1764287592581053,-0.18264070115162032,-0.17708440151087326,-0.1820387505455687,-0.1852635974803207,-0.12475880776925369,-0.1385066911463142,-0.20119862103519293
c_1_33_10,-0.2129596106504971,-0.20339105382896225,-0.23483166899165228,-0.1432480165674313,-0.23099113956901798,-0.15187086753868442,-0.17887046491003178,-0.16727011994868426,-0.24714625338316076,-0.12465863659234365,-0.2232729888046348,5.626485860629399,-0.21646122038755355,6.380631143410202,-0.18393268637497495,-0.23577742402180368,-0.13990112467261479,-0.16217480669851375,-0.1841154970541691,-0.26491724913217946,-0.147537263044595,-0.15647812618624193,-0.1764287592581053,-0.18264070115162032,-0.17708440151087326,-0.1820387505455687,-0.1852635974803207,7.249849495634049,-0.1385066911463142,-0.20119862103519293
