cell_id,UMAP_1,UMAP_2
c_1_55_2,1.5621965,-6.7857924
c_1_55_3,5.2690096,-10.363951
c_1_55_4,4.0663457,-7.9776244
c_1_55_5,4.2101145,-10.435913
c_1_55_6,1.0268594,-9.474096
c_1_55_7,0.70596373,-7.378347
c_1_55_8,2.961654,-7.8261933
c_1_55_9,0.52633774,-10.6311865
c_1_55_10,0.6261645,-10.795525
c_1_55_11,2.658671,-8.687476
c_1_55_12,-0.8626422,-10.842196
c_1_55_13,1.7006074,-9.890836
c_1_55_14,2.3210533,-8.5441065
c_1_55_16,2.584137,-7.1380434
c_1_55_17,2.0449612,-10.637086
c_1_55_18,2.560179,-8.793677
c_1_55_19,3.0771186,-8.512617
c_1_55_20,4.8107543,-9.658493
c_1_55_21,-0.042614155,-6.795367
c_1_55_22,4.2770276,-9.765596
c_1_55_23,1.4560202,-6.588837
c_1_55_24,1.9059129,-11.597593
c_1_55_25,1.7033076,-9.513473
c_1_55_26,3.383885,-7.9947295
c_1_55_27,1.9581585,-9.83766
c_1_55_28,2.6292255,-6.772527
c_1_55_29,-0.43001342,-7.355669
c_1_55_30,2.5812232,-6.9361725
c_1_55_31,2.0688732,-10.070946
c_1_55_32,1.6328342,-9.484621
c_1_55_33,1.7104713,-8.594238
c_1_55_34,3.0836365,-8.980649
c_1_55_35,2.711409,-7.956324
c_1_55_36,2.0122106,-7.3727055
c_1_55_37,0.15060809,-5.300817
c_1_55_38,4.352802,-7.2882376
c_1_55_39,1.0557137,-7.015008
c_1_55_40,2.7093341,-9.088843
c_1_55_41,3.560026,-8.372184
c_1_55_42,2.2468042,-7.373495
c_1_55_43,2.0611157,-6.9546437
c_1_55_44,2.2611861,-7.544157
c_1_55_45,3.133921,-9.850912
c_1_55_46,2.8572586,-9.516938
c_1_55_47,1.851975,-11.011887
c_1_55_48,2.8279948,-8.005877
c_1_55_49,3.3926413,-8.778983
c_1_55_50,5.024797,-9.293988
c_1_55_51,0.62110573,-7.769765
c_1_55_52,0.84189624,-7.739413
c_1_55_53,0.9669321,-8.461962
c_1_55_54,1.6150589,-8.116799
c_1_55_55,4.1183443,-10.208334
c_1_55_56,1.909118,-6.842564
c_1_55_57,2.6232142,-8.093045
c_1_55_58,2.8593202,-8.39069
c_1_55_59,1.9627205,-9.193196
c_1_55_60,1.965872,-7.524887
c_1_55_61,0.86887985,-5.8146005
