cell_id,CASP8,CD163,CD38,CD55,CD93,CTLA4,CXCL17,DUSP5,EZR,FAS,FGF13,FHIT,HBB,HDAC4,HSP90B1,ITGAX,KLRK1,LAIR1,LGALS3BP,MS4A6A,OSMR,PGK1,PNOC,SAA1/2,SOD1,SREBF1,STAT1,TNFSF13B,TP53,XBP1
c_1_18_1,-0.1521793336335913,-0.15394842686760157,-0.1839793500411344,-0.22775960611091423,-0.13565769525119714,-0.20129264412850278,-0.16349458667624275,-0.17142620553324175,-0.28413134958936564,-0.16565775689281778,-0.12462405183000504,-0.15689871272429515,-0.14247098937948702,-0.1983577069046602,-0.2810048349662678,-0.16402616909859025,-0.1520995209025552,-0.20585613721225138,-0.37017760188379684,-0.18541000158573423,-0.16450389920770375,-0.27041055502280886,-0.1973853945554584,-0.20942009164303008,-0.28028445422822446,-0.15626339545488635,-0.2782328629466125,-0.15626715058893487,-0.167775857857805,-0.27908285800607857
c_1_18_2,-0.1521793336335913,-0.15394842686760157,-0.1839793500411344,-0.22775960611091423,-0.13565769525119714,-0.20129264412850278,-0.16349458667624275,-0.17142620553324175,-0.28413134958936564,-0.16565775689281778,-0.12462405183000504,-0.15689871272429515,-0.14247098937948702,-0.1983577069046602,-0.2810048349662678,-0.16402616909859025,-0.1520995209025552,-0.20585613721225138,-0.37017760188379684,-0.18541000158573423,-0.16450389920770375,-0.27041055502280886,-0.1973853945554584,-0.20942009164303008,-0.28028445422822446,-0.15626339545488635,2.8042502981081667,-0.15626715058893487,-0.167775857857805,-0.27908285800607857
c_1_18_3,-0.1521793336335913,-0.15394842686760157,-0.1839793500411344,-0.22775960611091423,-0.13565769525119714,-0.20129264412850278,-0.16349458667624275,-0.17142620553324175,-0.28413134958936564,-0.16565775689281778,-0.12462405183000504,-0.15689871272429515,-0.14247098937948702,-0.1983577069046602,-0.2810048349662678,-0.16402616909859025,-0.1520995209025552,-0.20585613721225138,-0.37017760188379684,-0.18541000158573423,-0.16450389920770375,-0.27041055502280886,-0.1973853945554584,-0.20942009164303008,-0.28028445422822446,-0.15626339545488635,-0.2782328629466125,-0.15626715058893487,-0.167775857857805,3.888187422213017
c_1_18_5,-0.1521793336335913,-0.15394842686760157,-0.1839793500411344,-0.22775960611091423,-0.13565769525119714,-0.20129264412850278,-0.16349458667624275,4.217250636871113,-0.28413134958936564,-0.16565775689281778,-0.12462405183000504,-0.15689871272429515,-0.14247098937948702,-0.1983577069046602,-0.2810048349662678,-0.16402616909859025,-0.1520995209025552,-0.20585613721225138,-0.37017760188379684,-0.18541000158573423,-0.16450389920770375,-0.27041055502280886,-0.1973853945554584,3.586072352179969,-0.28028445422822446,-0.15626339545488635,-0.2782328629466125,-0.15626715058893487,-0.167775857857805,-0.27908285800607857
c_1_18_6,-0.1521793336335913,-0.15394842686760157,-0.1839793500411344,-0.22775960611091423,-0.13565769525119714,-0.20129264412850278,-0.16349458667624275,3.4109988540768303,-0.28413134958936564,-0.16565775689281778,-0.12462405183000504,3.823607152259763,-0.14247098937948702,-0.1983577069046602,-0.2810048349662678,-0.16402616909859025,-0.1520995209025552,-0.20585613721225138,-0.37017760188379684,-0.18541000158573423,-0.16450389920770375,-0.27041055502280886,-0.1973853945554584,-0.20942009164303008,-0.28028445422822446,-0.15626339545488635,-0.2782328629466125,-0.15626715058893487,-0.167775857857805,2.967585375071486
c_1_18_7,-0.1521793336335913,-0.15394842686760157,-0.1839793500411344,-0.22775960611091423,-0.13565769525119714,-0.20129264412850278,-0.16349458667624275,-0.17142620553324175,-0.28413134958936564,-0.16565775689281778,-0.12462405183000504,-0.15689871272429515,-0.14247098937948702,-0.1983577069046602,-0.2810048349662678,4.718488838198276,6.178986603518685,-0.20585613721225138,-0.37017760188379684,3.969820335957281,-0.16450389920770375,-0.27041055502280886,-0.1973853945554584,-0.20942009164303008,-0.28028445422822446,6.501366965411668,3.543187461346126,4.737279073973141,-0.167775857857805,-0.27908285800607857
c_1_18_8,-0.1521793336335913,-0.15394842686760157,-0.1839793500411344,-0.22775960611091423,3.9234288207683914,-0.20129264412850278,-0.16349458667624275,-0.17142620553324175,-0.28413134958936564,-0.16565775689281778,-0.12462405183000504,-0.15689871272429515,-0.14247098937948702,-0.1983577069046602,1.8608775096528904,-0.16402616909859025,-0.1520995209025552,-0.20585613721225138,-0.37017760188379684,-0.18541000158573423,-0.16450389920770375,-0.27041055502280886,-0.1973853945554584,-0.20942009164303008,-0.28028445422822446,-0.15626339545488635,1.8186653947532951,-0.15626715058893487,3.2834340203467836,-0.27908285800607857
c_1_18_9,-0.1521793336335913,-0.15394842686760157,-0.1839793500411344,-0.22775960611091423,-0.13565769525119714,-0.20129264412850278,-0.16349458667624275,-0.17142620553324175,-0.28413134958936564,-0.16565775689281778,-0.12462405183000504,-0.15689871272429515,-0.14247098937948702,-0.1983577069046602,-0.2810048349662678,-0.16402616909859025,-0.1520995209025552,-0.20585613721225138,-0.37017760188379684,-0.18541000158573423,-0.16450389920770375,-0.27041055502280886,-0.1973853945554584,-0.20942009164303008,-0.28028445422822446,-0.15626339545488635,-0.2782328629466125,-0.15626715058893487,-0.167775857857805,-0.27908285800607857
c_1_18_10,-0.1521793336335913,-0.15394842686760157,-0.1839793500411344,-0.22775960611091423,-0.13565769525119714,-0.20129264412850278,-0.16349458667624275,-0.17142620553324175,-0.28413134958936564,-0.16565775689281778,-0.12462405183000504,-0.15689871272429515,-0.14247098937948702,-0.1983577069046602,-0.2810048349662678,-0.16402616909859025,-0.1520995209025552,-0.20585613721225138,-0.37017760188379684,-0.18541000158573423,-0.16450389920770375,4.468501124541849,-0.1973853945554584,-0.20942009164303008,-0.28028445422822446,-0.15626339545488635,-0.2782328629466125,-0.15626715058893487,-0.167775857857805,-0.27908285800607857
c_1_18_11,-0.1521793336335913,-0.15394842686760157,-0.1839793500411344,-0.22775960611091423,-0.13565769525119714,-0.20129264412850278,-0.16349458667624275,-0.17142620553324175,-0.28413134958936564,-0.16565775689281778,-0.12462405183000504,-0.15689871272429515,-0.14247098937948702,-0.1983577069046602,-0.2810048349662678,-0.16402616909859025,-0.1520995209025552,-0.20585613721225138,-0.37017760188379684,-0.18541000158573423,-0.16450389920770375,-0.27041055502280886,-0.1973853945554584,-0.20942009164303008,-0.28028445422822446,-0.15626339545488635,2.472376168538202,-0.15626715058893487,-0.167775857857805,-0.27908285800607857
