cell_id,cell_type
c_1_16_1,Epithelial
c_1_16_2,None
c_1_16_3,None
c_1_16_4,Lymphoid-T
c_1_16_5,None
c_1_16_6,None
c_1_16_7,Epithelial
c_1_16_8,Epithelial
c_1_16_9,Stem
c_1_16_10,None
c_1_16_11,None
c_1_16_12,Epithelial
c_1_16_13,None
c_1_16_14,None
c_1_16_15,None
c_1_16_16,None
c_1_16_17,None
c_1_16_18,None
c_1_16_19,Epithelial
c_1_16_20,Epithelial
c_1_16_21,Epithelial
c_1_16_22,Lymphoid-T
c_1_16_23,Epithelial
c_1_16_24,Epithelial
c_1_16_25,None
c_1_16_26,Epithelial
c_1_16_27,Epithelial
c_1_16_28,Epithelial
c_1_16_29,None
c_1_16_30,Lymphoid-Other
c_1_16_31,Epithelial
c_1_16_32,None
c_1_16_33,Epithelial
c_1_16_34,Stem
c_1_16_35,Epithelial
c_1_16_36,None
c_1_16_37,Epithelial
c_1_16_38,None
c_1_16_39,Epithelial
c_1_16_40,Epithelial
c_1_16_41,Stem
c_1_16_42,Endothelial
c_1_16_43,Epithelial
c_1_16_44,None
c_1_16_45,None
c_1_16_46,None
c_1_16_47,Epithelial
c_1_16_48,None
c_1_16_49,None
c_1_16_50,Epithelial
c_1_16_51,None
c_1_16_52,Epithelial
c_1_16_53,Epithelial
c_1_16_54,None
c_1_16_55,Epithelial
c_1_16_56,Epithelial
c_1_16_57,Myeloid
c_1_16_58,None
c_1_16_59,None
c_1_16_60,None
c_1_16_61,Endothelial
c_1_16_62,None
c_1_16_63,Stem
c_1_16_64,Endothelial
c_1_16_65,Epithelial
c_1_16_66,None
c_1_16_67,Epithelial
c_1_16_68,None
c_1_16_69,None
c_1_16_70,None
c_1_16_71,None
c_1_16_72,None
c_1_16_73,None
c_1_16_74,Epithelial
c_1_16_75,Epithelial
c_1_16_76,Epithelial
c_1_16_77,Epithelial
c_1_16_78,Epithelial
c_1_16_79,Epithelial
c_1_16_80,Epithelial
c_1_16_81,None
c_1_16_82,Epithelial
c_1_16_83,Epithelial
c_1_16_84,Epithelial
c_1_16_85,Epithelial
c_1_16_86,Epithelial
c_1_16_87,Epithelial
c_1_16_88,Lymphoid-Plasma
c_1_16_89,Epithelial
c_1_16_90,None
c_1_16_91,Epithelial
c_1_16_92,Stem
c_1_16_93,Stem
c_1_16_94,Stem
c_1_16_95,Epithelial
c_1_16_96,Endothelial
c_1_16_97,Endothelial
c_1_16_98,Stem
c_1_16_99,Stem
c_1_16_100,Stem
c_1_16_101,Stem
c_1_16_102,None
c_1_16_103,Stem
c_1_16_104,None
c_1_16_105,None
c_1_16_106,None
c_1_16_107,None
c_1_16_108,Endothelial
c_1_16_109,Epithelial
c_1_16_110,Epithelial
c_1_16_111,None
c_1_16_112,None
c_1_16_113,None
c_1_16_114,Lymphoid-Plasma
c_1_16_115,Endothelial
c_1_16_116,Endothelial
c_1_16_117,Lymphoid-Plasma
c_1_16_118,Epithelial
c_1_16_119,Epithelial
c_1_16_120,None
c_1_16_121,Epithelial
c_1_16_122,Epithelial
c_1_16_123,Stem
c_1_16_124,None
c_1_16_125,Epithelial
c_1_16_126,Epithelial
c_1_16_127,Epithelial
c_1_16_128,Epithelial
c_1_16_129,None
c_1_16_130,None
c_1_16_131,None
c_1_16_132,Epithelial
c_1_16_133,Epithelial
c_1_16_134,None
c_1_16_135,Epithelial
c_1_16_136,Epithelial
c_1_16_137,Epithelial
c_1_16_138,Epithelial
c_1_16_139,None
c_1_16_140,Stem
c_1_16_141,None
c_1_16_142,Mesenchymal-Stromal
c_1_16_143,Stem
c_1_16_144,Epithelial
c_1_16_145,Epithelial
c_1_16_146,Endothelial
c_1_16_147,None
c_1_16_148,Epithelial
c_1_16_149,None
c_1_16_150,None
c_1_16_151,None
c_1_16_152,Epithelial
c_1_16_153,Epithelial
c_1_16_154,Stem
c_1_16_155,Endothelial
c_1_16_156,Stem
c_1_16_157,Epithelial
c_1_16_158,Lymphoid-Plasma
c_1_16_159,Epithelial
c_1_16_160,None
c_1_16_161,None
c_1_16_162,None
c_1_16_163,None
c_1_16_164,Epithelial
c_1_16_165,Stem
c_1_16_166,Epithelial
c_1_16_167,Epithelial
c_1_16_168,None
c_1_16_169,Epithelial
c_1_16_170,None
c_1_16_171,Stem
c_1_16_172,Epithelial
c_1_16_173,Epithelial
c_1_16_174,Epithelial
c_1_16_175,None
c_1_16_176,Epithelial
c_1_16_177,Epithelial
c_1_16_178,None
c_1_16_179,Epithelial
c_1_16_180,Epithelial
c_1_16_181,Epithelial
c_1_16_182,Epithelial
c_1_16_183,None
c_1_16_184,Epithelial
c_1_16_185,Lymphoid-Other
c_1_16_186,Endothelial
c_1_16_187,Epithelial
c_1_16_188,None
c_1_16_189,Epithelial
c_1_16_190,Epithelial
c_1_16_191,Epithelial
c_1_16_192,Epithelial
c_1_16_193,Epithelial
c_1_16_194,Epithelial
c_1_16_195,Epithelial
c_1_16_196,Epithelial
c_1_16_197,Stem
c_1_16_198,None
c_1_16_199,Epithelial
c_1_16_200,Epithelial
c_1_16_201,None
c_1_16_202,Epithelial
c_1_16_203,None
c_1_16_204,Lymphoid-Plasma
c_1_16_205,Endothelial
c_1_16_206,None
c_1_16_207,None
c_1_16_208,None
c_1_16_209,None
c_1_16_210,None
c_1_16_211,Epithelial
c_1_16_212,None
c_1_16_213,None
c_1_16_214,None
c_1_16_215,Epithelial
c_1_16_216,Endothelial
c_1_16_217,Epithelial
c_1_16_218,Epithelial
c_1_16_219,None
c_1_16_220,Epithelial
c_1_16_221,None
c_1_16_222,Endothelial
c_1_16_223,Lymphoid-Plasma
c_1_16_224,Endothelial
c_1_16_225,Epithelial
c_1_16_226,None
c_1_16_227,Epithelial
c_1_16_228,Epithelial
c_1_16_229,None
c_1_16_230,Epithelial
c_1_16_231,None
c_1_16_232,None
c_1_16_233,Stem
c_1_16_234,Lymphoid-Plasma
c_1_16_235,None
c_1_16_236,None
c_1_16_237,None
c_1_16_238,Epithelial
c_1_16_239,None
c_1_16_240,None
c_1_16_241,None
c_1_16_242,None
c_1_16_243,None
c_1_16_244,None
c_1_16_245,None
c_1_16_246,Epithelial
c_1_16_247,None
c_1_16_248,None
c_1_16_249,Epithelial
c_1_16_250,None
c_1_16_251,None
c_1_16_252,None
c_1_16_253,Stem
c_1_16_254,None
c_1_16_255,None
c_1_16_256,Epithelial
c_1_16_257,Endothelial
c_1_16_258,Stem
c_1_16_259,None
c_1_16_260,None
c_1_16_261,None
c_1_16_262,None
c_1_16_263,None
c_1_16_264,None
c_1_16_265,Epithelial
c_1_16_266,Epithelial
c_1_16_267,None
c_1_16_268,None
c_1_16_269,Epithelial
c_1_16_270,Mesenchymal-Stromal
c_1_16_271,None
c_1_16_272,None
c_1_16_273,Stem
c_1_16_274,None
c_1_16_275,None
c_1_16_276,None
c_1_16_277,Stem
c_1_16_278,Endothelial
c_1_16_279,Endothelial
c_1_16_280,Mesenchymal-Stromal
c_1_16_281,Endothelial
c_1_16_282,None
c_1_16_283,Epithelial
c_1_16_284,None
c_1_16_285,Epithelial
c_1_16_286,None
c_1_16_287,None
c_1_16_288,None
c_1_16_289,Epithelial
c_1_16_290,Epithelial
c_1_16_291,None
c_1_16_292,None
c_1_16_293,None
c_1_16_294,Lymphoid-T
c_1_16_295,Epithelial
c_1_16_296,None
c_1_16_297,None
c_1_16_298,Epithelial
c_1_16_299,None
c_1_16_300,Endothelial
c_1_16_301,None
c_1_16_302,Mesenchymal-Stromal
c_1_16_303,None
c_1_16_304,Endothelial
c_1_16_305,Epithelial
c_1_16_306,None
c_1_16_307,None
c_1_16_308,None
c_1_16_309,None
c_1_16_310,Endothelial
c_1_16_311,Lymphoid-Plasma
c_1_16_312,None
c_1_16_313,None
c_1_16_314,None
c_1_16_315,None
c_1_16_316,Endothelial
c_1_16_317,Endothelial
c_1_16_318,Endothelial
c_1_16_319,Endothelial
c_1_16_320,None
c_1_16_321,None
c_1_16_322,Epithelial
c_1_16_323,Endothelial
c_1_16_324,None
c_1_16_325,None
c_1_16_326,None
c_1_16_327,None
c_1_16_328,None
c_1_16_329,None
c_1_16_330,None
c_1_16_331,None
c_1_16_332,None
c_1_16_333,None
c_1_16_334,None
c_1_16_335,Endothelial
c_1_16_336,Lymphoid-Plasma
c_1_16_337,Epithelial
c_1_16_338,None
c_1_16_339,Epithelial
c_1_16_340,None
c_1_16_341,Epithelial
c_1_16_342,Endothelial
c_1_16_343,Endothelial
c_1_16_344,Epithelial
c_1_16_345,Epithelial
c_1_16_346,None
c_1_16_347,Stem
c_1_16_348,Epithelial
c_1_16_349,None
c_1_16_350,None
c_1_16_351,None
c_1_16_352,Epithelial
c_1_16_353,Epithelial
c_1_16_354,Stem
c_1_16_355,Epithelial
c_1_16_356,None
c_1_16_357,Lymphoid-Other
c_1_16_358,Epithelial
c_1_16_359,Lymphoid-Other
c_1_16_360,Epithelial
c_1_16_361,Stem
c_1_16_362,Endothelial
c_1_16_363,Stem
c_1_16_364,Epithelial
c_1_16_365,Epithelial
c_1_16_366,Epithelial
c_1_16_367,Epithelial
c_1_16_368,None
c_1_16_369,None
c_1_16_370,Stem
c_1_16_371,Epithelial
c_1_16_372,Epithelial
c_1_16_373,Stem
c_1_16_374,None
c_1_16_375,Epithelial
c_1_16_376,Epithelial
c_1_16_377,None
c_1_16_378,None
c_1_16_379,None
c_1_16_380,Epithelial
c_1_16_381,Stem
c_1_16_382,None
c_1_16_383,Stem
c_1_16_384,Mesenchymal-Stromal
c_1_16_385,Epithelial
c_1_16_386,Epithelial
c_1_16_387,Epithelial
c_1_16_388,Epithelial
c_1_16_389,None
c_1_16_390,Endothelial
c_1_16_391,Lymphoid-Plasma
c_1_16_392,Epithelial
c_1_16_393,Stem
c_1_16_394,Epithelial
c_1_16_395,Epithelial
c_1_16_396,Epithelial
c_1_16_397,Epithelial
c_1_16_398,Endothelial
c_1_16_399,Epithelial
c_1_16_400,Epithelial
c_1_16_401,Epithelial
c_1_16_402,Endothelial
c_1_16_403,None
c_1_16_404,Lymphoid-Plasma
c_1_16_405,Epithelial
c_1_16_406,Epithelial
c_1_16_407,Epithelial
c_1_16_408,Epithelial
c_1_16_409,Epithelial
c_1_16_410,None
c_1_16_411,Epithelial
c_1_16_412,Stem
c_1_16_413,Epithelial
c_1_16_414,None
c_1_16_415,None
c_1_16_416,None
c_1_16_417,None
c_1_16_418,Epithelial
c_1_16_419,None
c_1_16_420,Stem
c_1_16_421,None
c_1_16_422,None
c_1_16_423,Epithelial
c_1_16_424,Epithelial
c_1_16_425,Stem
c_1_16_426,None
c_1_16_427,Epithelial
c_1_16_428,None
c_1_16_429,None
c_1_16_430,None
c_1_16_431,None
c_1_16_432,None
c_1_16_433,Stem
c_1_16_434,Epithelial
c_1_16_435,None
c_1_16_436,None
c_1_16_437,Epithelial
c_1_16_438,Stem
c_1_16_439,Epithelial
c_1_16_440,Epithelial
c_1_16_441,None
c_1_16_442,Endothelial
c_1_16_443,Epithelial
c_1_16_444,None
c_1_16_445,None
c_1_16_446,None
c_1_16_447,None
c_1_16_448,Stem
c_1_16_449,Endothelial
c_1_16_450,None
c_1_16_451,Epithelial
c_1_16_452,None
c_1_16_453,None
c_1_16_454,Stem
c_1_16_455,None
c_1_16_456,Epithelial
c_1_16_457,Epithelial
c_1_16_458,Stem
c_1_16_459,None
c_1_16_460,None
c_1_16_461,None
c_1_16_462,Lymphoid-Plasma
c_1_16_463,None
c_1_16_464,None
c_1_16_465,Mesenchymal-Stromal
c_1_16_466,None
c_1_16_467,None
c_1_16_468,Epithelial
c_1_16_469,None
c_1_16_470,None
c_1_16_471,None
c_1_16_472,None
c_1_16_473,Endothelial
c_1_16_474,Epithelial
c_1_16_475,Epithelial
c_1_16_476,Lymphoid-T
c_1_16_477,Mesenchymal-Stromal
c_1_16_478,None
c_1_16_479,Epithelial
c_1_16_480,None
c_1_16_481,Epithelial
c_1_16_482,Endothelial
c_1_16_483,Lymphoid-Other
c_1_16_484,Stem
c_1_16_485,Endothelial
c_1_16_486,None
c_1_16_487,Endothelial
c_1_16_488,None
c_1_16_489,None
c_1_16_490,Epithelial
c_1_16_491,Epithelial
c_1_16_492,None
c_1_16_493,None
c_1_16_494,Epithelial
c_1_16_495,Mesenchymal-Stromal
c_1_16_496,None
c_1_16_497,Endothelial
c_1_16_498,None
