cell_id,4-1BB,CD11c,CD123,CD127,CD14,CD16,CD40,CD45RA,CD68,CTLA4,EGFR,FABP4,FOXP3,GITR,GZMA,ICAM1,ICOS,IDO1,IL-18,IL-1b,IgD,Ki-67,LAG3,Ms IgG1,PD-1,PD-L1,PD-L2,Tim-3,iNOS,p53
c_1_19_1474,2.39161,1.435249,1.5520701,1.1447823,-0.029483344,1.385192,0.7726955,0.7412055,0.32166073,2.050645,0.95131963,0.26166677,1.1482179,2.2025154,1.8055758,0.9714774,1.4608445,1.7917339,1.7489953,1.6923457,0.16855256,2.1914783,2.213977,2.2475388,1.1524057,1.2016327,1.689153,-0.12832509,0.22934416,0.9003587
c_1_19_1475,0.5388828,-0.20518744,0.79984415,0.8336375,-0.2745986,-0.1382342,-0.31117904,-0.72207624,0.116830654,0.83722776,1.3064921,-0.42194685,0.49992087,0.47843763,0.44152737,-0.2363345,0.097598106,0.5840942,0.22063379,0.6272684,0.32102278,1.472385,0.5359638,0.3430115,0.2690164,0.13270958,0.83401483,-0.28014463,-0.32223007,0.34178185
c_1_19_1476,-0.075077824,0.46378472,0.5768278,-0.3427586,1.3086466,0.2063238,1.4097949,-0.33132052,1.4868456,-1.1964846,0.29571784,-0.6405326,0.7839897,-0.8378523,0.6004036,1.0694609,0.31478217,0.5876659,0.39184713,-0.9901401,-1.1696427,-1.1468192,-0.7520509,-0.9172582,0.2983341,-0.7532833,-0.3384722,0.5504322,-1.146401,1.9842417
c_1_19_1477,-2.0053408,-1.9333814,-1.5034642,-3.786042,0.2951978,-2.591371,-1.9110419,-2.0937788,0.055385455,-1.3517351,-1.0968513,2.2837954,-1.9199144,-1.9789519,-2.44668,-0.15544294,-1.8425978,-1.5434235,-2.407255,-0.89851433,-1.9665737,-1.7596569,-1.1191324,-1.7737094,-2.4119976,-1.9664471,-1.5132192,0.4072,-1.7815354,-1.7139119
c_1_19_1478,0.70374656,-0.57454956,0.16822042,-1.5506085,-0.12358163,-0.26311648,-0.18404703,-0.45093232,-0.038112048,0.15477778,0.37653902,1.4476349,0.3926586,0.27043444,0.22359341,-0.97396475,0.19118613,0.25685948,-0.22479947,0.46158516,-1.232257,0.3504802,-0.7710598,-0.65730345,0.0022303385,-0.25224838,0.26996654,0.21110404,0.36372057,-0.60682195
c_1_19_1479,2.155921,1.0662154,1.5347986,1.294176,0.7813036,1.5752579,0.6642812,0.33777377,0.6324033,1.733927,1.2203063,0.45351398,0.72920257,2.1055634,1.2688318,0.18724816,1.1726398,1.3013209,1.3611614,1.5467334,0.9638931,1.7940814,1.5474285,0.79429865,1.3893098,1.5091943,1.3427162,-0.54550284,0.45417464,0.6146112
c_1_19_1480,-1.0907644,-0.17728467,0.15804268,0.63615847,-0.50079376,-1.2723429,-0.66777426,0.41723546,0.005564605,-1.3783987,0.54826593,-0.69074166,0.42481658,-0.75106543,-1.0110364,-0.13827933,-1.0580536,0.16013357,-0.08768011,-1.2156106,-0.5380185,-0.7000233,-0.8817046,-0.715119,-0.25879502,-1.4372272,-0.64467096,0.78431404,-0.71227634,1.3594421
c_1_19_1481,0.6814756,0.07520969,0.7014241,0.82225174,-0.28859627,0.076210484,-0.3288184,-0.69205576,0.24256347,1.0127134,0.6450938,-0.5002754,0.06328243,0.8403572,0.6293473,0.23204012,-0.009477472,-0.017949538,0.1277396,0.91545236,0.47870013,1.1109965,0.82453245,0.6271176,0.44820377,0.7153265,0.6963399,-0.9775215,-0.49583134,0.23200282
c_1_19_1482,1.1090791,0.057694204,0.14048703,0.89629906,-0.37292457,0.22268133,-0.030683855,-0.3965854,0.24663827,0.60117716,0.6185086,-0.43352553,-0.1755902,0.68217933,0.45777306,0.03351734,-0.3025708,-0.35832584,0.73013353,1.1677684,-0.048925206,1.4921757,0.5912993,0.85898274,0.10801516,0.7906199,1.1043261,-0.97152466,-0.64825803,0.36789513
c_1_19_1483,0.6710043,-0.26219174,1.3705077,1.0313791,-0.010394804,0.071773544,-0.34770122,0.19525705,-0.06434465,0.72268677,1.9912065,-0.53167564,0.6723236,0.7679357,0.7939025,-0.25490192,0.39095882,0.49400315,0.81936324,0.5755325,0.15729067,1.0333381,1.0734469,0.89063644,0.6513799,0.9985979,1.2449656,-0.026895985,0.2877365,0.07208904
c_1_19_1484,0.09727892,-1.4748873,0.3612952,1.0763512,-0.15551044,-0.6151964,-0.07666157,-0.18054275,-0.3717012,-0.1297926,1.5464597,-0.3876312,0.7801724,-0.1425018,-0.5099418,-0.3227978,-1.224891,0.4949294,0.43781152,-0.74160266,-0.12246722,0.647691,-0.5585776,-0.4607292,0.17881581,-1.3196551,-0.20118338,0.3027594,0.3250015,-0.59330183
c_1_19_1485,-1.3889842,-1.5365146,-1.9118296,-2.3875513,-1.3985603,-0.97470295,-1.712857,-2.160337,-0.2656038,-1.0600485,-1.2671976,-1.4074887,-1.858843,-1.5640143,-1.07676,-0.32543314,-1.0383326,-2.8046513,-1.9270246,-0.98005396,-1.6322548,-0.8902536,-2.1384492,-1.7088549,-1.9927881,-0.94528127,-1.6158267,0.08476856,-1.3835163,-2.5802407
c_1_19_1486,-0.053035505,-1.0960393,-0.09468498,0.47981197,-0.44162214,-1.15972,-0.2523668,-2.531063,0.13348323,-0.08982716,0.6643566,-0.7641666,-0.2687697,-0.09286821,-0.6448878,-1.7303478,0.13904437,0.23843122,-0.9370421,-0.037748467,-0.5441246,0.18572332,0.68286765,-0.64024633,-0.124079086,-0.52422655,-0.19170418,-0.45421666,-0.16982785,0.022277206
c_1_19_1487,-1.5694793,-0.67866087,-1.3101059,-1.878713,-1.169506,-1.7692287,-1.3816098,-1.0791065,-0.150495,0.3000769,-2.2510703,-1.0330776,-1.0131315,-1.8588444,-1.2980628,0.19424419,-0.94310296,-0.8310244,-2.2702632,-1.4350662,-1.3990171,-0.56293,-1.0016034,-0.30915952,-1.8689313,-2.3356593,-1.9883066,-0.0793514,-0.4783338,-1.7893322
c_1_19_1488,0.106035545,-0.6383564,-0.3464973,-0.7288317,-0.76417214,-1.243489,-0.54458046,-0.41090718,-0.716592,-0.2365943,0.5315455,0.1566587,-0.5765146,-0.16408664,-0.74403256,-0.4370995,0.04492545,-0.6568209,-0.39066175,0.8356902,0.014835271,-0.04977105,0.06389351,-0.75053924,-0.5609316,-0.9233904,-0.07458281,0.32002223,0.3938422,-1.2422634
c_1_19_1489,1.3088698,0.58894885,0.33047467,0.8018418,-0.30849567,0.48980752,-0.09831814,-0.20369168,0.2006741,0.7742611,-0.023922281,-0.32855392,0.10119986,1.3109348,0.86481297,-0.17987257,-0.09319992,0.45382684,0.5232033,0.91493165,0.025194198,1.8677355,1.3223943,0.46378526,0.2071795,0.8705259,0.9058791,-0.6825043,-0.15509084,0.34616077
c_1_19_1490,-1.2419767,-1.232337,-1.3017011,-1.205778,-0.91724145,-1.9825509,-1.2696308,-1.885379,-0.19518322,-0.6990706,-0.6308166,-1.5723274,-1.534209,-1.0008261,-1.3739989,-0.7241824,-0.86625063,-0.8919286,-1.1735013,-0.6335015,-0.2972073,-0.62285256,-0.5684548,-0.96258914,-1.0030693,-1.3826864,-0.709329,-1.1281008,-1.1232003,-1.0657209
c_1_19_1491,-0.2829902,-1.371419,1.0850718,1.2474678,0.26922143,-0.49995458,0.26352072,-0.21218905,-0.52656627,0.19937167,2.069394,-0.10741994,0.73777395,-0.36318514,-0.99770087,-0.2083869,-0.25607917,1.0502476,0.30567715,-0.80724233,-0.7474492,-0.23335592,-0.8207526,-0.5297388,0.55693287,-0.506189,-0.17457671,0.5220363,-0.40234604,-0.76342654
c_1_19_1492,-0.8254296,-1.4077591,-0.038303994,-0.4941464,0.8822794,-1.0841802,1.0323248,0.027563421,0.17104903,-0.17476752,0.044125106,-0.06591201,-0.10026768,0.48448718,-0.9800558,1.9217337,-0.9570428,0.23843122,0.7203032,-0.010195794,-1.9183316,-1.2668344,-0.2415558,-1.3315909,-0.57542896,-0.282409,-0.30015123,1.3513525,-0.14907981,0.51609147
c_1_19_1493,0.05395637,-0.9276851,0.0073599205,-2.0479746,0.048593868,-0.9304026,-0.27645135,-0.68781066,-0.014679151,0.24185589,0.46017274,1.8189008,-0.2275535,0.6243943,0.001056311,-1.5020676,-0.8486745,-0.6450445,0.072771214,0.23157114,-1.4496017,0.35947022,-0.50267494,-0.43991673,-0.18122856,-0.79136884,-0.13401926,0.0052728467,1.1120331,-1.1665857
c_1_19_1494,1.2226446,0.22305629,0.9377544,0.61555785,-0.10620493,0.2629069,0.00041913782,-0.9753468,0.2006741,0.8632012,0.6781898,-0.27377692,0.5076457,1.4843316,0.823826,0.119693555,0.9624608,0.27515143,0.75408864,1.1763885,0.014835271,1.8390079,1.2987968,0.49810094,0.8702241,1.1500214,1.3657463,-0.5277944,-0.42635736,0.39419198
c_1_19_1495,-1.9300839,-2.1235268,-1.8360192,-3.2417502,-0.7225859,-1.0755072,-2.040032,-2.617923,-0.8845785,-2.0353382,-2.06149,-2.098557,-2.3094356,-2.0194025,-1.6817756,-0.1405545,-0.8929696,-2.3093688,-2.5092728,-1.3933613,-1.8264195,-1.832683,-1.9620445,-1.558761,-2.606422,-1.0581871,-1.7376591,-1.0967631,-1.8442656,-2.3975837
c_1_19_1496,1.5910636,1.1776519,1.6296968,0.42235878,0.6712445,1.5081075,0.79833317,0.62496984,0.7274966,1.7306948,0.6938401,0.4194574,0.9124243,1.9524977,1.5540162,0.5377206,1.4823862,1.5102694,1.292878,1.7514814,0.41389248,1.6150883,1.9010228,1.154473,1.3432744,1.4234523,1.8661743,-0.24611802,0.60548913,0.92566675
c_1_19_1497,-0.72514725,-0.6634511,0.43203205,-0.7319364,0.65674514,-0.815075,0.91845036,-0.43505087,0.0011920428,-0.026461374,-0.81956345,-0.61930895,-0.18703999,-0.18189007,-0.4583877,2.3315132,-0.46077082,0.5170644,-0.3820089,-0.7825176,-1.5199213,-0.6482121,0.57778114,-0.41929606,-0.11927899,-0.17574376,-0.6141033,0.74248093,-0.47026324,0.14129636
c_1_19_1498,0.67475,-0.24164566,0.06733752,-0.7815391,-0.39884552,-1.205754,-0.24838644,0.16405223,-0.5377727,-0.28111437,0.5674997,0.8786811,0.40789855,0.677997,0.59839183,-0.43134564,0.17947893,-0.1073079,-0.20470831,0.7500935,-0.19513196,-0.15641603,0.82580024,0.19203842,-0.24737605,-0.18153335,0.5504531,0.6696133,0.6693072,-0.6588625
c_1_19_1499,-0.3334593,-0.15759042,0.9045869,0.41265076,1.7960099,-0.10345362,1.006333,0.08920224,0.06646805,-0.5645116,-0.19864243,0.45863384,0.65466887,0.38532227,-1.1116123,0.28587276,0.014057254,1.6616596,0.4629602,-0.3826008,-0.5078689,0.10062412,-0.12933132,-0.81696916,0.51971865,-0.93157333,-0.04145795,1.2382876,0.9159995,0.4337432
c_1_19_1500,1.0694565,0.1605527,0.66685855,0.4205989,-0.17194721,0.3893535,-0.22862557,-0.9144151,0.03039554,1.2666062,0.30268592,-0.43626022,0.1811722,1.3823379,0.64021826,-0.2967436,0.08271903,0.3440444,0.3184886,0.996935,0.28006342,1.3009796,1.5180954,0.7153616,0.49858293,0.74197793,1.5511752,-0.47988778,0.094084896,0.19647336
c_1_19_1501,-1.0327665,-0.28712985,-0.030364303,0.34708706,-0.19641404,-1.6565027,-0.13969949,-0.35781947,-0.02697672,-1.6874336,0.5494391,-0.7375001,0.9404435,-0.5291106,-0.41308653,-0.18812245,-0.42993447,0.26398924,0.34600738,-1.107918,-1.3880126,-1.102863,-1.228346,-1.2933451,-0.2753871,-1.0009981,-0.9038574,0.72685844,-0.91309035,0.62035435
c_1_19_1502,0.7526796,0.18050335,-0.006712359,1.1968564,-0.4703685,-0.65539074,-0.042059693,0.4513008,0.40695116,0.83131564,1.0995524,-0.40168598,0.70172334,0.34300455,0.10385244,-0.33072045,-0.28381747,1.110212,0.93487597,0.7978231,-0.6194801,1.431097,0.38574964,0.28758356,-0.16895328,0.41000363,0.7701298,-0.2927649,-0.4419164,-0.30979013
