cell_id,4-1BB,CCR7,CD123,CD127,CD138,CD14,CD15,CD163,CD31,CD38,CD45RA,CTLA4,FABP4,GITR,GZMA,GZMB,ICOS,IL-18,IgD,Ki-67,LAG3,Ms IgG1,PD-1,PD-L1,PD-L2,Rb IgG,TCF7,Tim-3,Vimentin,p53
c_1_10_3131,0.048774272,0.556611,0.48030087,0.22155394,-0.3768368,-0.36697346,-0.6547427,-0.5964262,1.5442781,1.7558606,0.4334658,0.97971416,-0.0072511155,0.26178578,0.5656865,0.5273593,-1.131196,0.5606268,0.86968,0.2689723,0.3509094,0.9096329,0.9726246,0.6940007,0.31062374,0.2526818,0.116502576,0.1593258,0.43383837,0.60916144
c_1_10_3132,-0.48527497,0.21752891,0.2174668,0.87879825,-0.42745915,-0.12414656,-0.46355084,-0.06925012,-0.304055,0.7990912,0.9154777,-0.14957643,0.3876655,-0.09774567,-0.83110756,0.94448423,0.009318501,0.42236048,0.42524803,0.31173238,-0.4702832,-0.12404099,0.14389601,0.4002781,-0.03673811,-0.43991357,0.8624115,0.09841069,0.80122924,0.39952743
c_1_10_3133,-0.8178109,-0.87908256,-0.99500644,-0.052430674,-1.2795494,1.2124456,-1.3646303,-0.97426707,-0.8724939,-0.14333984,0.7059998,-0.5945953,-1.2470406,-0.39753348,-0.12810242,-1.0841409,-0.7916852,-0.36099547,-0.31420606,0.67329717,-0.7147141,-1.1074823,-0.78460085,-0.0828832,-0.856206,-0.51333845,-1.1006926,-0.12921989,0.1704992,0.3061066
c_1_10_3134,0.08069881,-0.3814267,0.2378131,0.49389967,-0.55001163,1.8015646,-0.50191903,1.2656198,0.35192943,0.43912506,-0.3114381,-0.27746007,-0.30279675,0.20651479,-0.753413,0.0197305,-0.53298986,0.09705487,0.07432242,-0.41239092,-0.7268825,-0.32971203,0.061671667,-0.1313748,-0.47426653,-0.4884815,-0.05036966,0.2979553,0.87179804,-0.09407102
c_1_10_3135,-0.027385952,0.021209782,1.5957614,0.8118846,0.5463807,-0.09694611,0.37145573,-0.9497734,3.3463771,0.21549019,0.1663198,-0.08617418,0.5074614,-0.0064252317,0.81163615,0.6708,-0.8791295,0.2886275,0.34126478,0.5867405,-0.007987341,-0.17134303,-0.03480856,-0.16073233,0.32491535,0.49165767,-0.06383541,0.42392716,0.64495486,0.22482334
c_1_10_3136,0.18545656,0.17317823,-0.14658253,0.19570084,2.3929565,-0.49338964,0.47695544,0.316482,1.6614162,-0.31279004,0.30113667,0.039923493,0.80300957,0.86576116,0.21802995,0.5244922,-0.45740506,0.14096588,0.6061226,1.5248079,0.8123247,0.32708085,-0.4977413,-0.19844204,0.7881762,0.39791358,0.16676176,1.3176745,0.7040774,0.654793
c_1_10_3137,0.79147786,0.32036188,0.53674006,0.066124246,1.1370878,0.56363785,0.82567626,0.8491583,0.21079834,-0.11693992,0.9457327,0.8219241,0.5174305,1.1425298,0.7322659,0.26490974,0.26814255,0.5908096,0.5003297,1.2695196,1.2488468,0.80531675,0.2531478,0.72923404,1.3957621,1.5539179,0.21676415,0.7672763,0.09042612,0.83922046
c_1_10_3138,-0.81147885,-0.7148202,-0.77479553,0.8226882,-1.1108159,0.6250902,-0.6926721,-0.36069134,-0.17499413,0.22734167,0.43700096,-0.08617418,-0.62203497,-0.15419935,-0.9404127,-0.050079808,-0.8519306,0.07118172,0.022880562,-1.5167875,-0.5307711,0.035229284,-0.73260957,-0.80519664,-0.4116543,-0.9907171,-0.24323405,-0.10065569,0.50255555,-0.060808357
c_1_10_3139,-0.2686367,-0.09297438,-0.55394137,0.68900204,-1.09833,1.2951347,-0.7265303,0.8189168,-0.06310267,0.5678791,0.5726422,0.44982356,-0.17447273,-0.052521016,1.2943283,-0.34010455,-0.96081746,0.08848429,-0.032009173,-0.96724993,0.22497207,0.19371736,1.4904426,1.516759,-0.3171515,-0.83922696,-0.18226734,-0.4397618,0.3523856,-0.13568097
c_1_10_3140,-0.5566058,-0.08002047,0.49811274,0.062480032,-0.53433055,1.2852747,-0.15431927,0.11236241,0.9709472,0.8894938,0.5409188,0.019485012,-0.7666439,0.4677641,-0.9190156,0.25838915,1.6810758,0.19285086,0.6021164,0.109734245,-0.79027146,-0.18443912,1.365861,-0.028240964,-0.44225872,-0.30396685,2.1878672,-0.79818135,0.35616958,-0.6567689
c_1_10_3141,-0.4991186,-0.5901604,0.1339105,-0.0027152796,-0.9641181,-0.62253183,1.7607552,-0.5989045,3.164773,-0.10807443,-0.27727374,-0.48190355,-0.25139344,-0.3295366,0.0045067365,-0.35702798,-2.378991,0.013903278,0.042201284,-0.03379668,-0.6694068,-0.32971203,-0.23799475,-0.523196,-0.47806418,-0.725928,0.1016566,-0.98885113,0.48325047,-0.56266385
c_1_10_3142,-0.06684958,-0.7432124,-0.19264837,-0.4514073,-0.72755945,0.9721406,-0.9332914,-0.63145214,-0.3719833,0.6331071,-0.66953754,-0.45597103,-1.1694181,0.034586035,0.47336358,-0.082863525,0.8679474,-0.035891943,0.14752735,-0.39675266,-0.37718636,-0.7352027,0.14831538,0.058710083,-0.39514744,-0.3754875,-0.50128925,-0.12971213,0.38818565,-0.55304676
c_1_10_3143,-1.0431905,-2.0881567,-2.6872087,-0.3854392,-2.2491405,-0.19766548,-1.8861986,-2.6866684,-1.6810822,-0.14664586,-1.4540724,-0.9326244,-2.500761,-0.923057,-1.1360906,-1.3044406,-1.9134858,-1.069525,-1.6931776,-1.092047,-0.95062184,-1.4546775,-1.9214092,-2.5645041,-0.97931975,-2.154193,-1.8884044,-0.3349722,0.39459714,-0.97400516
c_1_10_3144,0.19794688,2.287727,-0.00992983,0.47481006,-0.75093657,0.49226135,0.5575888,-0.036726087,1.3214253,0.8509119,0.9680207,-0.47415647,-0.16028112,0.012096654,-0.7274532,0.47008947,-0.7940543,1.0543071,0.39663586,-0.29195672,-0.40581203,-0.26942313,0.020636447,0.06845059,0.23698853,-0.24476846,0.63379496,0.8377338,0.107398085,0.10311593
c_1_10_3145,-0.35217276,-0.29335827,0.056658093,0.011577905,-0.711572,0.014285274,-0.9278217,-1.4426206,2.8785114,2.5919662,0.38214204,-0.5297901,-0.911299,0.13803539,-0.18961172,0.1775126,-0.5188119,-0.100093424,0.19479555,-0.13743874,-0.9249766,-0.45600083,0.37790984,-0.4037099,-0.88717836,-0.50864786,-0.47587028,-1.0390788,0.017838929,-0.5663749
c_1_10_3146,-0.80307406,-0.3300056,-0.100369014,0.49226215,-0.67468,-0.01737874,-0.21205409,0.1335725,0.12562907,0.63602215,1.001431,-0.021517199,-0.5533082,-0.16903247,-0.25986516,0.44851357,0.026974795,-0.026514446,0.3328339,0.391619,-1.0534545,-0.29239765,0.1867765,-0.076903395,-0.16364565,0.39615625,0.44037634,-0.04435703,0.6626073,0.3730723
