cell_id,ADIRF,AXL,AZU1,BMP1,CASR,COL5A3,DDR1,DHRS2,DMBT1,EFNA1,EPHB6,ERBB2,ERBB3,FES,FLT1,FLT3LG,GSTP1,IDO1,IFNGR2,IL11,INSR,MERTK,OSM,PRF1,SELPLG,SERPINB5,TIGIT,TLR3,TNFRSF13B,TNFSF10
c_1_42_1,-0.2975167622002225,-0.18387587507325992,-0.20856912534938857,-0.19054455907895185,-0.16506863863420299,-0.1891264885848402,-0.263710973954202,-0.20587921507971757,-0.19090180782795935,-0.25499241641092174,-0.22217811213506752,-0.23247942866807372,-0.19308627165952008,-0.24702181053764072,-0.18981130307607838,-0.22987724313492613,-0.31965517508331065,-0.19183803583523182,-0.24834806746114485,-0.2044939981228299,-0.22977048220802737,-0.13363311940790307,-0.19932641296422132,-0.2006579859462877,-0.24963182735567785,-0.1444788487591488,-0.24321815352832635,-0.193786536801106,-0.24609766852445572,-0.29202440033431937
c_1_42_2,-0.2975167622002225,-0.18387587507325992,-0.20856912534938857,-0.19054455907895185,-0.16506863863420299,-0.1891264885848402,-0.263710973954202,-0.20587921507971757,-0.19090180782795935,-0.25499241641092174,-0.22217811213506752,-0.23247942866807372,-0.19308627165952008,-0.24702181053764072,-0.18981130307607838,-0.22987724313492613,-0.31965517508331065,-0.19183803583523182,-0.24834806746114485,-0.2044939981228299,-0.22977048220802737,-0.13363311940790307,-0.19932641296422132,-0.2006579859462877,-0.24963182735567785,-0.1444788487591488,-0.24321815352832635,-0.193786536801106,-0.24609766852445572,-0.29202440033431937
c_1_42_3,-0.2975167622002225,-0.18387587507325992,-0.20856912534938857,-0.19054455907895185,-0.16506863863420299,-0.1891264885848402,-0.263710973954202,-0.20587921507971757,-0.19090180782795935,-0.25499241641092174,-0.22217811213506752,-0.23247942866807372,-0.19308627165952008,-0.24702181053764072,-0.18981130307607838,-0.22987724313492613,-0.31965517508331065,-0.19183803583523182,-0.24834806746114485,-0.2044939981228299,-0.22977048220802737,-0.13363311940790307,-0.19932641296422132,-0.2006579859462877,-0.24963182735567785,-0.1444788487591488,-0.24321815352832635,-0.193786536801106,-0.24609766852445572,-0.29202440033431937
c_1_42_5,-0.2975167622002225,-0.18387587507325992,-0.20856912534938857,-0.19054455907895185,-0.16506863863420299,-0.1891264885848402,-0.263710973954202,-0.20587921507971757,-0.19090180782795935,-0.25499241641092174,-0.22217811213506752,-0.23247942866807372,-0.19308627165952008,-0.24702181053764072,-0.18981130307607838,-0.22987724313492613,-0.31965517508331065,-0.19183803583523182,-0.24834806746114485,-0.2044939981228299,-0.22977048220802737,-0.13363311940790307,-0.19932641296422132,-0.2006579859462877,-0.24963182735567785,-0.1444788487591488,-0.24321815352832635,-0.193786536801106,-0.24609766852445572,-0.29202440033431937
c_1_42_6,-0.2975167622002225,-0.18387587507325992,-0.20856912534938857,-0.19054455907895185,-0.16506863863420299,-0.1891264885848402,-0.263710973954202,-0.20587921507971757,-0.19090180782795935,-0.25499241641092174,-0.22217811213506752,-0.23247942866807372,-0.19308627165952008,-0.24702181053764072,-0.18981130307607838,-0.22987724313492613,-0.31965517508331065,-0.19183803583523182,-0.24834806746114485,-0.2044939981228299,4.677634277600581,-0.13363311940790307,5.639588577069173,-0.2006579859462877,-0.24963182735567785,-0.1444788487591488,-0.24321815352832635,-0.193786536801106,-0.24609766852445572,-0.29202440033431937
c_1_42_7,-0.2975167622002225,-0.18387587507325992,-0.20856912534938857,8.753616067660452,-0.16506863863420299,-0.1891264885848402,-0.263710973954202,-0.20587921507971757,-0.19090180782795935,-0.25499241641092174,-0.22217811213506752,-0.23247942866807372,-0.19308627165952008,-0.24702181053764072,-0.18981130307607838,-0.22987724313492613,-0.31965517508331065,-0.19183803583523182,-0.24834806746114485,-0.2044939981228299,-0.22977048220802737,-0.13363311940790307,-0.19932641296422132,-0.2006579859462877,-0.24963182735567785,-0.1444788487591488,-0.24321815352832635,-0.193786536801106,-0.24609766852445572,-0.29202440033431937
c_1_42_8,-0.2975167622002225,-0.18387587507325992,-0.20856912534938857,2.8706848356872907,-0.16506863863420299,-0.1891264885848402,-0.263710973954202,-0.20587921507971757,-0.19090180782795935,-0.25499241641092174,-0.22217811213506752,-0.23247942866807372,-0.19308627165952008,-0.24702181053764072,-0.18981130307607838,2.457913006769849,-0.31965517508331065,-0.19183803583523182,-0.24834806746114485,-0.2044939981228299,-0.22977048220802737,-0.13363311940790307,2.884279942731097,-0.2006579859462877,-0.24963182735567785,-0.1444788487591488,-0.24321815352832635,-0.193786536801106,-0.24609766852445572,-0.29202440033431937
c_1_42_9,-0.2975167622002225,3.5631369641736703,-0.20856912534938857,-0.19054455907895185,-0.16506863863420299,-0.1891264885848402,-0.263710973954202,-0.20587921507971757,-0.19090180782795935,-0.25499241641092174,2.778285688745297,-0.23247942866807372,-0.19308627165952008,-0.24702181053764072,-0.18981130307607838,-0.22987724313492613,-0.31965517508331065,-0.19183803583523182,-0.24834806746114485,-0.2044939981228299,2.8930408541272263,-0.13363311940790307,-0.19932641296422132,-0.2006579859462877,-0.24963182735567785,-0.1444788487591488,-0.24321815352832635,-0.193786536801106,-0.24609766852445572,-0.29202440033431937
c_1_42_10,-0.2975167622002225,-0.18387587507325992,-0.20856912534938857,-0.19054455907895185,-0.16506863863420299,-0.1891264885848402,-0.263710973954202,-0.20587921507971757,-0.19090180782795935,-0.25499241641092174,-0.22217811213506752,-0.23247942866807372,-0.19308627165952008,-0.24702181053764072,-0.18981130307607838,-0.22987724313492613,-0.31965517508331065,-0.19183803583523182,-0.24834806746114485,-0.2044939981228299,-0.22977048220802737,-0.13363311940790307,-0.19932641296422132,-0.2006579859462877,-0.24963182735567785,-0.1444788487591488,-0.24321815352832635,-0.193786536801106,-0.24609766852445572,-0.29202440033431937
c_1_42_12,-0.2975167622002225,-0.18387587507325992,-0.20856912534938857,-0.19054455907895185,-0.16506863863420299,-0.1891264885848402,-0.263710973954202,-0.20587921507971757,-0.19090180782795935,-0.25499241641092174,-0.22217811213506752,-0.23247942866807372,-0.19308627165952008,-0.24702181053764072,5.085499666456375,-0.22987724313492613,-0.31965517508331065,-0.19183803583523182,-0.24834806746114485,-0.2044939981228299,-0.22977048220802737,-0.13363311940790307,-0.19932641296422132,-0.2006579859462877,-0.24963182735567785,-0.1444788487591488,-0.24321815352832635,-0.193786536801106,-0.24609766852445572,-0.29202440033431937
