cell_id,cell_type
c_1_39_179,Mesenchymal-Stromal
c_1_39_180,Lymphoid-Other
c_1_39_181,Endothelial
c_1_39_182,Mesenchymal-Stromal
c_1_39_183,Mesenchymal-Stromal
c_1_39_184,Myeloid
c_1_39_185,Lymphoid-Other
c_1_39_187,Neuronal-Glial
c_1_39_188,Mesenchymal-Stromal
c_1_39_189,Endothelial
c_1_39_190,Mesenchymal-Stromal
c_1_39_192,Lymphoid-DC
c_1_39_193,Mesenchymal-Stromal
c_1_39_194,Mesenchymal-Stromal
c_1_39_195,Mesenchymal-Stromal
c_1_39_196,Endothelial
c_1_39_197,Mesenchymal-Stromal
c_1_39_198,Mesenchymal-Stromal
c_1_39_200,Mesenchymal-Stromal
c_1_39_201,Neuronal-Glial
c_1_39_202,Neuronal-Glial
c_1_39_203,Mesenchymal-Stromal
c_1_39_204,Mesenchymal-Stromal
c_1_39_205,Mesenchymal-Stromal
c_1_39_206,Mesenchymal-Stromal
c_1_39_207,Lymphoid-Other
c_1_39_208,Mesenchymal-Stromal
c_1_39_209,Mesenchymal-Stromal
c_1_39_211,Mesenchymal-Stromal
c_1_39_214,Lymphoid-Other
c_1_39_215,Mesenchymal-Stromal
c_1_39_217,Mesenchymal-Stromal
c_1_39_218,Mesenchymal-Stromal
c_1_39_220,Mesenchymal-Stromal
c_1_39_221,Mesenchymal-Stromal
c_1_39_222,Mesenchymal-Stromal
c_1_39_223,Mesenchymal-Stromal
c_1_39_224,Mesenchymal-Stromal
c_1_39_225,Lymphoid-Other
c_1_39_227,Lymphoid-Other
c_1_39_228,Mesenchymal-Stromal
c_1_39_229,Mesenchymal-Stromal
c_1_39_230,Mesenchymal-Stromal
c_1_39_232,Neuronal-Glial
c_1_39_234,Mesenchymal-Stromal
c_1_39_236,Lymphoid-Other
c_1_39_237,Mesenchymal-Stromal
c_1_39_238,Mesenchymal-Stromal
c_1_39_239,Mesenchymal-Stromal
c_1_39_240,Mesenchymal-Stromal
c_1_39_241,Mesenchymal-Stromal
c_1_39_242,Mesenchymal-Stromal
c_1_39_243,Mesenchymal-Stromal
c_1_39_244,Neuronal-Glial
c_1_39_246,Mesenchymal-Stromal
c_1_39_247,Mesenchymal-Stromal
c_1_39_248,Mesenchymal-Stromal
c_1_39_249,Mesenchymal-Stromal
c_1_39_250,Mesenchymal-Stromal
c_1_39_251,Lymphoid-Other
c_1_39_252,Lymphoid-DC
c_1_39_253,Mesenchymal-Stromal
c_1_39_254,Mesenchymal-Stromal
c_1_39_257,Mesenchymal-Stromal
c_1_39_258,Lymphoid-Other
c_1_39_259,Myeloid
c_1_39_260,Mesenchymal-Stromal
c_1_39_261,Neuronal-Glial
c_1_39_262,Mesenchymal-Stromal
c_1_39_263,Mesenchymal-Stromal
c_1_39_264,Lymphoid-Other
c_1_39_265,Mesenchymal-Stromal
c_1_39_266,Neuronal-Glial
c_1_39_267,Lymphoid-Other
c_1_39_269,Mesenchymal-Stromal
c_1_39_270,Mesenchymal-Stromal
c_1_39_271,Mesenchymal-Stromal
c_1_39_273,Mesenchymal-Stromal
c_1_39_276,Mesenchymal-Stromal
c_1_39_277,Mesenchymal-Stromal
c_1_39_278,Lymphoid-Other
c_1_39_279,Mesenchymal-Stromal
c_1_39_280,Mesenchymal-Stromal
c_1_39_281,Mesenchymal-Stromal
c_1_39_282,Mesenchymal-Stromal
c_1_39_283,Mesenchymal-Stromal
c_1_39_284,Mesenchymal-Stromal
c_1_39_286,Mesenchymal-Stromal
c_1_39_287,Mesenchymal-Stromal
c_1_39_289,Mesenchymal-Stromal
c_1_39_290,Mesenchymal-Stromal
c_1_39_291,Mesenchymal-Stromal
c_1_39_292,Mesenchymal-Stromal
c_1_39_293,Mesenchymal-Stromal
c_1_39_295,Lymphoid-Other
c_1_39_296,Myeloid
c_1_39_297,Mesenchymal-Stromal
c_1_39_298,Mesenchymal-Stromal
c_1_39_299,Mesenchymal-Stromal
c_1_39_300,Lymphoid-Other
c_1_39_301,Mesenchymal-Stromal
c_1_39_302,Mesenchymal-Stromal
c_1_39_303,Mesenchymal-Stromal
c_1_39_304,Mesenchymal-Stromal
c_1_39_305,Mesenchymal-Stromal
c_1_39_306,Lymphoid-Other
c_1_39_308,Mesenchymal-Stromal
c_1_39_309,Mesenchymal-Stromal
c_1_39_310,Lymphoid-Other
c_1_39_312,Mesenchymal-Stromal
c_1_39_314,Lymphoid-T
c_1_39_315,Mesenchymal-Stromal
c_1_39_316,Mesenchymal-Stromal
c_1_39_317,Mesenchymal-Stromal
c_1_39_318,Mesenchymal-Stromal
c_1_39_319,Mesenchymal-Stromal
c_1_39_320,Mesenchymal-Stromal
c_1_39_322,Mesenchymal-Stromal
c_1_39_323,Mesenchymal-Stromal
c_1_39_324,Mesenchymal-Stromal
c_1_39_325,Mesenchymal-Stromal
c_1_39_327,Mesenchymal-Stromal
c_1_39_328,Mesenchymal-Stromal
c_1_39_330,Mesenchymal-Stromal
c_1_39_331,Mesenchymal-Stromal
c_1_39_333,Mesenchymal-Stromal
c_1_39_334,Mesenchymal-Stromal
c_1_39_335,Mesenchymal-Stromal
c_1_39_336,Mesenchymal-Stromal
c_1_39_337,Mesenchymal-Stromal
c_1_39_339,Mesenchymal-Stromal
c_1_39_341,Mesenchymal-Stromal
c_1_39_342,Mesenchymal-Stromal
c_1_39_343,Mesenchymal-Stromal
c_1_39_345,Mesenchymal-Stromal
c_1_39_347,Lymphoid-Other
c_1_39_348,Mesenchymal-Stromal
c_1_39_349,Lymphoid-Other
c_1_39_351,Mesenchymal-Stromal
c_1_39_352,Mesenchymal-Stromal
c_1_39_353,Mesenchymal-Stromal
c_1_39_354,Mesenchymal-Stromal
c_1_39_356,Endothelial
c_1_39_358,Mesenchymal-Stromal
c_1_39_359,Mesenchymal-Stromal
c_1_39_360,Lymphoid-Other
c_1_39_362,Lymphoid-Other
c_1_39_363,Mesenchymal-Stromal
c_1_39_364,Mesenchymal-Stromal
c_1_39_365,Endothelial
c_1_39_366,Lymphoid-Other
c_1_39_367,Mesenchymal-Stromal
c_1_39_369,Mesenchymal-Stromal
c_1_39_370,Lymphoid-Other
c_1_39_371,Mesenchymal-Stromal
c_1_39_372,Mesenchymal-Stromal
c_1_39_375,Lymphoid-Other
c_1_39_377,Mesenchymal-Stromal
c_1_39_378,Mesenchymal-Stromal
c_1_39_379,Mesenchymal-Stromal
c_1_39_380,Mesenchymal-Stromal
c_1_39_381,Mesenchymal-Stromal
c_1_39_382,Mesenchymal-Stromal
c_1_39_383,Mesenchymal-Stromal
c_1_39_384,Mesenchymal-Stromal
c_1_39_385,Mesenchymal-Stromal
c_1_39_386,Mesenchymal-Stromal
c_1_39_387,Mesenchymal-Stromal
c_1_39_388,Mesenchymal-Stromal
c_1_39_389,Mesenchymal-Stromal
c_1_39_390,Mesenchymal-Stromal
c_1_39_391,Mesenchymal-Stromal
c_1_39_392,Mesenchymal-Stromal
c_1_39_394,Mesenchymal-Stromal
c_1_39_395,Mesenchymal-Stromal
c_1_39_396,Mesenchymal-Stromal
c_1_39_397,Mesenchymal-Stromal
c_1_39_398,Mesenchymal-Stromal
c_1_39_399,Mesenchymal-Stromal
c_1_39_400,Mesenchymal-Stromal
c_1_39_401,Mesenchymal-Stromal
c_1_39_402,Mesenchymal-Stromal
c_1_39_403,Mesenchymal-Stromal
c_1_39_404,Mesenchymal-Stromal
c_1_39_405,Mesenchymal-Stromal
c_1_39_406,Mesenchymal-Stromal
c_1_39_407,Mesenchymal-Stromal
c_1_39_408,Mesenchymal-Stromal
c_1_39_409,Mesenchymal-Stromal
c_1_39_410,Mesenchymal-Stromal
