cell_id,cell_type
c_1_1_1,Lymphoid-Other
c_1_1_2,Lymphoid-Other
c_1_1_3,Lymphoid-Other
c_1_1_4,Lymphoid-Other
c_1_1_10,Lymphoid-T
c_1_1_11,Epithelial
c_1_1_12,Lymphoid-T
c_1_1_14,Lymphoid-Other
c_1_1_16,Lymphoid-Other
c_1_1_17,Lymphoid-Other
c_1_1_18,Lymphoid-Other
c_1_1_19,Lymphoid-Other
c_1_1_21,Epithelial
c_1_1_22,Stem
c_1_1_23,Lymphoid-Other
c_1_1_25,Lymphoid-Other
c_1_1_26,Lymphoid-Other
c_1_1_27,Lymphoid-Other
c_1_1_28,Epithelial
c_1_1_29,Mesenchymal-Stromal
c_1_1_30,Myeloid
c_1_1_31,Epithelial
c_1_1_32,Lymphoid-Other
c_1_1_33,Lymphoid-Other
c_1_1_34,Lymphoid-Other
c_1_1_35,Lymphoid-Other
c_1_1_36,Lymphoid-Other
c_1_1_37,Lymphoid-Other
c_1_1_38,Epithelial
c_1_1_39,Mesenchymal-Stromal
c_1_1_40,Lymphoid-T
c_1_1_41,Lymphoid-Plasma
c_1_1_42,Lymphoid-Other
c_1_1_43,Lymphoid-Other
c_1_1_44,Lymphoid-Other
c_1_1_45,Lymphoid-Other
c_1_1_47,Lymphoid-Other
c_1_1_48,Lymphoid-Other
c_1_1_49,Lymphoid-Other
c_1_1_50,Lymphoid-Other
c_1_1_51,Lymphoid-Other
c_1_1_52,Lymphoid-Other
c_1_1_53,Mesenchymal-Stromal
c_1_1_54,Epithelial
c_1_1_55,Lymphoid-Other
c_1_1_56,Lymphoid-Other
c_1_1_57,Lymphoid-Other
c_1_1_58,Lymphoid-Other
c_1_1_59,Lymphoid-Other
c_1_1_60,Lymphoid-B
c_1_1_61,Lymphoid-Other
c_1_1_62,Lymphoid-Other
c_1_1_63,Lymphoid-Other
c_1_1_66,Lymphoid-Other
c_1_1_67,Lymphoid-T
c_1_1_68,Lymphoid-Other
c_1_1_69,Epithelial
c_1_1_70,Lymphoid-Other
c_1_1_71,Lymphoid-Other
c_1_1_72,Lymphoid-Other
c_1_1_73,Lymphoid-Other
c_1_1_74,Lymphoid-Plasma
c_1_1_75,Lymphoid-Other
c_1_1_76,Lymphoid-Other
c_1_1_77,Lymphoid-Other
c_1_1_78,Lymphoid-Other
c_1_1_79,Lymphoid-Plasma
c_1_1_80,Lymphoid-DC
c_1_1_81,Mesenchymal-Stromal
c_1_1_82,Lymphoid-Other
c_1_1_83,Lymphoid-Other
c_1_1_84,Lymphoid-T
c_1_1_85,Lymphoid-Other
c_1_1_86,Lymphoid-Other
c_1_1_87,Epithelial
c_1_1_88,Epithelial
c_1_1_89,Lymphoid-DC
c_1_1_90,Epithelial
c_1_1_91,Lymphoid-Other
c_1_1_92,Lymphoid-Other
c_1_1_93,Lymphoid-Other
c_1_1_94,Lymphoid-Plasma
c_1_1_95,Endothelial
c_1_1_96,Lymphoid-Other
c_1_1_97,Lymphoid-Other
c_1_1_98,Lymphoid-Other
c_1_1_99,Epithelial
c_1_1_100,Lymphoid-Other
c_1_1_101,Lymphoid-Other
c_1_1_102,Epithelial
c_1_1_103,Epithelial
c_1_1_104,Epithelial
c_1_1_105,Lymphoid-Other
c_1_1_106,Lymphoid-T
c_1_1_107,Lymphoid-Other
c_1_1_108,Myeloid
c_1_1_109,Endothelial
c_1_1_110,Endothelial
c_1_1_111,Lymphoid-Other
c_1_1_112,Epithelial
c_1_1_113,Lymphoid-Other
c_1_1_114,Lymphoid-Other
c_1_1_115,Lymphoid-Other
c_1_1_116,Lymphoid-Other
c_1_1_117,Mesenchymal-Stromal
c_1_1_118,Lymphoid-Plasma
c_1_1_119,Lymphoid-Other
c_1_1_120,Lymphoid-Other
c_1_1_121,Lymphoid-Other
c_1_1_122,Lymphoid-Plasma
c_1_1_123,Epithelial
c_1_1_124,Myeloid
c_1_1_125,Lymphoid-Other
c_1_1_126,Lymphoid-Other
c_1_1_127,Lymphoid-Plasma
c_1_1_128,Lymphoid-Other
c_1_1_129,Lymphoid-Other
c_1_1_130,Epithelial
c_1_1_131,Lymphoid-Other
c_1_1_132,Lymphoid-Other
c_1_1_133,Lymphoid-Other
c_1_1_134,Endothelial
c_1_1_135,Epithelial
c_1_1_136,Mesenchymal-Stromal
c_1_1_137,Lymphoid-Other
c_1_1_138,Lymphoid-Other
c_1_1_139,Lymphoid-Other
c_1_1_141,Lymphoid-Other
c_1_1_142,Lymphoid-T
c_1_1_143,Lymphoid-Other
c_1_1_144,Lymphoid-Plasma
c_1_1_145,Lymphoid-Other
c_1_1_146,Lymphoid-Other
c_1_1_147,Lymphoid-Other
c_1_1_148,Lymphoid-DC
c_1_1_149,Lymphoid-Other
c_1_1_150,Lymphoid-Other
c_1_1_151,Lymphoid-Other
c_1_1_152,Lymphoid-Other
c_1_1_153,Epithelial
c_1_1_154,Lymphoid-Other
c_1_1_155,Lymphoid-Plasma
c_1_1_156,Lymphoid-Other
c_1_1_157,Myeloid
c_1_1_158,Lymphoid-Other
c_1_1_159,Myeloid
c_1_1_160,Lymphoid-Other
c_1_1_161,Lymphoid-Other
c_1_1_162,Endothelial
c_1_1_163,Lymphoid-Other
c_1_1_164,Lymphoid-Plasma
c_1_1_165,Lymphoid-Other
c_1_1_166,Lymphoid-Other
c_1_1_167,Endothelial
c_1_1_168,Lymphoid-Other
c_1_1_169,Epithelial
c_1_1_170,Lymphoid-Other
c_1_1_171,Epithelial
c_1_1_172,Stem
c_1_1_173,Epithelial
c_1_1_174,Lymphoid-Other
c_1_1_175,Epithelial
c_1_1_176,Endothelial
c_1_1_177,Lymphoid-Other
c_1_1_178,Lymphoid-DC
c_1_1_179,Lymphoid-Other
c_1_1_180,Lymphoid-Plasma
c_1_1_181,Lymphoid-Other
c_1_1_182,Lymphoid-Other
c_1_1_183,Epithelial
c_1_1_184,Lymphoid-Other
c_1_1_185,Lymphoid-Other
c_1_1_186,Lymphoid-Plasma
c_1_1_187,Lymphoid-Other
c_1_1_188,Lymphoid-Other
c_1_1_189,Lymphoid-Other
c_1_1_190,Lymphoid-Other
c_1_1_191,Lymphoid-Other
c_1_1_192,Lymphoid-T
c_1_1_193,Lymphoid-Other
