cell_id,PC_1,PC_2
c_1_12_1,5.5854125,-3.7157996
c_1_12_2,0.9005256,0.035740603
c_1_12_3,-0.43045986,0.12636018
c_1_12_4,-2.2023253,-0.51201916
c_1_12_5,-0.6437485,-2.0472224
c_1_12_6,1.5496109,-2.4054809
c_1_12_7,-0.6147336,1.0032465
c_1_12_8,-0.7299766,-1.2729892
c_1_12_9,0.478076,-0.25019917
c_1_12_10,-0.035259962,-0.4128721
c_1_12_11,-0.91561806,-1.2904937
c_1_12_12,-1.2733544,-0.24701416
c_1_12_13,-1.0214227,0.6999886
c_1_12_14,0.89579135,-2.0471444
c_1_12_15,2.2824717,-0.22967137
c_1_12_16,4.678038,-4.408199
c_1_12_17,0.2900196,-1.1370039
c_1_12_18,-1.9665289,-0.110663876
c_1_12_19,-0.68464744,-0.6174387
c_1_12_20,-0.90374994,-0.12790544
c_1_12_21,-1.1250051,-1.0420561
c_1_12_22,-0.50228864,-0.46292114
c_1_12_23,-0.4497958,-0.7861714
c_1_12_24,0.6951082,-1.5033942
c_1_12_25,-1.7191666,-1.2819533
c_1_12_26,-1.0360476,-0.78334254
c_1_12_27,-1.0602264,1.0263776
c_1_12_28,1.3051121,-1.6410466
c_1_12_29,0.53466403,-0.96544224
c_1_12_30,-0.44600558,0.17890014
c_1_12_31,-1.1591448,-1.2073262
c_1_12_32,2.1639247,-2.885874
c_1_12_33,1.0230242,-1.3068559
c_1_12_34,-1.5393238,-2.1461165
c_1_12_35,-1.1279422,-0.31883022
c_1_12_36,-0.24311069,-0.76313704
c_1_12_37,-0.9767223,0.011207312
c_1_12_38,0.07956032,-0.97267264
c_1_12_39,-1.0816587,0.76409215
c_1_12_40,-0.64935577,-0.21721388
c_1_12_41,-0.978628,-0.47373793
c_1_12_42,-0.67552805,1.6348586
c_1_12_43,-0.26760507,0.8987063
c_1_12_44,-0.6800689,-0.34739053
c_1_12_45,-0.5983925,-1.164127
c_1_12_46,-1.339931,-2.2046547
c_1_12_47,0.550093,0.45997468
c_1_12_48,-0.34202537,1.5042036
c_1_12_49,-0.58561814,-1.7381963
c_1_12_50,0.76596564,-1.653287
c_1_12_51,-0.07479035,-0.8045504
c_1_12_52,-0.09642345,1.6183181
c_1_12_53,0.15758716,-0.61377823
c_1_12_54,0.3106016,0.8337664
c_1_12_55,-1.1820987,-1.0497414
c_1_12_56,-1.0446645,-1.830981
c_1_12_57,-1.9077531,-1.5660317
c_1_12_58,-0.99608725,-0.34325096
c_1_12_59,-2.1972466,-1.3756421
c_1_12_60,-0.07196515,-0.775543
c_1_12_61,0.36108783,-1.4685073
c_1_12_62,0.012516221,-0.48972276
c_1_12_63,2.6576214,-1.9956197
c_1_12_64,1.7168237,-0.766038
c_1_12_65,0.33393234,-0.1807946
c_1_12_66,1.2635291,-2.91164
c_1_12_67,-0.7155203,0.14277467
c_1_12_68,-0.9258918,-3.184383
c_1_12_69,1.0407987,-1.6375852
c_1_12_70,-1.0946829,-1.8835455
c_1_12_71,0.3166244,-0.04357374
c_1_12_72,-0.20024523,1.5953423
c_1_12_73,-0.06939675,-0.7663062
c_1_12_74,-0.45514542,0.16523278
c_1_12_75,6.279953,-3.416003
c_1_12_76,-0.45781392,-0.742045
c_1_12_77,-1.7134194,-0.6690771
c_1_12_78,3.6141796,-2.7427063
c_1_12_79,0.4956307,0.09751158
c_1_12_80,1.2090977,-0.8355198
c_1_12_81,-1.3703191,-0.65688205
c_1_12_82,-1.0290116,-1.1024201
c_1_12_83,-1.1448766,-2.0859263
c_1_12_84,-0.5898265,-1.5975751
c_1_12_85,-1.4086827,-1.0325433
c_1_12_86,-2.104998,-0.71140105
c_1_12_87,-1.529495,-0.8620591
c_1_12_88,2.0462189,-2.3103755
