cell_id,cell_type
c_1_12_178,Lymphoid-Other
c_1_12_179,Lymphoid-Other
c_1_12_180,Lymphoid-Other
c_1_12_181,Lymphoid-T
c_1_12_182,Lymphoid-Other
c_1_12_183,Lymphoid-Other
c_1_12_184,Lymphoid-Other
c_1_12_185,Lymphoid-Other
c_1_12_186,Lymphoid-Other
c_1_12_187,Lymphoid-Other
c_1_12_188,Lymphoid-Other
c_1_12_189,Lymphoid-Other
c_1_12_190,Lymphoid-Other
c_1_12_191,Lymphoid-Other
c_1_12_192,Lymphoid-Other
c_1_12_193,Lymphoid-Other
c_1_12_194,Lymphoid-Other
c_1_12_195,Lymphoid-Other
c_1_12_196,Lymphoid-Other
c_1_12_197,Lymphoid-Other
c_1_12_198,Lymphoid-Other
c_1_12_199,Lymphoid-Other
c_1_12_200,Lymphoid-DC
c_1_12_201,Lymphoid-T
c_1_12_202,Lymphoid-Other
c_1_12_203,Myeloid
c_1_12_204,Lymphoid-Other
c_1_12_205,Myeloid
c_1_12_206,Lymphoid-Other
c_1_12_207,Endothelial
c_1_12_208,Erythroid
c_1_12_209,Lymphoid-Other
c_1_12_210,Lymphoid-Other
c_1_12_211,Lymphoid-Other
c_1_12_212,Lymphoid-Other
c_1_12_213,Lymphoid-Other
c_1_12_214,Lymphoid-Other
c_1_12_215,Lymphoid-Other
c_1_12_216,Lymphoid-Other
c_1_12_217,Lymphoid-T
c_1_12_218,Lymphoid-Other
c_1_12_219,Lymphoid-Other
c_1_12_220,Lymphoid-T
c_1_12_221,Lymphoid-Other
c_1_12_222,Lymphoid-Other
c_1_12_223,Lymphoid-Other
c_1_12_224,Lymphoid-Other
c_1_12_225,Mesenchymal-Stromal
c_1_12_226,Lymphoid-Other
c_1_12_227,Lymphoid-Other
c_1_12_228,Lymphoid-Other
c_1_12_229,Lymphoid-Other
c_1_12_230,Lymphoid-Other
c_1_12_231,Lymphoid-Other
c_1_12_232,Lymphoid-Other
c_1_12_233,Lymphoid-Other
c_1_12_234,Lymphoid-Other
c_1_12_235,Lymphoid-Other
c_1_12_236,Lymphoid-Other
c_1_12_237,Lymphoid-Other
c_1_12_238,Lymphoid-Other
c_1_12_239,Lymphoid-Other
c_1_12_240,Lymphoid-DC
c_1_12_241,Lymphoid-Other
c_1_12_242,Lymphoid-Other
c_1_12_243,Lymphoid-DC
c_1_12_244,Lymphoid-Other
c_1_12_245,Lymphoid-Other
c_1_12_246,Lymphoid-Other
c_1_12_247,Lymphoid-Other
c_1_12_248,Lymphoid-Other
c_1_12_249,Lymphoid-Other
c_1_12_250,Lymphoid-Other
c_1_12_251,Lymphoid-Other
c_1_12_252,Lymphoid-Other
c_1_12_253,Lymphoid-Other
c_1_12_254,Lymphoid-Other
c_1_12_255,Lymphoid-Other
c_1_12_256,Lymphoid-Other
c_1_12_257,Lymphoid-Other
c_1_12_258,Lymphoid-Other
c_1_12_259,Lymphoid-Other
c_1_12_260,Lymphoid-Other
c_1_12_261,Lymphoid-Other
c_1_12_262,Lymphoid-Other
c_1_12_264,Lymphoid-Other
c_1_12_265,Lymphoid-Other
c_1_12_266,Lymphoid-Other
c_1_12_267,Lymphoid-Other
c_1_12_268,Lymphoid-Other
c_1_12_269,Lymphoid-Other
c_1_12_270,Lymphoid-Other
c_1_12_271,Lymphoid-Other
c_1_12_272,Lymphoid-Other
c_1_12_273,Lymphoid-Other
c_1_12_274,Lymphoid-Other
c_1_12_275,Erythroid
c_1_12_276,Mesenchymal-Stromal
c_1_12_277,Lymphoid-Other
c_1_12_278,Lymphoid-Other
c_1_12_279,Lymphoid-Other
c_1_12_280,Lymphoid-Other
c_1_12_281,Lymphoid-Other
c_1_12_282,Lymphoid-Other
c_1_12_283,Lymphoid-Other
c_1_12_284,Lymphoid-Other
c_1_12_285,Lymphoid-Other
c_1_12_286,Lymphoid-Other
c_1_12_287,Lymphoid-Other
c_1_12_288,Lymphoid-Other
c_1_12_289,Lymphoid-Other
c_1_12_290,Lymphoid-Other
c_1_12_291,Erythroid
c_1_12_292,Lymphoid-Other
c_1_12_293,Lymphoid-Other
c_1_12_294,Endothelial
c_1_12_295,Lymphoid-Other
c_1_12_296,Lymphoid-Other
c_1_12_297,Mesenchymal-Stromal
c_1_12_298,Lymphoid-Other
c_1_12_299,Lymphoid-T
c_1_12_300,Lymphoid-Other
c_1_12_301,Lymphoid-Other
c_1_12_302,Lymphoid-Other
c_1_12_303,Lymphoid-Other
c_1_12_304,Lymphoid-Other
c_1_12_305,Lymphoid-Other
c_1_12_306,Lymphoid-Other
c_1_12_307,Lymphoid-Other
c_1_12_308,Lymphoid-Other
c_1_12_309,Lymphoid-Other
c_1_12_310,Lymphoid-Other
c_1_12_311,Lymphoid-Other
c_1_12_312,Lymphoid-Plasma
c_1_12_313,Lymphoid-T
c_1_12_314,Lymphoid-Other
c_1_12_315,Lymphoid-T
c_1_12_316,Myeloid
c_1_12_317,Lymphoid-Other
c_1_12_318,Lymphoid-Other
c_1_12_319,Lymphoid-Other
c_1_12_320,Lymphoid-Other
c_1_12_321,Lymphoid-T
c_1_12_322,Lymphoid-Other
c_1_12_323,Lymphoid-Other
c_1_12_324,Lymphoid-Other
c_1_12_325,Lymphoid-Other
c_1_12_326,Lymphoid-Other
c_1_12_327,Lymphoid-Other
c_1_12_328,Lymphoid-Other
c_1_12_329,Lymphoid-Other
c_1_12_330,Lymphoid-Other
c_1_12_331,Lymphoid-Other
c_1_12_332,Lymphoid-Other
c_1_12_333,Lymphoid-Other
c_1_12_334,Lymphoid-Other
c_1_12_335,Endothelial
c_1_12_336,Lymphoid-Other
c_1_12_337,Lymphoid-Other
c_1_12_338,Lymphoid-Other
c_1_12_339,Lymphoid-Other
c_1_12_340,Lymphoid-T
c_1_12_341,Lymphoid-Other
c_1_12_342,Lymphoid-Other
c_1_12_343,Lymphoid-DC
c_1_12_344,Lymphoid-Other
c_1_12_345,Lymphoid-Other
c_1_12_346,Mesenchymal-Stromal
c_1_12_347,Lymphoid-Other
c_1_12_348,Lymphoid-Other
c_1_12_349,Lymphoid-Other
c_1_12_350,Lymphoid-T
c_1_12_351,Lymphoid-Other
c_1_12_352,Lymphoid-Other
c_1_12_353,Lymphoid-Other
c_1_12_354,Lymphoid-Other
c_1_12_355,Lymphoid-DC
c_1_12_356,Lymphoid-Other
c_1_12_357,Lymphoid-Other
c_1_12_358,Lymphoid-Other
c_1_12_359,Endothelial
c_1_12_360,Lymphoid-Other
c_1_12_361,Lymphoid-Other
c_1_12_362,Lymphoid-Other
c_1_12_363,Lymphoid-Other
c_1_12_364,Lymphoid-Other
c_1_12_365,Lymphoid-Other
c_1_12_366,Lymphoid-Other
c_1_12_367,Lymphoid-T
c_1_12_368,Lymphoid-T
c_1_12_369,Lymphoid-Other
c_1_12_370,Mesenchymal-Stromal
c_1_12_371,Lymphoid-Other
c_1_12_372,Lymphoid-Other
c_1_12_373,Mesenchymal-Stromal
c_1_12_374,Lymphoid-Other
c_1_12_375,Lymphoid-Other
c_1_12_376,Lymphoid-Other
c_1_12_377,Lymphoid-Other
c_1_12_378,Lymphoid-Other
c_1_12_379,Myeloid
c_1_12_380,Lymphoid-Other
c_1_12_381,Lymphoid-T
c_1_12_382,Lymphoid-Other
c_1_12_383,Lymphoid-Other
c_1_12_384,Lymphoid-Other
c_1_12_385,Lymphoid-Other
c_1_12_386,Lymphoid-Other
c_1_12_387,Lymphoid-Other
c_1_12_388,Lymphoid-Other
c_1_12_389,Lymphoid-Other
c_1_12_390,Lymphoid-T
c_1_12_391,Mesenchymal-Stromal
c_1_12_392,Lymphoid-Other
c_1_12_393,Mesenchymal-Stromal
c_1_12_394,Lymphoid-Other
c_1_12_395,Lymphoid-Other
c_1_12_396,Lymphoid-Other
c_1_12_397,Lymphoid-Other
c_1_12_398,Lymphoid-Other
