cell_id,ACVR1B,ADGRF1,AR,CCL22,CCR10,CNTFR,CSHL1,CXCL16,EZR,FFAR3,FGFR1,FGFR2,FLT3LG,GZMB,HBA1/2,ITGA3,ITGAX,MX1,NLRP1,PLCG1,PTK6,RAMP3,RXRA,SLCO2B1,SMAD3,STAT6,TAP2,TBX21,TFEB,WIF1
c_1_12_1,-0.31131361043179967,-0.23856029916431812,1.4889815245593307,-0.268979905090971,-0.32385553583809407,-0.28632449704724716,-0.3094044257124591,1.2262039265544218,-0.3928043688656278,1.3469580147299787,-0.21425559967522873,-0.27020356257727274,1.387215094322975,-0.248637118563693,-0.3790285685903875,-0.25322094068472556,-0.29046420679417245,-0.30647643589051193,-0.2731559511965984,-0.32421844321040194,-0.33622713981371044,1.493626494645059,-0.295194518525271,-0.2841239282858996,-0.23759793072294413,-0.27926037981670215,-0.3116927954357081,-0.2591386906034402,-0.2718341611788835,-0.2252808260840332
c_1_12_2,-0.31131361043179967,-0.23856029916431812,-0.26878948437132977,-0.268979905090971,-0.32385553583809407,-0.28632449704724716,-0.3094044257124591,-0.34420402586447946,-0.3928043688656278,-0.32233448258406167,-0.21425559967522873,-0.27020356257727274,4.16009749428432,-0.248637118563693,-0.3790285685903875,-0.25322094068472556,-0.29046420679417245,-0.30647643589051193,-0.2731559511965984,-0.32421844321040194,-0.33622713981371044,-0.2797566509631698,-0.295194518525271,-0.2841239282858996,-0.23759793072294413,-0.27926037981670215,-0.3116927954357081,-0.2591386906034402,-0.2718341611788835,-0.2252808260840332
c_1_12_3,-0.31131361043179967,-0.23856029916431812,-0.26878948437132977,-0.268979905090971,-0.32385553583809407,-0.28632449704724716,-0.3094044257124591,-0.34420402586447946,-0.3928043688656278,-0.32233448258406167,-0.21425559967522873,2.969956429156271,-0.31844810745847596,-0.248637118563693,-0.3790285685903875,-0.25322094068472556,2.894368253582646,-0.30647643589051193,-0.2731559511965984,3.750475089731929,-0.33622713981371044,-0.2797566509631698,-0.295194518525271,3.024372299423448,-0.23759793072294413,-0.27926037981670215,-0.3116927954357081,-0.2591386906034402,-0.2718341611788835,-0.2252808260840332
c_1_12_4,-0.31131361043179967,-0.23856029916431812,3.7900707841891643,-0.268979905090971,-0.32385553583809407,-0.28632449704724716,-0.3094044257124591,-0.34420402586447946,-0.3928043688656278,-0.32233448258406167,-0.21425559967522873,-0.27020356257727274,-0.31844810745847596,-0.248637118563693,-0.3790285685903875,-0.25322094068472556,-0.29046420679417245,-0.30647643589051193,-0.2731559511965984,-0.32421844321040194,3.2342646911245536,-0.2797566509631698,-0.295194518525271,-0.2841239282858996,-0.23759793072294413,4.025733456591113,-0.3116927954357081,-0.2591386906034402,-0.2718341611788835,-0.2252808260840332
c_1_12_5,-0.31131361043179967,-0.23856029916431812,-0.26878948437132977,-0.268979905090971,-0.32385553583809407,-0.28632449704724716,-0.3094044257124591,-0.34420402586447946,-0.3928043688656278,-0.32233448258406167,-0.21425559967522873,-0.27020356257727274,-0.31844810745847596,-0.248637118563693,-0.3790285685903875,-0.25322094068472556,-0.29046420679417245,-0.30647643589051193,-0.2731559511965984,-0.32421844321040194,-0.33622713981371044,-0.2797566509631698,-0.295194518525271,-0.2841239282858996,-0.23759793072294413,-0.27926037981670215,-0.3116927954357081,-0.2591386906034402,4.02725256918768,-0.2252808260840332
c_1_12_6,-0.31131361043179967,2.14645406320208,-0.26878948437132977,-0.268979905090971,-0.32385553583809407,2.945285652026403,-0.3094044257124591,1.5208387577332143,-0.3928043688656278,1.6601452425306136,-0.21425559967522873,-0.27020356257727274,-0.31844810745847596,-0.248637118563693,-0.3790285685903875,-0.25322094068472556,-0.29046420679417245,-0.30647643589051193,-0.2731559511965984,-0.32421844321040194,-0.33622713981371044,-0.2797566509631698,-0.295194518525271,-0.2841239282858996,-0.23759793072294413,-0.27926037981670215,-0.3116927954357081,-0.2591386906034402,-0.2718341611788835,-0.2252808260840332
c_1_12_7,-0.31131361043179967,-0.23856029916431812,-0.26878948437132977,-0.268979905090971,-0.32385553583809407,-0.28632449704724716,1.858391184316194,-0.34420402586447946,1.2286111505927584,-0.32233448258406167,-0.21425559967522873,-0.27020356257727274,-0.31844810745847596,-0.248637118563693,-0.3790285685903875,-0.25322094068472556,-0.29046420679417245,-0.30647643589051193,-0.2731559511965984,-0.32421844321040194,-0.33622713981371044,-0.2797566509631698,-0.295194518525271,-0.2841239282858996,-0.23759793072294413,-0.27926037981670215,-0.3116927954357081,-0.2591386906034402,-0.2718341611788835,-0.2252808260840332
c_1_12_8,-0.31131361043179967,-0.23856029916431812,-0.26878948437132977,-0.268979905090971,-0.32385553583809407,-0.28632449704724716,-0.3094044257124591,-0.34420402586447946,-0.3928043688656278,-0.32233448258406167,-0.21425559967522873,-0.27020356257727274,-0.31844810745847596,-0.248637118563693,-0.3790285685903875,-0.25322094068472556,1.077352088975411,-0.30647643589051193,-0.2731559511965984,-0.32421844321040194,-0.33622713981371044,-0.2797566509631698,-0.295194518525271,-0.2841239282858996,-0.23759793072294413,-0.27926037981670215,1.026515819234034,-0.2591386906034402,-0.2718341611788835,-0.2252808260840332
c_1_12_9,-0.31131361043179967,-0.23856029916431812,1.562248243433481,-0.268979905090971,2.324083028358533,-0.28632449704724716,-0.3094044257124591,-0.34420402586447946,-0.3928043688656278,-0.32233448258406167,-0.21425559967522873,-0.27020356257727274,-0.31844810745847596,-0.248637118563693,-0.3790285685903875,1.9516659223405637,-0.29046420679417245,-0.30647643589051193,1.6715277571054656,-0.32421844321040194,-0.33622713981371044,-0.2797566509631698,1.52789641167144,-0.2841239282858996,2.00815280213279,-0.27926037981670215,-0.3116927954357081,-0.2591386906034402,1.7200660618339016,-0.2252808260840332
c_1_12_10,-0.31131361043179967,-0.23856029916431812,-0.26878948437132977,-0.268979905090971,-0.32385553583809407,-0.28632449704724716,-0.3094044257124591,-0.34420402586447946,-0.3928043688656278,1.786766875591932,-0.21425559967522873,-0.27020356257727274,1.8366065526783557,-0.248637118563693,2.244566221533162,-0.25322094068472556,-0.29046420679417245,-0.30647643589051193,-0.2731559511965984,3.372963718639034,-0.33622713981371044,-0.2797566509631698,1.9160580219578376,-0.2841239282858996,-0.23759793072294413,-0.27926037981670215,1.8917451795990385,2.450988777464312,2.1441695364812423,-0.2252808260840332
