cell_id,ACVR1B,ATF3,CCL21,CD59,CD8A,CIITA,COL6A3,CSF2RB,CST7,DDC,HBA1/2,HSP90AA1,IFNA1/13,IFNL2/3,IL1R1,IL24,IRF3,ITGA5,KRT17,LCN2,MARCKSL1,NELL2,NFKBIA,NUPR1,RAMP2,RELT,RORA,TNFRSF4,UPK3A,VHL
c_1_20_1,-0.32110695265625977,-0.2612566595853841,-0.294010008460855,-0.3096629713068041,-0.27773036679953095,-0.2856431962226859,-0.32672585266892207,-0.25839410861373174,-0.2834629368284173,-0.4255983294349972,1.5942990742639895,-0.41925861082078963,2.239119632696879,-0.3258442776521772,-0.1910545237126144,-0.2950776809830077,-0.3600628664201626,2.4021571072443617,-0.394329310444269,-0.23742288869627054,-0.4416991749433919,-0.22113992063408247,1.5689832429954071,-0.3405966452200699,-0.24708002598100814,2.3176394595999392,-0.24727645672476195,-0.23630529294564898,-0.25195399740618407,-0.39645716569644
c_1_20_2,-0.32110695265625977,-0.2612566595853841,-0.294010008460855,-0.3096629713068041,-0.27773036679953095,-0.2856431962226859,-0.32672585266892207,2.578359191275008,-0.2834629368284173,-0.4255983294349972,-0.3594405325101027,-0.41925861082078963,-0.2942533491016573,-0.3258442776521772,-0.1910545237126144,3.1849959620853636,-0.3600628664201626,-0.2711742513691913,-0.394329310444269,-0.23742288869627054,-0.4416991749433919,-0.22113992063408247,-0.3724087553806886,-0.3405966452200699,-0.24708002598100814,-0.29169043318165216,-0.24727645672476195,-0.23630529294564898,-0.25195399740618407,-0.39645716569644
c_1_20_3,-0.32110695265625977,1.787085897112761,2.7897788528331016,-0.3096629713068041,-0.27773036679953095,-0.2856431962226859,2.490625014057632,-0.25839410861373174,-0.2834629368284173,-0.4255983294349972,-0.3594405325101027,-0.41925861082078963,-0.2942533491016573,-0.3258442776521772,-0.1910545237126144,-0.2950776809830077,-0.3600628664201626,1.6610699575896677,1.0252112601878205,1.9748570260085958,0.8046082168313521,-0.22113992063408247,2.8604061529755342,-0.3405966452200699,-0.24708002598100814,1.594294466649579,1.7259477868163504,-0.23630529294564898,1.7832396153366437,-0.39645716569644
c_1_20_4,-0.32110695265625977,-0.2612566595853841,-0.294010008460855,-0.3096629713068041,-0.27773036679953095,-0.2856431962226859,-0.32672585266892207,-0.25839410861373174,-0.2834629368284173,-0.4255983294349972,-0.3594405325101027,-0.41925861082078963,-0.2942533491016573,-0.3258442776521772,-0.1910545237126144,-0.2950776809830077,-0.3600628664201626,-0.2711742513691913,-0.394329310444269,-0.23742288869627054,-0.4416991749433919,-0.22113992063408247,-0.3724087553806886,-0.3405966452200699,-0.24708002598100814,2.5204200201346936,-0.24727645672476195,-0.23630529294564898,-0.25195399740618407,-0.39645716569644
c_1_20_5,-0.32110695265625977,2.285630165063898,-0.294010008460855,-0.3096629713068041,-0.27773036679953095,2.063070429248591,-0.32672585266892207,-0.25839410861373174,-0.2834629368284173,-0.4255983294349972,-0.3594405325101027,2.021555185458432,-0.2942533491016573,-0.3258442776521772,2.914429324997001,1.9029208418131234,-0.3600628664201626,-0.2711742513691913,1.370711973580949,-0.23742288869627054,-0.4416991749433919,-0.22113992063408247,-0.3724087553806886,-0.3405966452200699,2.4450836607587583,-0.29169043318165216,-0.24727645672476195,-0.23630529294564898,-0.25195399740618407,-0.39645716569644
c_1_20_6,-0.32110695265625977,-0.2612566595853841,-0.294010008460855,-0.3096629713068041,2.1471905373533495,-0.2856431962226859,-0.32672585266892207,-0.25839410861373174,-0.2834629368284173,-0.4255983294349972,-0.3594405325101027,-0.41925861082078963,-0.2942533491016573,-0.3258442776521772,-0.1910545237126144,1.881879149804658,-0.3600628664201626,-0.2711742513691913,-0.394329310444269,-0.23742288869627054,1.0931109316254068,-0.22113992063408247,-0.3724087553806886,-0.3405966452200699,-0.24708002598100814,2.030873570049654,-0.24727645672476195,-0.23630529294564898,-0.25195399740618407,-0.39645716569644
c_1_20_7,-0.32110695265625977,-0.2612566595853841,-0.294010008460855,-0.3096629713068041,-0.27773036679953095,-0.2856431962226859,-0.32672585266892207,-0.25839410861373174,7.99440151280294,-0.4255983294349972,-0.3594405325101027,-0.41925861082078963,-0.2942533491016573,-0.3258442776521772,-0.1910545237126144,6.006159215969629,-0.3600628664201626,-0.2711742513691913,-0.394329310444269,-0.23742288869627054,-0.4416991749433919,-0.22113992063408247,-0.3724087553806886,-0.3405966452200699,-0.24708002598100814,-0.29169043318165216,-0.24727645672476195,-0.23630529294564898,-0.25195399740618407,-0.39645716569644
c_1_20_8,-0.32110695265625977,-0.2612566595853841,0.8758898901963491,-0.3096629713068041,-0.27773036679953095,-0.2856431962226859,-0.32672585266892207,-0.25839410861373174,-0.2834629368284173,-0.4255983294349972,-0.3594405325101027,-0.41925861082078963,-0.2942533491016573,2.2618179968215393,-0.1910545237126144,-0.2950776809830077,-0.3600628664201626,-0.2711742513691913,-0.394329310444269,-0.23742288869627054,-0.4416991749433919,-0.22113992063408247,0.6191936700347849,-0.3405966452200699,-0.24708002598100814,-0.29169043318165216,1.1471370027760162,-0.23630529294564898,1.1862512018193063,-0.39645716569644
c_1_20_9,-0.32110695265625977,0.9250704625894829,1.3491358907877293,-0.3096629713068041,-0.27773036679953095,-0.2856431962226859,-0.32672585266892207,-0.25839410861373174,-0.2834629368284173,0.31199779318553733,-0.3594405325101027,1.3359837196382782,-0.2942533491016573,0.6812958260514786,-0.1910545237126144,0.7287390182346397,-0.3600628664201626,0.8479128389504468,1.0146037393074887,-0.23742288869627054,0.2801177187175645,-0.22113992063408247,-0.3724087553806886,-0.3405966452200699,1.0069163306703977,-0.29169043318165216,-0.24727645672476195,1.1414747309676114,-0.25195399740618407,-0.39645716569644
c_1_20_10,1.6716974343031563,-0.2612566595853841,-0.294010008460855,-0.3096629713068041,1.1836472026927722,-0.2856431962226859,-0.32672585266892207,-0.25839410861373174,1.1563198321992074,1.1320081876384032,0.6885810866243296,-0.41925861082078963,-0.2942533491016573,-0.3258442776521772,-0.1910545237126144,-0.2950776809830077,-0.3600628664201626,1.162849530112649,-0.394329310444269,-0.23742288869627054,2.3421882032740484,-0.22113992063408247,-0.3724087553806886,-0.3405966452200699,1.3598195735989254,-0.29169043318165216,-0.24727645672476195,1.5292135277369368,-0.25195399740618407,0.644167014222449
c_1_20_11,-0.32110695265625977,1.03734540400948,-0.294010008460855,-0.3096629713068041,0.9706346748397334,1.7437155074207031,-0.32672585266892207,-0.25839410861373174,-0.2834629368284173,0.38180447627562575,0.5358199255138464,-0.41925861082078963,1.672926948492957,0.7766123656731617,-0.1910545237126144,-0.2950776809830077,0.615595233445706,-0.2711742513691913,0.5056267581104882,2.1392854303648914,0.34843104304178285,-0.22113992063408247,-0.3724087553806886,-0.3405966452200699,-0.24708002598100814,-0.29169043318165216,-0.24727645672476195,-0.23630529294564898,1.0383119381818524,1.1099257570069136
