cell_id,4-1BB,CCR7,CD11b,CD123,CD138,CD14,CD163,CD40,CD68,CTLA4,FABP4,FOXP3,GITR,GZMB,ICOS,IDO1,IL-18,IL-1b,IgD,Ki-67,LAG3,LAMP1,PD-L1,PD-L2,STING,VISTA,Vimentin,iNOS,p53,pan-RAS
c_1_52_102,-0.4134885,-0.6518121,-0.5463537,0.022115897,0.7805608,1.4265423,0.009328701,-1.5302347,-0.30767515,-0.62084967,-0.25821093,0.24445593,0.081012346,-0.2933012,-1.2434214,-1.2383395,-0.6755501,0.15687855,0.16122064,-0.22036733,-0.00049348414,0.115221724,-0.36862886,-0.34390697,-1.2245153,-0.4488995,1.3887488,0.3490494,-1.0652634,0.15798329
c_1_52_103,-2.0995328,-1.9803113,-2.341336,-2.266504,-0.7616489,-3.2686386,-1.1837088,-2.346857,-1.6933593,-2.6738734,-0.8443014,-2.8089783,-2.8053384,-2.8724165,-1.9872813,-2.2403715,-3.203373,-1.4590098,-1.5372915,-1.9944268,-2.0116596,-2.9562368,-2.268122,-2.1149232,-2.358734,-2.672795,-0.07641736,-1.4990307,-2.8147416,-1.7260777
c_1_52_104,-2.1831686,-1.4226669,-2.3536808,-1.8480257,-0.24997348,-2.2998786,-0.44366038,-2.4068005,-1.311849,-1.7153288,-1.1401994,-2.1711857,-2.0369053,-2.412737,-0.96566397,-2.0988078,-2.694394,-1.106592,-0.7841478,-1.9182233,-1.1971815,-2.7243195,-1.5729494,-1.4754076,-2.2604122,-2.303423,-0.2636342,-0.42463356,-2.053059,-2.484104
c_1_52_105,-1.3467693,-0.8536628,-1.1140803,-1.9570975,0.08564746,-1.9029944,-0.4991221,-2.159684,-1.1791075,-1.6242568,-0.47866198,-1.6833655,-0.9914262,-1.5005536,-1.2876809,-2.1234336,-2.4876466,0.47167575,-0.3943309,-0.90129036,-0.7128236,-1.729545,-1.2957337,-1.2254697,-2.3686857,-1.8237413,-2.047459,-1.3237228,-1.2660937,-2.075085
c_1_52_106,-2.2704487,0.14102553,-1.3181429,-2.5767865,-2.6418784,-0.22116975,0.22084512,-2.31497,-0.79451257,-3.0514615,-2.2393339,-2.4880712,-3.4777994,-2.6335366,-1.7192574,-2.6457357,-2.4983082,-1.788129,-1.2894709,-2.6896706,-2.1478384,0.059193946,-2.3374932,-2.264618,-1.4882388,-2.6656168,2.164828,-1.1168622,-3.1568375,-0.49104327
c_1_52_107,0.72446376,0.5073686,0.85739535,1.2502255,1.1152326,-0.5729922,2.4107711,-0.52388763,-0.14800476,0.75289744,2.5665693,1.615047,1.2876916,0.26514852,0.4067288,-0.63874114,0.6298441,1.8211865,1.3578601,1.0419179,1.5537274,0.36083338,1.1400616,1.594355,0.44909364,0.4426968,2.2141101,1.1574451,0.26417813,0.91011775
c_1_52_108,-0.19902398,0.16924271,-0.3956377,-0.29435036,1.6915838,-1.4823238,1.0580164,-1.2517693,-0.8597593,-0.090358466,-0.0655144,-0.45227984,0.4262997,-0.9914253,-0.57357025,-1.1812315,-0.79333884,0.41981763,0.38104028,0.14593768,0.56489563,-1.1607527,0.29092264,-0.1304141,-0.90534586,-0.7652003,-0.081553794,0.15059705,-0.5196256,-0.32001388
c_1_52_109,-0.2063591,-0.42305043,-0.0904963,0.640784,0.21663752,-0.7745915,1.2580804,-1.2070148,-0.63524693,-0.21337219,1.0978563,0.8855449,-0.39758542,-1.0427573,-0.4663051,-1.3277556,-0.5446646,0.81720287,0.67199516,0.010262518,0.35265502,-0.2518661,0.281488,0.7326626,-0.09274764,-0.6932292,1.2417712,0.17431264,-0.24064998,0.054072276
c_1_52_110,-1.1741031,-0.62319547,-1.3910316,-1.4245408,0.7272419,-2.2257936,0.057664704,-1.7608213,-3.0746455,-0.98938763,-0.4969009,-2.1511617,-2.1493669,-2.2731059,-1.7972517,-1.902059,-1.9694548,-0.5366769,-0.70208293,-1.2243979,-1.1989875,-1.4900588,-1.8876274,-1.5490543,-0.68133736,-1.2972994,1.3997369,-0.7397985,-2.5306304,-0.43517375
c_1_52_111,-2.0559034,-1.5067009,-2.2026381,-2.2741857,1.1895777,-2.891881,-1.1952943,-2.6084754,-2.1011765,-3.1788378,-1.5680032,-2.971578,-2.1366646,-3.4395974,-1.6673503,-2.3477676,-2.804404,-1.7700874,-1.7474257,-1.9463096,-2.0041687,-2.6822011,-1.9565376,-2.7439127,-2.5916257,-2.6442232,-2.0115044,0.7918029,-2.8879182,-2.7188916
