cell_id,ACVR1B,ADGRF3,APOE,BCL2L1,BEST1,C1QB,CD276,CLEC4A,CXCR1,GPR183,IFI44L,IGHA1,IL1RAP,INHA,MAML2,MAP1LC3B/2,MS4A6A,MSR1,NOTCH3,PDCD1,PTEN,RELT,TNFRSF12A,TNNC1,TNXA/B,TP53,TTN,VEGFA,WNT9A,XCL1/2
c_1_6_1,-0.17810309923854353,-0.13362570761931405,-0.1875211514833784,-0.2163546604417495,-0.1605802615439513,-0.20120626524567817,-0.21035834039005402,-0.18912196139235227,-0.15484071727241963,-0.13194501332600558,-0.1258519233579623,-0.18990126522809997,-0.14214185723355274,-0.20517261809046985,-0.17218006598407587,-0.29961951334536774,-0.1840568665453465,-0.13213042040921116,-0.16296227430535476,-0.13734595942210073,-0.188414611031122,-0.1965286835171853,-0.22602456487526404,-0.17385613342136505,-0.2939168187587641,-0.14899927498272386,-0.14798839701756192,-0.3000941002923058,-0.2924994948457216,-0.2315836607496792
c_1_6_3,-0.17810309923854353,-0.13362570761931405,-0.1875211514833784,-0.2163546604417495,-0.1605802615439513,-0.20120626524567817,-0.21035834039005402,-0.18912196139235227,-0.15484071727241963,-0.13194501332600558,-0.1258519233579623,-0.18990126522809997,9.364795314248964,-0.20517261809046985,-0.17218006598407587,-0.29961951334536774,-0.1840568665453465,-0.13213042040921116,-0.16296227430535476,-0.13734595942210073,-0.188414611031122,-0.1965286835171853,-0.22602456487526404,-0.17385613342136505,-0.2939168187587641,-0.14899927498272386,-0.14798839701756192,-0.3000941002923058,-0.2924994948457216,-0.2315836607496792
c_1_6_4,-0.17810309923854353,-0.13362570761931405,-0.1875211514833784,-0.2163546604417495,-0.1605802615439513,-0.20120626524567817,-0.21035834039005402,-0.18912196139235227,-0.15484071727241963,-0.13194501332600558,-0.1258519233579623,-0.18990126522809997,-0.14214185723355274,-0.20517261809046985,-0.17218006598407587,-0.29961951334536774,-0.1840568665453465,-0.13213042040921116,-0.16296227430535476,-0.13734595942210073,-0.188414611031122,-0.1965286835171853,-0.22602456487526404,-0.17385613342136505,7.511537754316256,-0.14899927498272386,-0.14798839701756192,-0.3000941002923058,-0.2924994948457216,-0.2315836607496792
c_1_6_5,-0.17810309923854353,-0.13362570761931405,-0.1875211514833784,3.95401736455244,-0.1605802615439513,-0.20120626524567817,-0.21035834039005402,-0.18912196139235227,-0.15484071727241963,-0.13194501332600558,6.6139122730591495,-0.18990126522809997,-0.14214185723355274,-0.20517261809046985,-0.17218006598407587,-0.29961951334536774,-0.1840568665453465,-0.13213042040921116,-0.16296227430535476,-0.13734595942210073,-0.188414611031122,-0.1965286835171853,-0.22602456487526404,-0.17385613342136505,-0.2939168187587641,6.0508636776167775,-0.14798839701756192,-0.3000941002923058,-0.2924994948457216,-0.2315836607496792
c_1_6_6,-0.17810309923854353,-0.13362570761931405,-0.1875211514833784,-0.2163546604417495,-0.1605802615439513,-0.20120626524567817,-0.21035834039005402,-0.18912196139235227,-0.15484071727241963,-0.13194501332600558,-0.1258519233579623,3.909140480392275,-0.14214185723355274,-0.20517261809046985,-0.17218006598407587,-0.29961951334536774,-0.1840568665453465,-0.13213042040921116,-0.16296227430535476,-0.13734595942210073,-0.188414611031122,-0.1965286835171853,-0.22602456487526404,-0.17385613342136505,-0.2939168187587641,-0.14899927498272386,-0.14798839701756192,-0.3000941002923058,-0.2924994948457216,-0.2315836607496792
c_1_6_8,-0.17810309923854353,-0.13362570761931405,-0.1875211514833784,5.352090087521566,-0.1605802615439513,-0.20120626524567817,-0.21035834039005402,-0.18912196139235227,-0.15484071727241963,-0.13194501332600558,-0.1258519233579623,-0.18990126522809997,-0.14214185723355274,-0.20517261809046985,-0.17218006598407587,-0.29961951334536774,-0.1840568665453465,-0.13213042040921116,-0.16296227430535476,-0.13734595942210073,-0.188414611031122,-0.1965286835171853,-0.22602456487526404,-0.17385613342136505,-0.2939168187587641,-0.14899927498272386,-0.14798839701756192,-0.3000941002923058,-0.2924994948457216,-0.2315836607496792
c_1_6_9,-0.17810309923854353,-0.13362570761931405,-0.1875211514833784,-0.2163546604417495,-0.1605802615439513,-0.20120626524567817,-0.21035834039005402,-0.18912196139235227,-0.15484071727241963,-0.13194501332600558,-0.1258519233579623,-0.18990126522809997,-0.14214185723355274,-0.20517261809046985,-0.17218006598407587,-0.29961951334536774,-0.1840568665453465,-0.13213042040921116,-0.16296227430535476,-0.13734595942210073,-0.188414611031122,-0.1965286835171853,-0.22602456487526404,-0.17385613342136505,-0.2939168187587641,8.224528714989113,-0.14798839701756192,-0.3000941002923058,-0.2924994948457216,-0.2315836607496792
c_1_6_10,-0.17810309923854353,-0.13362570761931405,-0.1875211514833784,-0.2163546604417495,-0.1605802615439513,-0.20120626524567817,-0.21035834039005402,-0.18912196139235227,-0.15484071727241963,-0.13194501332600558,-0.1258519233579623,-0.18990126522809997,-0.14214185723355274,-0.20517261809046985,-0.17218006598407587,-0.29961951334536774,-0.1840568665453465,-0.13213042040921116,-0.16296227430535476,-0.13734595942210073,-0.188414611031122,-0.1965286835171853,-0.22602456487526404,-0.17385613342136505,-0.2939168187587641,-0.14899927498272386,-0.14798839701756192,-0.3000941002923058,3.3490112299592396,-0.2315836607496792
c_1_6_12,-0.17810309923854353,-0.13362570761931405,-0.1875211514833784,-0.2163546604417495,-0.1605802615439513,-0.20120626524567817,-0.21035834039005402,-0.18912196139235227,-0.15484071727241963,-0.13194501332600558,-0.1258519233579623,-0.18990126522809997,-0.14214185723355274,-0.20517261809046985,-0.17218006598407587,-0.29961951334536774,-0.1840568665453465,-0.13213042040921116,-0.16296227430535476,-0.13734595942210073,-0.188414611031122,-0.1965286835171853,-0.22602456487526404,-0.17385613342136505,-0.2939168187587641,-0.14899927498272386,-0.14798839701756192,-0.3000941002923058,-0.2924994948457216,-0.2315836607496792
c_1_6_13,-0.17810309923854353,-0.13362570761931405,-0.1875211514833784,-0.2163546604417495,-0.1605802615439513,-0.20120626524567817,5.22125612579981,-0.18912196139235227,-0.15484071727241963,-0.13194501332600558,-0.1258519233579623,-0.18990126522809997,-0.14214185723355274,-0.20517261809046985,-0.17218006598407587,-0.29961951334536774,-0.1840568665453465,-0.13213042040921116,-0.16296227430535476,-0.13734595942210073,-0.188414611031122,-0.1965286835171853,-0.22602456487526404,-0.17385613342136505,-0.2939168187587641,-0.14899927498272386,-0.14798839701756192,-0.3000941002923058,-0.2924994948457216,-0.2315836607496792
