cell_id,ACKR3,ACVRL1,BECN1,BMP1,CD5L,COL1A2,CSF2,DDIT3,DMBT1,EPOR,ETV4,FCER1G,FGF7,FGG,GC,IGF1,IL11,IL12RB1,IL6,LDLR,LIF,PDGFC,RARRES1,RNF43,RORA,SEC23A,SLCO2B1,SRC,TNFRSF1B,TNFSF10
c_1_1_1,-0.21651898268733033,-0.20784115974792572,-0.2169761992303087,-0.18666886909536634,-0.19413889111037863,-0.19359781210982935,6.100608490644715,-0.1636599152510883,-0.19712579583284065,-0.22097442379245402,-0.2317832237560502,-0.11880036277296463,-0.17670253663975968,-0.13219778819401826,-0.15730738549693357,-0.2020165545149846,-0.21917782369307665,-0.24373190176416581,-0.18333596424985824,-0.24631598739772967,-0.22978832304424976,-0.195588124499219,-0.18553356652692013,-0.20502851069608655,-0.208120807868474,-0.21514031192162006,-0.29338637761056735,-0.2018252800578049,-0.25323173304721863,-0.2651685691877584
c_1_1_3,-0.21651898268733033,-0.20784115974792572,-0.2169761992303087,-0.18666886909536634,6.481138716902602,-0.19359781210982935,-0.20347683816584425,-0.1636599152510883,-0.19712579583284065,-0.22097442379245402,-0.2317832237560502,-0.11880036277296463,-0.17670253663975968,-0.13219778819401826,-0.15730738549693357,-0.2020165545149846,-0.21917782369307665,-0.24373190176416581,-0.18333596424985824,-0.24631598739772967,-0.22978832304424976,-0.195588124499219,-0.18553356652692013,-0.20502851069608655,-0.208120807868474,-0.21514031192162006,-0.29338637761056735,-0.2018252800578049,-0.25323173304721863,3.3997183678168597
c_1_1_6,-0.21651898268733033,-0.20784115974792572,-0.2169761992303087,-0.18666886909536634,-0.19413889111037863,-0.19359781210982935,-0.20347683816584425,-0.1636599152510883,-0.19712579583284065,-0.22097442379245402,-0.2317832237560502,-0.11880036277296463,-0.17670253663975968,-0.13219778819401826,-0.15730738549693357,-0.2020165545149846,-0.21917782369307665,-0.24373190176416581,-0.18333596424985824,-0.24631598739772967,-0.22978832304424976,-0.195588124499219,-0.18553356652692013,-0.20502851069608655,-0.208120807868474,-0.21514031192162006,-0.29338637761056735,-0.2018252800578049,-0.25323173304721863,-0.2651685691877584
c_1_1_7,-0.21651898268733033,-0.20784115974792572,-0.2169761992303087,-0.18666886909536634,-0.19413889111037863,-0.19359781210982935,-0.20347683816584425,-0.1636599152510883,-0.19712579583284065,-0.22097442379245402,-0.2317832237560502,-0.11880036277296463,-0.17670253663975968,-0.13219778819401826,-0.15730738549693357,-0.2020165545149846,-0.21917782369307665,3.4448429049504976,-0.18333596424985824,-0.24631598739772967,-0.22978832304424976,-0.195588124499219,-0.18553356652692013,-0.20502851069608655,-0.208120807868474,-0.21514031192162006,-0.29338637761056735,-0.2018252800578049,-0.25323173304721863,-0.2651685691877584
c_1_1_9,-0.21651898268733033,-0.20784115974792572,-0.2169761992303087,-0.18666886909536634,-0.19413889111037863,-0.19359781210982935,-0.20347683816584425,-0.1636599152510883,-0.19712579583284065,-0.22097442379245402,4.6478999242988195,-0.11880036277296463,-0.17670253663975968,-0.13219778819401826,-0.15730738549693357,-0.2020165545149846,-0.21917782369307665,-0.24373190176416581,-0.18333596424985824,-0.24631598739772967,-0.22978832304424976,-0.195588124499219,-0.18553356652692013,-0.20502851069608655,-0.208120807868474,-0.21514031192162006,-0.29338637761056735,-0.2018252800578049,-0.25323173304721863,-0.2651685691877584
c_1_1_10,-0.21651898268733033,-0.20784115974792572,-0.2169761992303087,-0.18666886909536634,-0.19413889111037863,-0.19359781210982935,-0.20347683816584425,-0.1636599152510883,-0.19712579583284065,-0.22097442379245402,-0.2317832237560502,-0.11880036277296463,6.644671930802643,-0.13219778819401826,-0.15730738549693357,-0.2020165545149846,-0.21917782369307665,-0.24373190176416581,-0.18333596424985824,-0.24631598739772967,-0.22978832304424976,-0.195588124499219,-0.18553356652692013,-0.20502851069608655,-0.208120807868474,-0.21514031192162006,-0.29338637761056735,-0.2018252800578049,-0.25323173304721863,-0.2651685691877584
c_1_1_11,-0.21651898268733033,-0.20784115974792572,-0.2169761992303087,-0.18666886909536634,-0.19413889111037863,-0.19359781210982935,-0.20347683816584425,-0.1636599152510883,-0.19712579583284065,-0.22097442379245402,-0.2317832237560502,-0.11880036277296463,-0.17670253663975968,-0.13219778819401826,-0.15730738549693357,-0.2020165545149846,-0.21917782369307665,-0.24373190176416581,-0.18333596424985824,-0.24631598739772967,-0.22978832304424976,-0.195588124499219,-0.18553356652692013,-0.20502851069608655,-0.208120807868474,-0.21514031192162006,-0.29338637761056735,-0.2018252800578049,3.7761633273584048,-0.2651685691877584
c_1_1_12,-0.21651898268733033,-0.20784115974792572,-0.2169761992303087,-0.18666886909536634,-0.19413889111037863,-0.19359781210982935,-0.20347683816584425,-0.1636599152510883,-0.19712579583284065,-0.22097442379245402,3.939507317629478,-0.11880036277296463,-0.17670253663975968,-0.13219778819401826,-0.15730738549693357,-0.2020165545149846,-0.21917782369307665,3.8182182846501513,-0.18333596424985824,-0.24631598739772967,-0.22978832304424976,4.475800531293173,-0.18553356652692013,-0.20502851069608655,4.254353347942212,-0.21514031192162006,-0.29338637761056735,-0.2018252800578049,-0.25323173304721863,-0.2651685691877584
c_1_1_13,-0.21651898268733033,-0.20784115974792572,-0.2169761992303087,-0.18666886909536634,-0.19413889111037863,-0.19359781210982935,-0.20347683816584425,-0.1636599152510883,-0.19712579583284065,-0.22097442379245402,-0.2317832237560502,-0.11880036277296463,-0.17670253663975968,-0.13219778819401826,-0.15730738549693357,-0.2020165545149846,-0.21917782369307665,-0.24373190176416581,-0.18333596424985824,-0.24631598739772967,-0.22978832304424976,-0.195588124499219,-0.18553356652692013,-0.20502851069608655,-0.208120807868474,-0.21514031192162006,-0.29338637761056735,-0.2018252800578049,-0.25323173304721863,-0.2651685691877584
c_1_1_14,-0.21651898268733033,-0.20784115974792572,-0.2169761992303087,-0.18666886909536634,-0.19413889111037863,-0.19359781210982935,-0.20347683816584425,-0.1636599152510883,-0.19712579583284065,-0.22097442379245402,-0.2317832237560502,-0.11880036277296463,-0.17670253663975968,-0.13219778819401826,-0.15730738549693357,3.3186723294281206,-0.21917782369307665,-0.24373190176416581,-0.18333596424985824,-0.24631598739772967,-0.22978832304424976,-0.195588124499219,-0.18553356652692013,-0.20502851069608655,-0.208120807868474,-0.21514031192162006,-0.29338637761056735,-0.2018252800578049,-0.25323173304721863,2.429645171747472
