cell_id,cell_type
c_1_23_1,Lymphoid-Other
c_1_23_2,Lymphoid-Plasma
c_1_23_3,Lymphoid-Plasma
c_1_23_4,Epithelial
c_1_23_5,Epithelial
c_1_23_6,Lymphoid-Plasma
c_1_23_7,Lymphoid-DC
c_1_23_8,Epithelial
c_1_23_9,Epithelial
c_1_23_10,Epithelial
c_1_23_12,Epithelial
c_1_23_13,Lymphoid-Other
c_1_23_14,Lymphoid-Other
c_1_23_15,Lymphoid-Other
c_1_23_16,Epithelial
c_1_23_17,Lymphoid-Plasma
c_1_23_18,Epithelial
c_1_23_19,Lymphoid-Other
c_1_23_20,Lymphoid-Other
c_1_23_21,Epithelial
c_1_23_22,Epithelial
c_1_23_23,Lymphoid-Other
c_1_23_24,Lymphoid-Other
c_1_23_25,Lymphoid-Other
c_1_23_26,Lymphoid-Other
c_1_23_27,Epithelial
c_1_23_28,Lymphoid-Other
c_1_23_29,Lymphoid-Plasma
c_1_23_30,Epithelial
c_1_23_31,Lymphoid-Other
c_1_23_32,Lymphoid-Other
c_1_23_33,Lymphoid-Other
c_1_23_34,Lymphoid-Other
c_1_23_35,Epithelial
c_1_23_36,Epithelial
c_1_23_37,Lymphoid-Other
c_1_23_38,Lymphoid-Other
c_1_23_39,Epithelial
c_1_23_40,Lymphoid-Plasma
c_1_23_41,Epithelial
c_1_23_42,Lymphoid-Plasma
c_1_23_43,Epithelial
c_1_23_44,Lymphoid-Other
c_1_23_45,Epithelial
c_1_23_46,Epithelial
c_1_23_47,Epithelial
c_1_23_48,Lymphoid-T
c_1_23_49,Epithelial
c_1_23_50,Epithelial
c_1_23_51,Stem
c_1_23_52,Epithelial
c_1_23_53,Epithelial
c_1_23_54,Lymphoid-Other
c_1_23_55,Epithelial
c_1_23_56,Lymphoid-Other
c_1_23_57,Lymphoid-Other
c_1_23_58,Lymphoid-Other
c_1_23_59,Epithelial
c_1_23_61,Epithelial
c_1_23_62,Epithelial
c_1_23_63,Epithelial
c_1_23_64,Lymphoid-Other
c_1_23_65,Epithelial
c_1_23_66,Epithelial
c_1_23_67,Epithelial
c_1_23_68,Epithelial
c_1_23_69,Lymphoid-Other
c_1_23_70,Lymphoid-Other
c_1_23_71,Epithelial
c_1_23_72,Epithelial
c_1_23_73,Epithelial
c_1_23_74,Lymphoid-Other
c_1_23_75,Lymphoid-Other
c_1_23_76,Lymphoid-Other
c_1_23_77,Epithelial
c_1_23_78,Epithelial
c_1_23_79,Epithelial
c_1_23_80,Epithelial
c_1_23_81,Lymphoid-Other
c_1_23_82,Lymphoid-T
c_1_23_83,Lymphoid-Other
c_1_23_84,Epithelial
c_1_23_85,Epithelial
c_1_23_86,Epithelial
c_1_23_87,Lymphoid-Other
c_1_23_88,Epithelial
c_1_23_89,Lymphoid-Other
c_1_23_90,Epithelial
c_1_23_91,Lymphoid-Other
c_1_23_92,Epithelial
c_1_23_93,Epithelial
c_1_23_94,Lymphoid-Other
c_1_23_95,Epithelial
c_1_23_96,Epithelial
c_1_23_97,Lymphoid-Other
c_1_23_98,Epithelial
c_1_23_99,Epithelial
c_1_23_100,Epithelial
c_1_23_101,Lymphoid-Other
c_1_23_102,Lymphoid-DC
c_1_23_103,Epithelial
c_1_23_104,Lymphoid-T
c_1_23_105,Epithelial
c_1_23_106,Epithelial
c_1_23_107,Epithelial
c_1_23_108,Lymphoid-Other
c_1_23_109,Epithelial
c_1_23_110,Epithelial
c_1_23_111,Epithelial
c_1_23_113,Lymphoid-Other
c_1_23_114,Lymphoid-Other
c_1_23_115,Lymphoid-Other
c_1_23_116,Epithelial
c_1_23_117,Epithelial
c_1_23_118,Epithelial
c_1_23_119,Epithelial
c_1_23_120,Epithelial
c_1_23_121,Epithelial
c_1_23_122,Epithelial
c_1_23_123,Epithelial
c_1_23_124,Epithelial
c_1_23_125,Epithelial
c_1_23_126,Epithelial
c_1_23_127,Epithelial
c_1_23_128,Lymphoid-Other
c_1_23_129,Lymphoid-Other
c_1_23_130,Lymphoid-Other
c_1_23_131,Epithelial
c_1_23_132,Epithelial
c_1_23_133,Lymphoid-DC
c_1_23_134,Lymphoid-Other
c_1_23_135,Epithelial
c_1_23_136,Epithelial
c_1_23_137,Epithelial
c_1_23_138,Lymphoid-Other
c_1_23_139,Lymphoid-Other
c_1_23_140,Lymphoid-Other
c_1_23_141,Lymphoid-T
c_1_23_142,Epithelial
c_1_23_143,Lymphoid-Plasma
c_1_23_144,Lymphoid-Other
c_1_23_145,Lymphoid-Other
c_1_23_146,Lymphoid-Other
c_1_23_147,Lymphoid-Other
c_1_23_148,Epithelial
c_1_23_149,Lymphoid-T
c_1_23_150,Lymphoid-Other
c_1_23_151,Lymphoid-Plasma
c_1_23_152,Lymphoid-Other
c_1_23_153,Lymphoid-Other
c_1_23_154,Epithelial
c_1_23_155,Lymphoid-Other
c_1_23_156,Lymphoid-Other
c_1_23_157,Endothelial
c_1_23_158,Lymphoid-Other
c_1_23_159,Lymphoid-Other
c_1_23_160,Lymphoid-Other
c_1_23_161,Lymphoid-Other
c_1_23_162,Lymphoid-Plasma
c_1_23_163,Lymphoid-Other
c_1_23_164,Lymphoid-Other
c_1_23_165,Lymphoid-Other
c_1_23_166,Lymphoid-T
c_1_23_167,Epithelial
c_1_23_168,Lymphoid-Other
c_1_23_169,Lymphoid-Plasma
c_1_23_170,Lymphoid-Other
c_1_23_171,Lymphoid-Other
c_1_23_172,Lymphoid-Other
c_1_23_173,Lymphoid-Other
c_1_23_174,Lymphoid-Plasma
c_1_23_175,Lymphoid-Other
c_1_23_176,Lymphoid-Other
c_1_23_177,Epithelial
c_1_23_178,Lymphoid-Other
c_1_23_179,Lymphoid-Other
c_1_23_181,Lymphoid-Other
c_1_23_182,Lymphoid-Other
c_1_23_183,Lymphoid-Other
c_1_23_184,Lymphoid-Other
c_1_23_185,Lymphoid-T
c_1_23_186,Lymphoid-Other
c_1_23_187,Lymphoid-Other
c_1_23_188,Lymphoid-Other
c_1_23_189,Lymphoid-Other
c_1_23_190,Lymphoid-Other
c_1_23_191,Lymphoid-Other
c_1_23_192,Lymphoid-Other
c_1_23_193,Lymphoid-Other
c_1_23_194,Lymphoid-Other
c_1_23_195,Lymphoid-Other
c_1_23_196,Lymphoid-Plasma
c_1_23_197,Lymphoid-DC
c_1_23_198,Lymphoid-Other
c_1_23_199,Lymphoid-Other
c_1_23_200,Lymphoid-Other
c_1_23_201,Lymphoid-T
c_1_23_202,Lymphoid-Other
c_1_23_203,Lymphoid-Other
c_1_23_204,Mesenchymal-Stromal
c_1_23_205,Lymphoid-Other
c_1_23_206,Lymphoid-Other
c_1_23_207,Lymphoid-DC
c_1_23_208,Lymphoid-Other
c_1_23_209,Lymphoid-Plasma
c_1_23_210,Epithelial
c_1_23_211,Lymphoid-Plasma
c_1_23_212,Lymphoid-DC
c_1_23_213,Lymphoid-Other
c_1_23_214,Lymphoid-Other
c_1_23_215,Lymphoid-Other
c_1_23_216,Epithelial
c_1_23_217,Lymphoid-Other
c_1_23_218,Lymphoid-Other
c_1_23_219,Lymphoid-Other
c_1_23_220,Epithelial
c_1_23_221,Lymphoid-Plasma
c_1_23_222,Lymphoid-Other
c_1_23_223,Lymphoid-Other
c_1_23_224,Lymphoid-Other
c_1_23_225,Lymphoid-Other
c_1_23_226,Epithelial
c_1_23_227,Epithelial
c_1_23_228,Lymphoid-Other
c_1_23_229,Lymphoid-Other
c_1_23_230,Epithelial
c_1_23_231,Epithelial
c_1_23_232,Lymphoid-Other
c_1_23_233,Epithelial
c_1_23_234,Lymphoid-Other
c_1_23_235,Lymphoid-Other
c_1_23_236,Lymphoid-Other
c_1_23_237,Epithelial
c_1_23_238,Lymphoid-Other
c_1_23_239,Lymphoid-Other
c_1_23_240,Lymphoid-Other
c_1_23_241,Epithelial
c_1_23_242,Lymphoid-T
c_1_23_243,Lymphoid-Other
c_1_23_244,Lymphoid-Other
c_1_23_245,Lymphoid-Other
c_1_23_246,Lymphoid-Other
c_1_23_247,Epithelial
c_1_23_248,Lymphoid-Other
c_1_23_249,Lymphoid-Other
c_1_23_250,Lymphoid-Plasma
c_1_23_251,Lymphoid-T
c_1_23_252,Lymphoid-Other
c_1_23_253,Lymphoid-Other
