cell_id,ADGRA3,ADGRG5,ADGRL4,CCL4/L1/L2,CCND1,CD47,CD68,CLEC12A,CLEC2D,CNTFR,CSF1,EFNA1,FPR1,FYB1,HBA1/2,IFI44L,IL17B,IL1RN,IL20,ITGB2,LCN2,LDLR,LTBR,NR1H3,RELT,RXRA,TCAP,TNFRSF14,TNFRSF1B,TNFSF9
c_1_1_1,-0.2581720223608192,-0.24853452751320806,-0.21234553964645456,-0.31408220716725965,-0.33596542471370794,-0.24253029845088692,-0.3451372771564365,-0.2557953155545306,-0.30044382473785036,-0.280150676062087,-0.38411733138535825,-0.31394882664423845,-0.3200697089357454,-0.26776539986856807,2.351769709786431,-0.27378341952472024,-0.2751550251716883,-0.24919949693373267,-0.25772792735369277,-0.36074083764897524,-0.21991076984575586,-0.2940207178796155,-0.2744156929780267,-0.29278966036580395,-0.30238582341071646,-0.2985283675454875,-0.28480725995880346,-0.38144220563847137,-0.32005021760046337,-0.29676138613054914
c_1_1_2,-0.2581720223608192,-0.24853452751320806,-0.21234553964645456,-0.31408220716725965,-0.33596542471370794,-0.24253029845088692,-0.3451372771564365,-0.2557953155545306,-0.30044382473785036,-0.280150676062087,-0.38411733138535825,-0.31394882664423845,-0.3200697089357454,-0.26776539986856807,-0.3709851034732636,-0.27378341952472024,-0.2751550251716883,-0.24919949693373267,-0.25772792735369277,-0.36074083764897524,-0.21991076984575586,-0.2940207178796155,-0.2744156929780267,-0.29278966036580395,-0.30238582341071646,-0.2985283675454875,-0.28480725995880346,-0.38144220563847137,4.22394386762759,-0.29676138613054914
c_1_1_3,-0.2581720223608192,-0.24853452751320806,-0.21234553964645456,-0.31408220716725965,-0.33596542471370794,4.252937828312139,-0.3451372771564365,-0.2557953155545306,-0.30044382473785036,-0.280150676062087,-0.38411733138535825,-0.31394882664423845,-0.3200697089357454,-0.26776539986856807,-0.3709851034732636,-0.27378341952472024,-0.2751550251716883,-0.24919949693373267,-0.25772792735369277,-0.36074083764897524,-0.21991076984575586,-0.2940207178796155,-0.2744156929780267,-0.29278966036580395,-0.30238582341071646,-0.2985283675454875,-0.28480725995880346,-0.38144220563847137,-0.32005021760046337,-0.29676138613054914
c_1_1_4,-0.2581720223608192,-0.24853452751320806,-0.21234553964645456,-0.31408220716725965,-0.33596542471370794,-0.24253029845088692,-0.3451372771564365,-0.2557953155545306,-0.30044382473785036,-0.280150676062087,-0.38411733138535825,-0.31394882664423845,-0.3200697089357454,-0.26776539986856807,-0.3709851034732636,-0.27378341952472024,-0.2751550251716883,-0.24919949693373267,-0.25772792735369277,-0.36074083764897524,-0.21991076984575586,-0.2940207178796155,-0.2744156929780267,-0.29278966036580395,-0.30238582341071646,-0.2985283675454875,-0.28480725995880346,-0.38144220563847137,-0.32005021760046337,-0.29676138613054914
c_1_1_5,-0.2581720223608192,-0.24853452751320806,-0.21234553964645456,-0.31408220716725965,-0.33596542471370794,-0.24253029845088692,-0.3451372771564365,-0.2557953155545306,-0.30044382473785036,-0.280150676062087,-0.38411733138535825,-0.31394882664423845,-0.3200697089357454,-0.26776539986856807,-0.3709851034732636,-0.27378341952472024,-0.2751550251716883,-0.24919949693373267,-0.25772792735369277,-0.36074083764897524,-0.21991076984575586,-0.2940207178796155,-0.2744156929780267,-0.29278966036580395,-0.30238582341071646,-0.2985283675454875,-0.28480725995880346,-0.38144220563847137,-0.32005021760046337,-0.29676138613054914
c_1_1_6,3.5081087721324535,-0.24853452751320806,-0.21234553964645456,-0.31408220716725965,2.702073423194313,-0.24253029845088692,-0.3451372771564365,-0.2557953155545306,-0.30044382473785036,-0.280150676062087,-0.38411733138535825,-0.31394882664423845,-0.3200697089357454,-0.26776539986856807,-0.3709851034732636,-0.27378341952472024,-0.2751550251716883,-0.24919949693373267,-0.25772792735369277,-0.36074083764897524,-0.21991076984575586,-0.2940207178796155,3.2318274151889117,-0.29278966036580395,-0.30238582341071646,-0.2985283675454875,-0.28480725995880346,-0.38144220563847137,-0.32005021760046337,-0.29676138613054914
c_1_1_7,3.593369612109656,-0.24853452751320806,-0.21234553964645456,-0.31408220716725965,-0.33596542471370794,-0.24253029845088692,-0.3451372771564365,-0.2557953155545306,-0.30044382473785036,-0.280150676062087,-0.38411733138535825,-0.31394882664423845,-0.3200697089357454,-0.26776539986856807,-0.3709851034732636,-0.27378341952472024,-0.2751550251716883,-0.24919949693373267,-0.25772792735369277,-0.36074083764897524,-0.21991076984575586,-0.2940207178796155,-0.2744156929780267,-0.29278966036580395,-0.30238582341071646,-0.2985283675454875,-0.28480725995880346,-0.38144220563847137,2.8876888034429915,-0.29676138613054914
c_1_1_8,-0.2581720223608192,-0.24853452751320806,-0.21234553964645456,-0.31408220716725965,3.378583297017296,4.489530883044298,-0.3451372771564365,5.309299858477876,-0.30044382473785036,-0.280150676062087,-0.38411733138535825,-0.31394882664423845,-0.3200697089357454,4.175834828784376,-0.3709851034732636,-0.27378341952472024,-0.2751550251716883,-0.24919949693373267,-0.25772792735369277,-0.36074083764897524,-0.21991076984575586,-0.2940207178796155,-0.2744156929780267,-0.29278966036580395,3.855646151019211,-0.2985283675454875,-0.28480725995880346,-0.38144220563847137,-0.32005021760046337,-0.29676138613054914
c_1_1_9,-0.2581720223608192,-0.24853452751320806,-0.21234553964645456,-0.31408220716725965,-0.33596542471370794,-0.24253029845088692,-0.3451372771564365,-0.2557953155545306,-0.30044382473785036,-0.280150676062087,-0.38411733138535825,-0.31394882664423845,-0.3200697089357454,-0.26776539986856807,-0.3709851034732636,-0.27378341952472024,-0.2751550251716883,-0.24919949693373267,-0.25772792735369277,-0.36074083764897524,-0.21991076984575586,-0.2940207178796155,-0.2744156929780267,-0.29278966036580395,-0.30238582341071646,7.067491705911241,-0.28480725995880346,-0.38144220563847137,-0.32005021760046337,-0.29676138613054914
c_1_1_10,-0.2581720223608192,-0.24853452751320806,-0.21234553964645456,-0.31408220716725965,-0.33596542471370794,-0.24253029845088692,-0.3451372771564365,-0.2557953155545306,-0.30044382473785036,-0.280150676062087,-0.38411733138535825,-0.31394882664423845,-0.3200697089357454,-0.26776539986856807,3.128510157177582,-0.27378341952472024,4.070894728910009,-0.24919949693373267,-0.25772792735369277,-0.36074083764897524,-0.21991076984575586,-0.2940207178796155,-0.2744156929780267,-0.29278966036580395,-0.30238582341071646,-0.2985283675454875,-0.28480725995880346,-0.38144220563847137,-0.32005021760046337,-0.29676138613054914
