cell_id,cell_type
c_1_43_1,Mesenchymal-Stromal
c_1_43_2,Myeloid
c_1_43_3,Mesenchymal-Stromal
c_1_43_4,Mesenchymal-Stromal
c_1_43_5,Mesenchymal-Stromal
c_1_43_6,Lymphoid-Other
c_1_43_7,Lymphoid-T
c_1_43_8,Lymphoid-Other
c_1_43_9,Mesenchymal-Stromal
c_1_43_10,Mesenchymal-Stromal
c_1_43_11,Mesenchymal-Stromal
c_1_43_12,Lymphoid-Other
c_1_43_13,Mesenchymal-Stromal
c_1_43_14,Myeloid
c_1_43_15,Mesenchymal-Stromal
c_1_43_16,Mesenchymal-Stromal
c_1_43_17,Lymphoid-Other
c_1_43_18,Mesenchymal-Stromal
c_1_43_19,Erythroid
c_1_43_20,Mesenchymal-Stromal
c_1_43_21,Mesenchymal-Stromal
c_1_43_22,Mesenchymal-Stromal
c_1_43_23,Erythroid
c_1_43_24,Mesenchymal-Stromal
c_1_43_25,Lymphoid-Other
c_1_43_26,Endothelial
c_1_43_27,Mesenchymal-Stromal
c_1_43_28,Mesenchymal-Stromal
c_1_43_29,Lymphoid-Other
c_1_43_30,Myeloid
c_1_43_31,Mesenchymal-Stromal
c_1_43_32,Neuronal-Glial
c_1_43_33,Lymphoid-Other
c_1_43_34,Mesenchymal-Stromal
c_1_43_35,Mesenchymal-Stromal
c_1_43_36,Mesenchymal-Stromal
c_1_43_38,Endothelial
c_1_43_39,Mesenchymal-Stromal
c_1_43_40,Mesenchymal-Stromal
c_1_43_41,Mesenchymal-Stromal
c_1_43_42,Lymphoid-Other
c_1_43_43,Myeloid
c_1_43_44,Mesenchymal-Stromal
c_1_43_45,Mesenchymal-Stromal
c_1_43_46,Erythroid
c_1_43_48,Mesenchymal-Stromal
c_1_43_49,Mesenchymal-Stromal
c_1_43_50,Mesenchymal-Stromal
c_1_43_51,Mesenchymal-Stromal
c_1_43_52,Lymphoid-Other
c_1_43_53,Mesenchymal-Stromal
c_1_43_54,Mesenchymal-Stromal
c_1_43_55,Mesenchymal-Stromal
c_1_43_56,Lymphoid-T
c_1_43_57,Mesenchymal-Stromal
c_1_43_58,Mesenchymal-Stromal
c_1_43_59,Endothelial
c_1_43_60,Mesenchymal-Stromal
c_1_43_61,Mesenchymal-Stromal
c_1_43_62,Mesenchymal-Stromal
c_1_43_63,Mesenchymal-Stromal
c_1_43_64,Mesenchymal-Stromal
c_1_43_65,Lymphoid-Other
c_1_43_66,Mesenchymal-Stromal
c_1_43_67,Mesenchymal-Stromal
c_1_43_69,Mesenchymal-Stromal
c_1_43_70,Mesenchymal-Stromal
c_1_43_71,Mesenchymal-Stromal
c_1_43_72,Lymphoid-Other
c_1_43_73,Mesenchymal-Stromal
c_1_43_74,Mesenchymal-Stromal
c_1_43_75,Endothelial
c_1_43_76,Mesenchymal-Stromal
c_1_43_77,Mesenchymal-Stromal
c_1_43_78,Mesenchymal-Stromal
c_1_43_79,Mesenchymal-Stromal
c_1_43_80,Mesenchymal-Stromal
c_1_43_81,Mesenchymal-Stromal
c_1_43_82,Lymphoid-Other
c_1_43_83,Neuronal-Glial
c_1_43_84,Mesenchymal-Stromal
c_1_43_85,Mesenchymal-Stromal
c_1_43_86,Mesenchymal-Stromal
c_1_43_87,Lymphoid-Other
c_1_43_88,Mesenchymal-Stromal
c_1_43_89,Mesenchymal-Stromal
c_1_43_90,Endothelial
c_1_43_91,Lymphoid-DC
c_1_43_92,Mesenchymal-Stromal
